age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,State-gov,263906,HS-grad,12,Married-civ-spouse,Other-service,Husband,White,Male,55124,2,42,Mexico, >50K
39,Private,183747,12th,5,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,64222,3,43,Poland, >50K
63,Self-emp-not-inc,99691,Doctorate,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,99432,4,61,United-States, >50K
21,Private,156224,10th,7,Divorced,Tech-support,Unmarried,Black,Male,18920,0,44,Mexico, <=50K
36,Private,116723,Bachelors,11,Separated,Other-service,Wife,Amer-Indian-Eskimo,Female,8117,2,25,Germany, <=50K
25,Private,347092,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,96050,0,39,Mexico, >50K
19,State-gov,164642,Masters,13,Divorced,Prof-specialty,Unmarried,White,Male,64082,0,42,United-States, <=50K
29,Private,343083,Bachelors,12,Divorced,Adm-clerical,Husband,White,Male,65066,0,37,Philippines, <=50K
49,Private,250262,Bachelors,8,Never-married,Adm-clerical,Unmarried,Black,Female,30822,3,54,Germany, <=50K
32,Local-gov,231542,Bachelors,10,Married-civ-spouse,Sales,Husband,White,Female,92512,0,69,United-States, >50K
56,Self-emp-inc,79522,11th,12,Married-civ-spouse,Craft-repair,Unmarried,Black,Female,124,0,34,Nicaragua, <=50K
32,Private,419893,Bachelors,12,Separated,Sales,Unmarried,Black,Female,2877,0,44,Poland, <=50K
45,Local-gov,424605,Assoc-voc,11,Widowed,Protective-serv,Own-child,White,Female,420,0,36,United-States, <=50K
48,State-gov,291881,HS-grad,13,Married-civ-spouse,Transport-moving,Husband,White,Male,99406,0,44,Germany, >50K
70,State-gov,88470,Assoc-voc,11,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,4332,0,39,United-States, <=50K
40,Private,171090,Masters,14,Never-married,Transport-moving,Wife,White,Female,79289,0,35,United-States, <=50K
39,Private,75948,Bachelors,14,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40533,0,54,Mexico, >50K
32,Private,143672,HS-grad,11,Divorced,Craft-repair,Unmarried,White,Male,75,0,56,Mexico, <=50K
55,Private,86215,Assoc-voc,7,Divorced,Exec-managerial,Unmarried,White,Male,35286,3,32,Mexico, <=50K
45,State-gov,200790,7th-8th,6,Never-married,Exec-managerial,Wife,White,Female,34966,0,26,Mexico, <=50K
53,Local-gov,176465,9th,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,13729,6,57,Mexico, >50K
35,Private,60003,Bachelors,9,Never-married,Exec-managerial,Wife,White,Female,45111,77,35,Mexico, <=50K
25,State-gov,234177,Masters,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,18,118,45,Mexico, >50K
31,Private,60327,12th,8,Divorced,Adm-clerical,Unmarried,White,Female,747,0,52,Germany, <=50K
47,Local-gov,130002,Some-college,8,Divorced,Adm-clerical,Not-in-family,White,Female,17125,61,21,United-States, <=50K
21,State-gov,85226,Masters,10,Widowed,Transport-moving,Unmarried,Black,Male,17338,1,41,Poland, <=50K
48,Private,211522,11th,4,Married-spouse-absent,Protective-serv,Wife,White,Male,8,0,35,England, <=50K
61,Local-gov,183032,HS-grad,11,Married-civ-spouse,Tech-support,Husband,White,Male,25285,13,50,Poland, <=50K
