age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
65,Private,95249,Bachelors,12,Widowed,Transport-moving,Not-in-family,Black,Male,11874,8,34,Ireland, >50K
50,Private,145676,Some-college,13,Married-civ-spouse,Craft-repair,Own-child,White,Female,23397,0,34,Poland, <=50K
34,State-gov,45476,Masters,12,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,4309,1,40,Mexico, <=50K
41,State-gov,189178,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,56,0,46,Germany, <=50K
63,Private,402250,HS-grad,12,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,82345,38,36,United-States, <=50K
63,Private,151090,Assoc-voc,7,Married-civ-spouse,Tech-support,Not-in-family,White,Male,8096,0,45,United-States, <=50K
33,Private,444740,Masters,9,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,8274,9,37,United-States, <=50K
30,Private,327790,Assoc-voc,8,Married-civ-spouse,Tech-support,Wife,White,Male,56011,0,39,Mexico, <=50K
44,Local-gov,183889,HS-grad,13,Married-civ-spouse,Tech-support,Not-in-family,White,Female,23457,0,38,Poland, <=50K
25,Private,347092,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,96050,0,39,Mexico, >50K
29,Private,194530,Bachelors,8,Divorced,Protective-serv,Wife,White,Female,766,0,41,Mexico, <=50K
37,State-gov,153947,HS-grad,11,Divorced,Machine-op-inspct,Not-in-family,White,Female,38,2,43,Mexico, <=50K
60,Private,144424,Some-college,7,Widowed,Exec-managerial,Unmarried,White,Male,82964,18,17,Philippines, <=50K
58,Private,135857,HS-grad,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,62704,1,40,Mexico, >50K
65,Self-emp-inc,230870,Bachelors,13,Widowed,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,80876,1,35,Germany, >50K
25,Private,201855,11th,7,Widowed,Sales,Not-in-family,White,Female,10875,0,40,Nicaragua, <=50K
21,Private,175633,HS-grad,9,Separated,Handlers-cleaners,Other-relative,White,Female,15266,0,41,Nicaragua, <=50K
54,State-gov,126386,10th,10,Divorced,Sales,Not-in-family,White,Male,70922,1,60,Mexico, <=50K
45,State-gov,292256,10th,13,Never-married,Handlers-cleaners,Own-child,White,Female,17266,0,42,Germany, <=50K
40,Private,248043,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,13897,0,36,Philippines, <=50K
42,Private,263195,HS-grad,13,Divorced,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,6810,0,25,Poland, <=50K
24,Private,45834,11th,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,1788,0,55,Mexico, <=50K
29,State-gov,139854,12th,5,Divorced,Adm-clerical,Husband,Black,Male,855,3,29,United-States, <=50K
45,State-gov,109261,Doctorate,5,Widowed,Farming-fishing,Unmarried,White,Male,997,0,21,Germany, <=50K
24,Private,276064,Masters,6,Widowed,Adm-clerical,Wife,White,Male,79311,0,49,Poland, <=50K
54,Private,487428,Doctorate,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,41,0,52,Mexico, <=50K
47,Private,62661,HS-grad,13,Never-married,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,1795,2,62,Poland, >50K
54,State-gov,182168,12th,7,Married-civ-spouse,Exec-managerial,Husband,Black,Male,10503,0,39,Mexico, <=50K
36,Without-pay,38034,Bachelors,12,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Female,101,0,36,Poland, <=50K
35,Private,207826,Bachelors,12,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,11007,0,44,United-States, >50K
36,Private,140104,Bachelors,11,Widowed,Exec-managerial,Wife,White,Female,94267,0,48,Nicaragua, <=50K
51,Private,358620,Assoc-voc,8,Widowed,Adm-clerical,Not-in-family,Black,Male,94326,0,43,Portugal, <=50K
32,Federal-gov,213380,Prof-school,6,Divorced,Sales,Husband,White,Female,1,0,35,United-States, <=50K
39,Private,415465,Masters,13,Divorced,Adm-clerical,Not-in-family,White,Female,80121,0,42,United-States, >50K
31,Local-gov,545136,11th,13,Divorced,Adm-clerical,Not-in-family,White,Male,8226,0,44,England, <=50K
30,State-gov,184261,Masters,9,Widowed,Protective-serv,Unmarried,White,Female,7428,0,42,Nicaragua, <=50K
64,Local-gov,98622,Assoc-voc,7,Widowed,Craft-repair,Not-in-family,White,Male,82247,31,46,Mexico, >50K
58,Local-gov,35054,HS-grad,11,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,10017,0,67,Germany, <=50K
20,State-gov,328578,Assoc-voc,10,Never-married,Other-service,Unmarried,White,Female,6455,7,22,Germany, <=50K
18,Private,221779,9th,8,Never-married,Protective-serv,Unmarried,White,Female,5,3,15,United-States, <=50K
59,Local-gov,86880,Masters,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,16563,39,18,Poland, <=50K
51,Private,120745,Some-college,6,Married-civ-spouse,Sales,Husband,Black,Male,65174,0,35,Mexico, <=50K
47,State-gov,274279,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,1042,0,44,Mexico, <=50K
37,Private,351273,Assoc-voc,8,Divorced,Exec-managerial,Husband,White,Male,47739,2,48,Germany, >50K
38,Private,100897,10th,8,Separated,Adm-clerical,Own-child,Black,Female,38,0,29,Nicaragua, <=50K
46,Private,325700,Bachelors,7,Divorced,Craft-repair,Not-in-family,White,Male,65353,9,40,United-States, <=50K
46,Private,86948,Some-college,12,Separated,Adm-clerical,Unmarried,Black,Female,4109,0,19,Mexico, <=50K
26,State-gov,135382,Some-college,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,2026,76,29,Poland, <=50K
70,Private,149686,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,679,0,35,Mexico, >50K
43,State-gov,191945,Some-college,7,Widowed,Adm-clerical,Not-in-family,White,Male,34049,0,53,Germany, <=50K
33,Private,47474,12th,12,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,93499,66,50,Germany, >50K
58,State-gov,100154,Bachelors,11,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,20767,0,42,United-States, <=50K
44,Private,200053,Assoc-voc,10,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander,Male,29083,0,29,Germany, >50K
55,Private,320051,HS-grad,8,Married-civ-spouse,Other-service,Husband,White,Male,131,28,44,Poland, <=50K
36,State-gov,79804,HS-grad,9,Married-civ-spouse,Priv-house-serv,Unmarried,White,Female,8859,0,34,United-States, <=50K
27,Private,246694,HS-grad,12,Widowed,Tech-support,Not-in-family,White,Female,43564,1,30,United-States, >50K
32,Private,176732,10th,9,Widowed,Other-service,Wife,Other,Female,538,0,44,Cuba, <=50K
61,Private,54580,HS-grad,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,18736,0,73,Mexico, >50K
52,Private,223599,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,0,26,Germany, <=50K
50,Private,116260,10th,8,Divorced,Machine-op-inspct,Own-child,Black,Male,43134,0,39,United-States, <=50K
33,Private,104187,Assoc-voc,6,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7651,0,46,Germany, <=50K
25,Private,47876,HS-grad,14,Never-married,Machine-op-inspct,Own-child,White,Female,484,0,38,Mexico, >50K
34,Private,470228,Masters,8,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,1318,0,61,United-States, <=50K
21,Private,194309,Doctorate,9,Married-spouse-absent,Craft-repair,Other-relative,White,Female,13669,0,31,Germany, <=50K
23,State-gov,52271,Masters,8,Never-married,Other-service,Own-child,White,Female,17889,5,33,Mexico, <=50K
46,Local-gov,293174,HS-grad,11,Married-civ-spouse,Other-service,Husband,White,Female,77522,0,41,Mexico, <=50K
45,Private,166526,1st-4th,5,Never-married,Prof-specialty,Unmarried,White,Male,608,0,47,United-States, <=50K
