age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,Self-emp-not-inc,344175,Assoc-voc,11,Divorced,Prof-specialty,Own-child,Black,Male,665,0,42,Cuba, <=50K
24,Private,323702,Assoc-voc,11,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,9,18,25,United-States, <=50K
54,State-gov,342899,HS-grad,9,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,91624,0,35,Philippines, >50K
23,Local-gov,196312,Assoc-voc,11,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,164,230,46,South, >50K
53,State-gov,94652,Some-college,9,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,27023,0,37,Portugal, <=50K
30,State-gov,63118,Doctorate,16,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,87239,3,35,Germany, >50K
40,Local-gov,256254,Assoc-voc,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,4228,1,49,South, <=50K
31,Without-pay,137368,Some-college,9,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,10718,0,34,Poland, <=50K
53,State-gov,211400,Bachelors,12,Divorced,Protective-serv,Not-in-family,Black,Male,21865,1,30,Philippines, <=50K
39,Without-pay,500633,HS-grad,9,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,17838,4,42,Portugal, <=50K
22,Without-pay,170716,Assoc-voc,12,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,9593,0,29,Poland, <=50K
49,State-gov,239561,Some-college,9,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,50223,5,47,United-States, <=50K
48,Private,195079,Assoc-acdm,12,Separated,Farming-fishing,Own-child,Asian-Pac-Islander,Male,75446,0,39,Cuba, <=50K
65,Private,254521,Bachelors,11,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,51708,5,60,Cuba, <=50K
57,State-gov,305959,Assoc-voc,10,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,83655,3,75,Cuba, >50K
35,Local-gov,190073,12th,8,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,62658,0,34,South, <=50K
34,Self-emp-not-inc,257225,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,1,0,47,South, <=50K
