age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
26,Private,55313,HS-grad,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,30,United-States,0
37,Self-emp-not-inc,87619,Some-college,10,Married-spouse-absent,Transport-moving,Unmarried,White,Female,0,0,50,United-States,0
64,Self-emp-not-inc,187867,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
26,Private,385087,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
73,Private,75143,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
52,Local-gov,279734,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,49,United-States,0
57,Private,110480,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,0
31,Self-emp-not-inc,283831,Some-college,10,Never-married,Other-service,Unmarried,White,Male,0,0,48,United-States,0
38,State-gov,84519,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,0
45,Private,504172,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
46,Self-emp-not-inc,89656,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
65,Private,352237,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,0
35,Private,183460,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,53,United-States,0
26,Private,203331,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,36,United-States,0
68,Self-emp-inc,107009,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
64,Private,124839,Masters,5,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,900,40,United-States,0
58,Private,224520,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Male,0,0,44,United-States,0
40,Private,301067,Some-college,10,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
34,Private,36799,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,54,United-States,1
24,Private,242638,Some-college,10,Married-spouse-absent,Craft-repair,Unmarried,White,Male,0,0,35,United-States,0
56,Private,143025,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,58,United-States,0
54,Private,117982,Some-college,10,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,0
60,Private,104175,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
56,Private,180513,Assoc-voc,13,Divorced,Other-service,Not-in-family,Black,Female,0,0,45,United-States,0
31,Private,62122,HS-grad,9,Separated,Transport-moving,Other-relative,White,Female,0,0,40,United-States,0
23,Private,197890,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,30,United-States,0
24,Private,178896,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,0,0,58,United-States,0
31,Private,151377,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,40,United-States,0
