age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
66,Private,486844,Masters,15,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Female,5760,1,25,Ireland, <=50K
39,Private,91622,12th,8,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,11834,47,35,Cambodia, <=50K
42,State-gov,49736,12th,8,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,15596,1,24,Cuba, <=50K
42,Private,293513,Assoc-voc,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,10141,0,47,South, <=50K
37,Private,51165,12th,9,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,0,59,England, <=50K
31,Federal-gov,419157,Bachelors,12,Divorced,Prof-specialty,Wife,White,Male,1889,0,32,Poland, <=50K
48,Local-gov,95396,HS-grad,9,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Female,60660,0,45,Ecuador, <=50K
35,Self-emp-not-inc,88565,HS-grad,9,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,14365,0,38,South, >50K
42,Local-gov,155315,Bachelors,14,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,14262,102,47,Portugal, <=50K
27,Local-gov,213770,Assoc-acdm,11,Never-married,Other-service,Own-child,Black,Male,61251,0,33,Portugal, <=50K
49,Private,152044,Bachelors,13,Widowed,Prof-specialty,Own-child,Black,Male,0,0,40,United-States, >50K
57,Private,149842,Assoc-voc,10,Divorced,Farming-fishing,Husband,Asian-Pac-Islander,Female,3169,0,39,South, >50K
37,Private,144702,HS-grad,10,Widowed,Adm-clerical,Wife,Black,Female,10,0,56,South, <=50K
58,Private,242117,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,2642,0,41,Cuba, <=50K
41,State-gov,340158,Bachelors,14,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,86997,0,56,Cambodia, <=50K
47,State-gov,177766,12th,7,Divorced,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,22,Greece, <=50K
20,Private,176187,HS-grad,10,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,1565,1,39,Yugoslavia, <=50K
46,State-gov,77317,Masters,14,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,77088,0,62,Ireland, <=50K
52,State-gov,210909,12th,8,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,94480,8,55,Cuba, <=50K
57,Local-gov,180927,Assoc-acdm,11,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,6744,0,62,Philippines, >50K
31,Without-pay,262956,Some-college,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,8340,2,40,Portugal, <=50K
23,State-gov,154830,Assoc-voc,11,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,13991,0,33,Philippines, <=50K
28,Private,190412,Bachelors,15,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,53779,0,16,Philippines, <=50K
44,State-gov,205230,HS-grad,10,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,1065,26,17,Poland, <=50K
62,State-gov,109572,Doctorate,16,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,99499,0,52,Cambodia, >50K
63,Local-gov,142874,Assoc-voc,11,Married-civ-spouse,Protective-serv,Own-child,Asian-Pac-Islander,Male,74971,0,44,Cuba, >50K
23,Private,203622,Assoc-acdm,11,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Female,173,0,51,Portugal, <=50K
23,Private,60345,Some-college,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,27843,0,44,Portugal, <=50K
50,Self-emp-not-inc,93519,Bachelors,12,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,3558,2,47,Greece, >50K
21,Private,47844,Assoc-voc,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Female,43628,0,39,South, <=50K
55,Private,124501,12th,7,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,159,18,52,Portugal, <=50K
24,Federal-gov,67009,12th,8,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,82346,0,38,Ireland, >50K
33,Private,136306,HS-grad,8,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,94564,0,33,Ecuador, <=50K
33,State-gov,103966,9th,4,Separated,Protective-serv,Own-child,Asian-Pac-Islander,Male,1094,2,52,Portugal, <=50K
42,Local-gov,156246,HS-grad,8,Separated,Protective-serv,Unmarried,Asian-Pac-Islander,Female,527,0,34,Poland, <=50K
27,Local-gov,178962,HS-grad,9,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,96726,0,56,Cuba, <=50K
19,Without-pay,239011,Assoc-voc,11,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,62430,2,42,Portugal, <=50K
34,Private,337290,HS-grad,8,Never-married,Prof-specialty,Wife,Black,Male,7187,0,40,Poland, <=50K
21,State-gov,28791,Masters,13,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,6670,0,47,United-States, <=50K
30,Self-emp-not-inc,121767,Some-college,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,475,2,35,Philippines, <=50K
33,State-gov,99911,HS-grad,8,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,18064,0,41,South, <=50K
40,Local-gov,89103,Bachelors,14,Divorced,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,93228,3,53,Germany, <=50K
21,Private,173630,HS-grad,11,Divorced,Tech-support,Other-relative,Asian-Pac-Islander,Male,1435,1,39,Greece, >50K
34,Private,144774,Assoc-acdm,12,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,76274,4,52,South, >50K
52,Local-gov,139175,Assoc-voc,10,Divorced,Exec-managerial,Wife,White,Male,38174,2,43,South, <=50K
50,Private,349339,Assoc-voc,10,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Female,178,7,25,Yugoslavia, <=50K
18,Private,343123,Assoc-voc,11,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,26,United-States, <=50K
44,Private,32286,Assoc-acdm,12,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Male,38219,0,50,Portugal, <=50K
33,Private,157213,Bachelors,13,Never-married,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,5100,0,33,Cuba, <=50K
27,Private,179454,12th,7,Separated,Prof-specialty,Own-child,Asian-Pac-Islander,Male,680,26,28,Portugal, <=50K
52,State-gov,418251,Some-college,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,74192,0,45,Portugal, <=50K
17,Private,338511,Assoc-acdm,11,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Female,11,0,18,Germany, <=50K
54,Private,167064,Bachelors,11,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Male,19130,0,51,Portugal, <=50K
52,Private,162624,Some-college,10,Married-spouse-absent,Prof-specialty,Husband,Asian-Pac-Islander,Male,93453,0,49,South, <=50K
49,Private,141315,Bachelors,14,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,55,Cambodia, <=50K
34,Local-gov,207167,12th,7,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,14016,0,38,Portugal, <=50K
53,Local-gov,299810,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,46743,76,30,South, >50K
33,Private,197512,Assoc-acdm,11,Divorced,Sales,Wife,Asian-Pac-Islander,Male,6576,75,41,Yugoslavia, <=50K
37,Self-emp-not-inc,169342,HS-grad,10,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,17,0,38,South, <=50K
34,State-gov,215169,HS-grad,10,Separated,Tech-support,Own-child,Asian-Pac-Islander,Female,2327,40,37,Greece, <=50K
27,State-gov,106526,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15928,38,37,Philippines, <=50K
20,Private,189406,12th,6,Married-civ-spouse,Armed-Forces,Wife,Asian-Pac-Islander,Male,1109,0,64,Ecuador, <=50K
33,Private,173164,Some-college,9,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,19980,6,46,Philippines, >50K
26,Private,56392,12th,8,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,88563,0,56,Poland, <=50K
22,Private,400099,HS-grad,9,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,41,Greece, <=50K
40,Local-gov,268148,Some-college,11,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,10605,0,38,Poland, <=50K
51,Private,37301,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,13,0,39,Germany, <=50K
31,State-gov,205299,Assoc-acdm,12,Widowed,Exec-managerial,Husband,Asian-Pac-Islander,Female,82819,8,45,Greece, <=50K
33,Private,87363,HS-grad,10,Divorced,Machine-op-inspct,Own-child,Black,Male,64720,0,40,Portugal, <=50K
75,Private,18020,Assoc-acdm,11,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,315,12,49,Cuba, <=50K
26,State-gov,112449,12th,7,Widowed,Prof-specialty,Own-child,Asian-Pac-Islander,Male,62392,0,37,South, <=50K
31,Local-gov,170882,Bachelors,12,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,276,0,42,United-States, <=50K
37,Without-pay,393408,Bachelors,11,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Male,12268,0,59,Portugal, <=50K
28,Private,149568,Bachelors,13,Never-married,Machine-op-inspct,Wife,Black,Female,1360,11,19,Jamaica, <=50K
35,Private,309137,Assoc-acdm,11,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,45375,0,18,Cuba, <=50K
21,Private,269965,Bachelors,12,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,71370,55,41,Poland, <=50K
17,Private,504572,12th,7,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,3187,4,23,Cuba, <=50K
24,Private,199042,Some-college,10,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,322,0,32,Greece, <=50K
25,Local-gov,141295,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,6499,16,45,Cuba, >50K
35,Private,246871,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,3446,85,38,Cuba, >50K
49,Local-gov,183532,Bachelors,12,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,2595,0,46,Portugal, <=50K
48,Local-gov,91545,HS-grad,8,Married-spouse-absent,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,37530,0,42,Cuba, <=50K
50,State-gov,70075,Assoc-acdm,10,Married-civ-spouse,Armed-Forces,Wife,Asian-Pac-Islander,Male,164,0,38,Portugal, >50K
53,Private,263748,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,411,156,48,Greece, >50K
55,Private,131380,Assoc-acdm,11,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,91109,1,60,Hungary, <=50K
39,Without-pay,409832,Some-college,9,Divorced,Sales,Wife,Asian-Pac-Islander,Male,30893,0,31,Portugal, <=50K
31,Self-emp-not-inc,92926,Bachelors,12,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,58107,0,53,Portugal, <=50K
31,Local-gov,106854,12th,7,Married-civ-spouse,Prof-specialty,Wife,Black,Male,36034,49,55,Philippines, >50K
42,Local-gov,85159,Bachelors,12,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Male,30699,12,29,Philippines, >50K
58,Private,18873,12th,8,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Female,406,0,68,Poland, <=50K
