age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,Self-emp-not-inc,54224,Bachelors,13,Separated,Priv-house-serv,Unmarried,White,Female,8,0,50,United-States,0
24,Private,44137,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,1,58,United-States,1
22,Private,221166,12th,8,Never-married,Handlers-cleaners,Own-child,Black,Male,34,0,35,United-States,0
56,Local-gov,54994,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,0,58,United-States,1
38,Private,124038,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,53,0,45,Poland,0
26,Private,173152,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,22,0,50,United-States,1
20,Self-emp-not-inc,16747,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,29,1,55,United-States,0
34,Private,21869,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,15,0,94,Poland,1
50,Private,254166,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,10,0,40,United-States,1
47,Private,183095,Some-college,10,Widowed,Other-service,Unmarried,White,Female,11,0,40,United-States,0
33,Self-emp-inc,383090,Some-college,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,99999,1,55,United-States,1
39,Self-emp-not-inc,32517,HS-grad,9,Separated,Sales,Own-child,White,Female,19,0,10,United-States,0
38,Local-gov,54867,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,3,0,40,United-States,1
29,Private,253338,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,2004,40,United-States,1
45,Self-emp-not-inc,199527,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,15261,1,67,United-States,1
36,State-gov,36895,Assoc-acdm,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,2967,1725,36,United-States,1
38,Local-gov,153301,Masters,14,Married-AF-spouse,Machine-op-inspct,Wife,White,Female,14637,1,43,United-States,1
46,Private,139523,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,19,1862,34,United-States,0
25,Private,135467,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,36,0,36,United-States,0
29,Private,232801,Assoc-acdm,9,Married-civ-spouse,Protective-serv,Husband,White,Male,8063,1882,40,United-States,1
46,Private,356315,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,7,1833,30,United-States,0
18,Local-gov,70346,Bachelors,13,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,22,0,56,Germany,0
35,Private,204680,Some-college,12,Divorced,Exec-managerial,Not-in-family,Black,Female,17,0,40,United-States,0
23,Private,176473,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,15,0,40,United-States,0
46,Private,192101,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
18,Private,107102,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,23,Cuba,0
28,Private,267339,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,Other,Male,28,0,40,United-States,0
19,Private,284168,7th-8th,9,Never-married,Sales,Not-in-family,Other,Female,4,0,40,Peru,0
26,Private,56919,9th,4,Divorced,Sales,Unmarried,Other,Female,1,0,44,United-States,0
40,Private,182648,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,36,United-States,0
23,Private,148415,HS-grad,9,Never-married,Sales,Own-child,White,Male,9,1911,50,United-States,0
20,Private,198384,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,5,0,23,United-States,0
30,Private,159125,Assoc-voc,16,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,Germany,1
28,Private,225452,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,34,1,92,Portugal,1
41,Private,217413,Masters,7,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,62,Hong,1
44,Private,318449,12th,8,Widowed,Sales,Other-relative,Black,Male,27,1,45,United-States,0
19,Private,54200,11th,7,Never-married,Other-service,Own-child,Black,Female,24,0,21,United-States,0
47,Federal-gov,38276,Some-college,10,Widowed,Other-service,Not-in-family,Black,Female,4216,0,30,United-States,0
38,Local-gov,280820,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,35,0,50,United-States,0
49,Private,197402,HS-grad,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,25,0,40,Dominican-Republic,1
51,Private,39302,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,45,United-States,0
44,Private,263732,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,11,0,36,United-States,0
59,Private,194412,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,23,1,40,Germany,1
49,Private,192530,10th,6,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,25,0,30,United-States,0
23,Private,190485,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,White,Female,36,0,44,United-States,0
19,Private,279556,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,11,0,46,United-States,0
47,Private,115878,HS-grad,9,Separated,Sales,Not-in-family,Black,Female,13,1,38,United-States,0
39,Private,196661,10th,4,Widowed,Handlers-cleaners,Not-in-family,White,Female,10,0,37,United-States,0
40,Private,184499,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,8,0,50,United-States,0
30,Private,301882,HS-grad,9,Separated,Sales,Own-child,White,Female,0,1,31,Vietnam,0
44,Private,181475,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,30,United-States,0
44,Private,384632,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,40,1,40,United-States,0
33,Private,125753,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
63,Self-emp-not-inc,265606,Assoc-acdm,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,5087,1,50,United-States,1
33,Private,66593,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,31,0,46,United-States,1
51,Private,36085,HS-grad,9,Married-spouse-absent,Other-service,Own-child,Black,Male,6,0,50,United-States,1
30,Private,230725,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,1,54,United-States,0
21,Private,79116,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Trinadad&Tobago,0
34,Private,135630,Some-college,10,Never-married,Tech-support,Not-in-family,Black,Female,19,0,45,United-States,0
60,Private,305895,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,14,1,99,United-States,0
29,Private,118714,11th,15,Never-married,Prof-specialty,Not-in-family,White,Female,48,0,45,United-States,0
26,Private,326032,HS-grad,9,Never-married,Other-service,Own-child,White,Male,9,1,40,Portugal,0
56,Private,186927,Assoc-acdm,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,31,0,57,United-States,1
59,Private,377012,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,29,0,46,Thailand,1
29,Self-emp-inc,382028,Masters,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,2211,46,United-States,0
42,Private,272866,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,34,1906,50,United-States,1
30,Private,355557,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,4,0,40,Cuba,0
72,Private,116886,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,32,0,91,Germany,0
53,State-gov,192781,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,22,1,50,United-States,1
66,Private,162748,11th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,0,40,Portugal,0
45,Private,172294,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,38,0,40,United-States,0
41,Private,350392,Bachelors,13,Married-spouse-absent,Exec-managerial,Other-relative,White,Male,29,1,35,Germany,0
18,Private,166303,12th,7,Never-married,Other-service,Own-child,White,Female,12,1,22,Thailand,0
21,Federal-gov,277716,Bachelors,13,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,9,1,40,India,0
41,Private,202352,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,4061,0,42,United-States,0
36,Private,195338,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1,40,United-States,0
20,Private,98074,7th-8th,3,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,26,0,31,Mexico,0
31,Local-gov,28991,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,5,2128,45,United-States,0
40,Private,115692,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,8,1682,45,United-States,1
70,Self-emp-inc,316978,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1,18,United-States,0
