age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,Private,263568,HS-grad,9,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0
33,Private,173979,Prof-school,15,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,56,United-States,1
49,Self-emp-inc,191995,Assoc-acdm,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,0
51,Private,115500,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1
48,Private,201975,1st-4th,11,Divorced,Other-service,Not-in-family,White,Male,0,0,40,England,0
23,Private,333584,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,0,0,30,United-States,0
40,Private,180282,Prof-school,9,Married-AF-spouse,Other-service,Not-in-family,White,Male,0,0,62,United-States,0
38,Private,235212,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,England,0
44,Private,55724,Prof-school,14,Married-AF-spouse,Prof-specialty,Unmarried,White,Male,0,0,67,United-States,0
47,Private,231743,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6258,0,40,Mexico,0
26,Local-gov,94210,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,49,United-States,0
18,Private,209456,11th,7,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0
38,Local-gov,117921,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,5431,0,64,United-States,1
39,Private,119059,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,1
36,Without-pay,180027,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,0,52,United-States,0
30,State-gov,33863,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
48,Self-emp-not-inc,156195,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,69,United-States,0
39,Private,193336,Some-college,5,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,0
35,Private,354074,Prof-school,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
29,Private,330517,Some-college,13,Married-AF-spouse,Sales,Own-child,White,Female,0,0,40,United-States,0
38,Private,334047,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
33,Local-gov,206715,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Ecuador,0
28,Private,109159,Bachelors,9,Never-married,Sales,Not-in-family,White,Male,13222,0,50,United-States,0
30,Private,542560,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,0
35,Private,591435,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
28,Local-gov,176741,Assoc-acdm,10,Never-married,Sales,Not-in-family,White,Female,0,0,15,Germany,0
35,Private,370110,10th,10,Divorced,Farming-fishing,Not-in-family,Other,Female,0,0,40,Mexico,0
41,Private,197212,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Philippines,0
24,Private,118973,Bachelors,13,Never-married,Adm-clerical,Unmarried,Other,Female,0,902,40,United-States,0
37,Private,232994,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
27,Federal-gov,278230,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
31,Private,277426,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,30,United-States,0
36,State-gov,181049,HS-grad,9,Married-AF-spouse,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
47,Private,176910,10th,6,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,36,Vietnam,0
62,Private,183538,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
41,Private,173563,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,20,United-States,0
26,State-gov,127766,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,61,United-States,0
59,Private,204209,7th-8th,6,Widowed,Other-service,Unmarried,White,Female,0,0,12,United-States,0
48,Private,187909,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,61,United-States,0
36,Private,192792,Bachelors,13,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,0
41,Private,189561,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
22,Private,199954,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
25,Private,94908,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Female,0,0,40,Germany,0
36,Private,261217,10th,7,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,0,19,Mexico,0
21,Private,146894,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
28,Private,206247,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,0
20,Local-gov,193884,HS-grad,5,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,55,United-States,0
42,Private,163409,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,1
48,State-gov,360663,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
50,Private,204701,9th,10,Separated,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,40,Portugal,0
38,Private,209695,Assoc-voc,4,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0
37,Private,194290,7th-8th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,31,Mexico,0
40,Private,86339,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
58,Self-emp-not-inc,294325,Prof-school,11,Married-spouse-absent,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
18,Private,209756,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
45,Private,166194,Bachelors,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,1
20,Private,130548,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,0,60,United-States,0
57,Private,352487,10th,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
19,Private,85983,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,12,United-States,0
43,Self-emp-not-inc,269479,12th,7,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,12,United-States,0
44,Private,277230,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,23,United-States,0
51,Federal-gov,150311,Assoc-voc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Vietnam,1
35,State-gov,194375,Bachelors,13,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,10043,0,40,United-States,0
20,Private,169053,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,50,United-States,0
33,Private,101532,Assoc-voc,10,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,0,881,40,United-States,1
49,Self-emp-not-inc,34213,Assoc-voc,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,183043,5th-6th,4,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,England,0
29,Private,190999,10th,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,Germany,0
33,State-gov,193827,Assoc-acdm,13,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
20,Private,215577,Bachelors,11,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,Taiwan,0
54,Private,181446,9th,6,Widowed,Other-service,Not-in-family,White,Male,0,0,40,Mexico,0
55,State-gov,125505,11th,9,Widowed,Other-service,Unmarried,White,Male,0,0,60,Germany,0
48,Private,167856,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,1
56,Private,332686,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
42,Private,106254,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,57,United-States,0
36,Private,132961,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
38,Local-gov,329455,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,941,50,United-States,1
47,Private,397809,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
58,Private,186680,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,67,United-States,0
44,Self-emp-inc,362161,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,8811,0,50,United-States,1
53,Private,260659,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,23,United-States,0
39,Private,190581,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
18,Private,41157,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
52,Private,311784,HS-grad,6,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Germany,0
41,Private,329641,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
19,Private,183963,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
41,Self-emp-not-inc,211613,7th-8th,7,Married-AF-spouse,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
51,Private,282735,Some-college,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
32,Local-gov,99387,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
46,Private,479981,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,0
40,Private,38965,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,4449,0,40,United-States,1
62,State-gov,76977,Masters,14,Divorced,Prof-specialty,Other-relative,Black,Male,7749,0,40,United-States,0
24,Local-gov,100532,Bachelors,13,Never-married,Adm-clerical,Husband,White,Female,7993,0,40,United-States,0
22,Private,244103,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,52,United-States,0
36,Private,185250,Assoc-acdm,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
33,Private,297939,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
51,Private,66267,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,63,United-States,0
35,State-gov,492706,Bachelors,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,England,0
47,Private,165230,Some-college,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,6201,0,40,United-States,0
39,Private,56077,Some-college,14,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
69,Self-emp-not-inc,133528,12th,8,Widowed,Tech-support,Unmarried,White,Female,0,0,16,United-States,0
56,Local-gov,111861,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
17,Private,180311,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,56,United-States,0
57,Private,115608,Some-college,10,Never-married,Tech-support,Wife,White,Female,0,0,40,United-States,0
19,Private,127052,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
31,Private,178865,Assoc-voc,10,Married-spouse-absent,Exec-managerial,Husband,White,Female,0,0,40,China,0
45,Private,152906,Bachelors,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
27,State-gov,246718,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,23,Trinadad&Tobago,0
37,Private,511197,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
48,Private,193461,Prof-school,11,Married-AF-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,South,0
57,Self-emp-not-inc,37279,12th,6,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
46,Self-emp-not-inc,163455,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
49,State-gov,444142,Masters,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,62,United-States,1
43,Private,197712,HS-grad,9,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
46,Private,561367,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,0
21,Private,201595,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,0
19,Private,269804,10th,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,Nicaragua,0
26,Private,61108,Assoc-acdm,13,Never-married,Prof-specialty,Own-child,White,Female,0,940,40,United-States,0
56,Self-emp-not-inc,93431,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,7867,0,50,United-States,1
79,State-gov,231276,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,0
24,Private,207289,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,0
30,Private,169190,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,1
68,Without-pay,177870,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3964,0,45,United-States,1
62,Private,179669,HS-grad,6,Widowed,Sales,Unmarried,White,Female,0,0,53,United-States,0
26,Private,113839,Bachelors,7,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Germany,0
39,Private,442119,Prof-school,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,0
17,Private,226189,11th,7,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,24,United-States,0
51,Private,198209,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,0
45,Local-gov,323340,Doctorate,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,59,United-States,0
50,Private,334782,11th,15,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,England,0
32,Private,94520,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,4183,0,40,United-States,0
40,Local-gov,117543,Preschool,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
48,Self-emp-not-inc,208978,HS-grad,9,Married-AF-spouse,Prof-specialty,Wife,White,Male,0,0,62,United-States,0
19,Federal-gov,196490,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,64,United-States,0
