age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48,Private,87023,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,8198,0,40,United-States,1
33,Private,171869,5th-6th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
19,Private,172138,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
21,Private,153701,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,1,40,United-States,0
43,Private,197310,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,50,United-States,1
24,Private,122535,9th,5,Never-married,Other-service,Other-relative,White,Female,0,1,40,United-States,0
25,Private,118454,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
28,Private,111259,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,23,0,40,United-States,0
31,Private,111043,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,4,0,40,United-States,0
64,Private,93199,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,4033,0,40,United-States,0
44,Private,162406,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,40,United-States,0
26,Private,139137,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,2,0,40,United-States,0
22,Private,119316,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,0
26,Private,85839,10th,7,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0
62,Private,79178,10th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
51,Private,110447,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
28,Private,124865,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,192066,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
61,Private,124086,11th,7,Married-civ-spouse,Sales,Husband,White,Male,5,1,40,United-States,1
20,Private,169235,10th,7,Never-married,Other-service,Own-child,White,Male,1,0,40,United-States,0
23,Private,129768,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2,0,40,United-States,0
24,Private,96992,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,92604,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
40,Private,161395,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
27,Private,94274,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,59037,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
22,Private,73620,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0
22,Private,182335,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
19,Private,127835,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,0
26,Private,109056,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
18,Private,161803,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
22,Private,111372,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2,0,40,United-States,0
33,Private,201235,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
40,Private,147901,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,8028,0,40,United-States,1
36,Private,126938,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
40,Private,186417,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
53,Private,109692,Some-college,10,Divorced,Other-service,Unmarried,White,Female,15,0,40,United-States,0
42,Private,175320,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,1,1,40,United-States,0
41,Private,207455,Assoc-voc,7,Divorced,Craft-repair,Husband,White,Male,2,0,40,United-States,0
40,Private,158643,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
52,Self-emp-not-inc,86928,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
56,Private,128061,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Male,2,0,40,United-States,0
