age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
60,Private,623854,Assoc-acdm,12,Separated,Other-service,Unmarried,White,Female,2,0,18,United-States,0
42,Local-gov,145022,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,12,0,40,United-States,1
59,Private,319491,12th,8,Married-spouse-absent,Transport-moving,Husband,Black,Male,8,0,35,United-States,0
38,Self-emp-not-inc,186023,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,56,United-States,1
34,Private,308797,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,3,0,45,Poland,0
37,Private,238567,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7,1,40,United-States,1
22,Private,253267,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,10,1,50,United-States,0
56,Private,204317,10th,15,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,15097,0,44,Poland,1
45,Private,312203,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,15,0,40,United-States,0
18,Private,36419,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,43,United-States,0
37,Self-emp-inc,43849,Some-college,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,0,55,United-States,1
34,Private,180393,Bachelors,13,Never-married,Other-service,Own-child,White,Female,8,0,30,United-States,0
35,Local-gov,194640,Masters,14,Divorced,Protective-serv,Not-in-family,White,Male,35,0,56,United-States,1
41,Private,31195,Assoc-acdm,9,Divorced,Tech-support,Not-in-family,White,Female,7,0,14,United-States,0
64,Self-emp-not-inc,174807,7th-8th,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3521,0,68,United-States,0
38,State-gov,49868,10th,7,Never-married,Prof-specialty,Not-in-family,White,Female,3914,0,56,United-States,0
70,Private,285869,Assoc-voc,11,Married-AF-spouse,Machine-op-inspct,Wife,White,Female,4,0,40,United-States,1
43,Federal-gov,188132,Bachelors,13,Divorced,Adm-clerical,Unmarried,Black,Female,3469,0,34,United-States,0
45,Private,160560,Prof-school,7,Divorced,Exec-managerial,Not-in-family,White,Female,4,0,40,United-States,0
36,Federal-gov,104749,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7698,0,45,United-States,1
25,Private,172579,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,11,0,40,United-States,0
43,Self-emp-not-inc,41722,Bachelors,13,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,14,0,54,China,1
47,Private,54271,HS-grad,9,Divorced,Adm-clerical,Other-relative,Black,Female,8,0,18,United-States,0
61,Private,202013,12th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,3246,1,40,United-States,0
39,Private,174705,10th,7,Married-civ-spouse,Craft-repair,Other-relative,Black,Male,8,1,40,United-States,0
40,Local-gov,231294,10th,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,10,0,35,Cuba,0
32,Private,281796,7th-8th,5,Never-married,Other-service,Husband,Other,Male,33,0,76,Mexico,0
29,Private,440350,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Male,0,0,40,Mexico,0
67,Private,321940,5th-6th,5,Divorced,Adm-clerical,Wife,Other,Male,0,0,40,Mexico,0
69,Federal-gov,56461,HS-grad,9,Separated,Adm-clerical,Own-child,Black,Female,19,1,17,United-States,0
51,Private,187718,Masters,14,Divorced,Craft-repair,Not-in-family,White,Male,15235,1,40,United-States,1
24,Private,173540,Bachelors,9,Never-married,Other-service,Own-child,White,Female,13,0,43,United-States,0
30,Local-gov,259177,Some-college,10,Divorced,Exec-managerial,Own-child,White,Female,5,1,45,United-States,0
83,Private,146996,1st-4th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,3,1,40,Portugal,0
35,Private,344122,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,45,United-States,1
20,Private,141364,12th,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,29,0,30,United-States,0
19,Private,368865,11th,7,Never-married,Other-service,Own-child,Black,Male,58,0,16,United-States,0
63,Local-gov,202409,7th-8th,7,Widowed,Other-service,Unmarried,Black,Female,28,0,40,United-States,0
60,Private,227109,Assoc-voc,4,Divorced,Prof-specialty,Own-child,White,Male,10,1,57,Mexico,0
35,Private,320473,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,13,0,50,China,1
76,Private,131142,9th,4,Widowed,Other-service,Unmarried,White,Female,4,1,16,United-States,0
20,Private,36770,HS-grad,9,Widowed,Adm-clerical,Own-child,Black,Female,0,0,35,United-States,0
35,Private,111052,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,9,0,40,Germany,1
26,Private,236400,10th,6,Separated,Adm-clerical,Own-child,White,Female,39,1,17,United-States,0
20,Private,299316,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,1,14,United-States,0
39,Private,42833,Bachelors,13,Separated,Priv-house-serv,Not-in-family,White,Female,0,0,40,United-States,0
58,Local-gov,316330,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Black,Male,16,0,35,United-States,0
78,Private,172005,7th-8th,5,Widowed,Other-service,Not-in-family,White,Female,16,0,16,Guatemala,0
59,Private,189695,Masters,14,Divorced,Other-service,Not-in-family,White,Male,3834,0,44,United-States,0
26,Private,328598,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,3590,1,30,Vietnam,0
19,Private,311105,Assoc-voc,11,Divorced,Prof-specialty,Own-child,White,Female,11,0,54,United-States,0
34,Private,22729,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,1,57,United-States,0
43,Private,284174,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,12,0,40,United-States,1
56,Self-emp-not-inc,200465,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,15,0,67,United-States,0
61,Private,151713,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,19,0,18,Ecuador,0
63,Private,123986,HS-grad,10,Married-civ-spouse,Other-service,Unmarried,Black,Male,2,0,40,United-States,0
29,Self-emp-not-inc,345163,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,2,0,50,United-States,0
39,Private,96921,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3268,0,40,United-States,0
25,Self-emp-not-inc,369799,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,3625,0,29,United-States,1
31,Self-emp-not-inc,130894,Assoc-acdm,12,Married-spouse-absent,Machine-op-inspct,Other-relative,White,Female,28,1,57,United-States,0
25,Private,367188,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1,29,United-States,0
52,Self-emp-not-inc,191169,10th,7,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,13,0,54,Portugal,0
35,Private,172195,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,2,1,40,United-States,0
39,Private,46964,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,50,United-States,1
52,Self-emp-not-inc,161792,Bachelors,16,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,26,2091,59,South,1
38,Private,174856,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,7776,1912,45,United-States,1
20,Private,134320,9th,5,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,25,0,35,Cuba,0
30,Self-emp-not-inc,108926,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3,0,40,Germany,0
22,State-gov,288052,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,3470,0,50,United-States,0
39,Private,283314,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,8,0,36,Portugal,0
30,Private,383283,11th,5,Never-married,Other-service,Unmarried,White,Female,25,0,29,United-States,0
29,Private,32883,5th-6th,5,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,25,0,40,Germany,0
37,Private,331742,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,10,0,20,United-States,0
36,Private,190349,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,17,1,34,Philippines,1
46,Private,218952,Some-college,10,Separated,Other-service,Unmarried,Black,Male,9,0,40,United-States,0
20,Private,91407,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,56,United-States,0
28,Private,345748,7th-8th,3,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,29,Mexico,0
32,Private,416091,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,0
37,Private,121082,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7600,0,55,United-States,1
46,Self-emp-inc,186578,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,11,1,71,United-States,0
56,Private,381356,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,12,1,40,United-States,1
51,Private,99647,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,7844,1,40,United-States,0
37,Private,165473,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,21,2,55,Germany,1
70,Private,266771,HS-grad,9,Widowed,Transport-moving,Own-child,White,Female,36,0,35,Germany,0
38,Private,201026,Bachelors,13,Separated,Craft-repair,Unmarried,White,Female,1,2073,40,United-States,0
26,Private,68565,Some-college,10,Married-civ-spouse,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,28,1,45,United-States,1
20,Private,257928,11th,7,Never-married,Craft-repair,Unmarried,White,Male,5,0,50,United-States,0
34,Federal-gov,186007,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,45,0,40,United-States,0
53,Private,167209,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,5,0,40,Taiwan,1
57,Private,360878,9th,4,Married-civ-spouse,Craft-repair,Husband,Other,Male,43,0,40,Germany,0
40,Private,90384,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,22,1,58,United-States,0
56,State-gov,278500,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,56,United-States,0
36,Local-gov,192857,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,11,0,50,United-States,0
