age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
58,Private,160159,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,0
33,Private,60282,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,910,63,United-States,1
46,Federal-gov,200501,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,56,United-States,0
44,Self-emp-inc,99769,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,India,1
37,Private,143975,7th-8th,4,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Female,0,0,12,England,0
56,Private,150753,Some-college,10,Widowed,Adm-clerical,Own-child,White,Female,7189,0,45,United-States,0
37,Private,114034,Masters,14,Married-AF-spouse,Machine-op-inspct,Own-child,White,Female,0,0,49,United-States,0
32,Private,59113,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,England,0
26,Private,111962,7th-8th,7,Married-AF-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,0
22,Private,150065,10th,4,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,58,United-States,0
81,Local-gov,189555,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,939,40,United-States,1
17,Federal-gov,136551,11th,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
40,Local-gov,296563,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,937,40,India,1
28,Private,182816,Some-college,10,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,57,United-States,0
31,Without-pay,182959,Some-college,10,Separated,Other-service,Own-child,White,Female,0,0,40,United-States,0
21,State-gov,88905,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
34,Private,175109,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,30,United-States,0
44,Private,296324,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
41,State-gov,250906,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
21,Private,214286,Assoc-acdm,13,Married-AF-spouse,Prof-specialty,Wife,White,Female,0,0,61,United-States,0
32,Private,204961,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
30,Private,56355,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,0
25,Private,138041,HS-grad,7,Never-married,Sales,Own-child,White,Male,0,0,36,United-States,0
38,Private,172977,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
39,Private,290279,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
54,State-gov,54773,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,0
22,Private,257655,10th,6,Divorced,Machine-op-inspct,Not-in-family,Other,Male,0,0,40,United-States,0
46,Private,171158,Assoc-voc,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,1
43,Private,240228,Some-college,10,Widowed,Protective-serv,Wife,Other,Female,0,0,54,United-States,0
52,Private,225110,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
50,Local-gov,109080,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
37,Self-emp-inc,136870,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,927,58,United-States,0
39,Private,176667,Prof-school,15,Married-AF-spouse,Other-service,Wife,White,Female,0,0,50,United-States,1
28,Local-gov,152353,9th,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,Vietnam,0
37,Private,104268,HS-grad,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
40,Private,132353,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
20,Private,144095,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
72,Local-gov,157756,HS-grad,7,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,12,United-States,0
25,Private,106101,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
44,Private,189390,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,45,Philippines,0
34,Private,182691,11th,6,Widowed,Other-service,Unmarried,White,Female,0,0,35,United-States,0
32,Private,86576,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,59,United-States,0
34,Private,67761,7th-8th,9,Separated,Machine-op-inspct,Other-relative,White,Female,0,0,40,Germany,0
36,Private,272879,10th,7,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
35,Self-emp-inc,194329,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
40,Private,205127,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1
37,Self-emp-not-inc,387823,HS-grad,9,Never-married,Other-service,Other-relative,Black,Male,0,0,40,United-States,0
74,Self-emp-not-inc,179248,7th-8th,9,Widowed,Other-service,Unmarried,White,Female,0,0,30,United-States,0
67,State-gov,45313,Masters,14,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
38,Private,254707,Assoc-voc,4,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,Portugal,0
53,Private,191827,Masters,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,61,United-States,0
50,Private,170180,7th-8th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
37,Private,142326,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,0
54,Self-emp-not-inc,167837,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,44,United-States,0
34,Private,213689,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
22,Private,250632,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,54,United-States,0
33,Private,185572,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,36,United-States,0
26,Private,180973,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0
33,Private,116802,Assoc-voc,11,Divorced,Tech-support,Unmarried,Black,Male,0,0,40,United-States,0
18,Private,61751,12th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,14,United-States,0
40,Private,94750,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Jamaica,0
44,Private,101542,HS-grad,9,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,0,0,40,Vietnam,0
62,State-gov,102783,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,920,50,United-States,1
32,Private,107864,Some-college,10,Widowed,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
29,Private,108518,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
31,Private,276316,Assoc-acdm,4,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
42,Private,257775,Assoc-voc,11,Divorced,Craft-repair,Wife,White,Male,0,0,40,England,0
21,Private,231962,HS-grad,9,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,Germany,0
34,State-gov,163284,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
23,Private,313106,7th-8th,9,Separated,Other-service,Unmarried,White,Female,0,0,40,Taiwan,0
24,Private,315563,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,8,United-States,0
43,Private,296285,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Germany,0
24,Private,250602,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
45,Self-emp-not-inc,225169,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
35,Local-gov,32893,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
52,Private,269647,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,0,0,40,United-States,0
65,Private,177648,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,920,61,United-States,1
38,Private,132739,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,912,50,United-States,0
34,Self-emp-inc,229363,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
