age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
49,Private,217176,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
34,Private,148098,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
21,Private,105041,HS-grad,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,0
18,Private,86409,Some-college,10,Never-married,Sales,Own-child,White,Female,0,1,15,United-States,0
22,Private,263008,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
42,Private,146344,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
60,Self-emp-not-inc,74798,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,98802,0,50,United-States,1
42,Private,193063,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1873,50,United-States,1
25,Private,191937,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,1,0,40,United-States,0
17,Private,71580,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0
38,Self-emp-not-inc,134167,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,0
55,Private,173940,9th,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,3,0,40,United-States,0
38,Private,55949,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,0
62,Private,75933,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,10,0,40,United-States,1
48,Private,147081,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
32,Private,199475,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
21,Private,141076,11th,8,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,0
55,Self-emp-not-inc,141892,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
22,Private,145036,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,1,0,19,United-States,0
51,Self-emp-not-inc,100652,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
54,Self-emp-not-inc,111897,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,1
45,Local-gov,73300,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,3656,0,40,United-States,0
33,Private,170809,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
32,Private,172070,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
47,Private,231795,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
65,Private,69911,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41,Private,154499,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,Black,Male,0,0,40,United-States,0
42,Private,91721,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
50,Private,187206,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,40,United-States,1
37,Private,180127,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
47,Private,138029,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
55,Private,94392,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,3,0,15,United-States,0
38,Private,179836,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0
18,Private,177069,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,1,0,19,United-States,0
47,Private,190371,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
18,Private,109026,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,12,0,23,Philippines,0
28,Local-gov,151344,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
28,State-gov,192984,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Male,8,0,40,United-States,0
24,Private,75421,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,1,0,40,United-States,0
62,Self-emp-not-inc,122247,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
41,Private,27504,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
42,Private,209154,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1943,40,United-States,1
50,Private,170064,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,8,0,40,United-States,1
40,Private,84705,10th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
21,Private,198700,7th-8th,3,Never-married,Other-service,Own-child,White,Female,0,1,15,United-States,0
54,Private,174944,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
44,Private,133742,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
20,Private,75593,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,11,United-States,0
35,Private,212158,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States,0
40,Private,185307,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
43,Private,77889,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
51,Private,91236,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
45,Private,205206,Bachelors,10,Divorced,Exec-managerial,Unmarried,White,Female,2,0,40,United-States,0
51,Private,190679,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,4282,0,40,United-States,0
23,Self-emp-inc,113804,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,0
25,Private,191610,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,3,0,40,United-States,0
48,Private,102903,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,40,United-States,1
27,Private,85258,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
44,Private,186415,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,4127,0,40,United-States,1
40,Private,111440,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,1
50,Private,114668,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
46,Private,98491,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
28,Private,211292,Bachelors,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,44,United-States,0
45,Private,188624,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,40,United-States,1
38,Private,212901,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
23,Self-emp-not-inc,134131,Some-college,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,1,1,40,United-States,0
21,Private,174468,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,0
39,Private,93539,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
22,Private,201508,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
29,Private,187950,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
52,Private,99595,10th,7,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,0
28,Private,77623,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
46,Private,79317,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
44,Private,99434,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,8233,0,40,United-States,1
42,Self-emp-not-inc,42172,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
30,Private,37694,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
38,Private,173281,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1794,40,United-States,1
