age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,163271,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
23,Private,70399,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,11,0,22,United-States,0
37,Self-emp-not-inc,125755,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,35,United-States,0
43,State-gov,219705,Some-college,10,Divorced,Sales,Not-in-family,White,Male,4,1,20,United-States,1
48,Private,24804,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1,14,United-States,0
32,Private,169982,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0
51,Private,197659,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,0
28,Private,145707,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,57,United-States,0
32,Private,216320,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,0
19,Private,242347,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
26,Private,279047,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
55,Private,182071,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,1,30,United-States,0
55,Private,182107,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,172280,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States,0
46,Private,166086,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,58,United-States,0
22,Private,210885,Assoc-voc,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
30,Private,95739,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,1
54,Private,59185,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
31,Private,21618,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,33,1,15,United-States,0
18,Private,186105,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,31,United-States,0
52,State-gov,41860,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,58,United-States,0
39,Self-emp-inc,111446,Some-college,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,45,United-States,1
36,Self-emp-inc,39834,5th-6th,6,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,1,40,United-States,0
20,Private,190697,7th-8th,7,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,29,Trinadad&Tobago,0
58,Private,271674,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,1,45,United-States,0
28,Self-emp-not-inc,207062,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
28,Private,186773,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
45,Private,182684,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1941,40,United-States,0
26,Private,192210,Masters,14,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
42,Federal-gov,249686,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7299,1,50,United-States,1
53,Private,266854,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,36,United-States,0
35,Private,121112,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,31,0,40,United-States,0
59,Private,210934,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,44,United-States,0
76,Private,184927,10th,5,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
60,Self-emp-not-inc,158165,9th,5,Divorced,Other-service,Unmarried,White,Female,0,0,21,United-States,0
39,Local-gov,194853,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1,57,United-States,0
25,State-gov,196053,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,0
27,Private,319886,Assoc-acdm,11,Never-married,Prof-specialty,Own-child,Black,Female,4,0,68,United-States,0
28,Local-gov,82423,Assoc-acdm,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
52,Private,223547,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,2147,40,United-States,0
44,Private,251173,HS-grad,7,Married-civ-spouse,Adm-clerical,Husband,White,Female,12,0,40,United-States,0
45,Self-emp-inc,118596,Assoc-acdm,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,14,0,50,United-States,0
50,Private,198423,Prof-school,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,22,0,40,United-States,1
26,Private,104121,Assoc-voc,11,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
46,Federal-gov,93068,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,1,55,United-States,1
29,Private,178826,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,3807,0,50,United-States,0
40,Local-gov,148107,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,3,0,40,United-States,1
45,Private,178625,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
26,Self-emp-not-inc,176801,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,17,United-States,0
57,Federal-gov,218976,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,9,2,40,United-States,1
32,Private,185122,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,18,United-States,0
40,Private,125163,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,47,United-States,0
17,Private,130067,5th-6th,6,Widowed,Machine-op-inspct,Own-child,White,Female,0,0,23,Trinadad&Tobago,0
19,Private,149416,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
28,Private,164613,HS-grad,4,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
52,State-gov,141728,Assoc-voc,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,0
