age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
68,Private,338020,Some-college,10,Divorced,Sales,Not-in-family,White,Male,8033,0,35,United-States,0
50,Private,202632,10th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Greece,0
41,Private,137522,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,0
46,Private,44410,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
45,Private,193581,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,0
61,Private,198183,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,925,35,United-States,0
56,Private,109535,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
25,Private,181418,HS-grad,9,Separated,Craft-repair,Own-child,Black,Male,0,0,40,United-States,0
49,Private,209648,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,0
21,Private,328235,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
58,Private,192939,10th,15,Married-civ-spouse,Other-service,Wife,White,Male,99999,0,40,United-States,0
43,Private,117373,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,22,United-States,0
26,Private,156270,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,45,United-States,0
21,Private,111197,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7043,0,40,United-States,0
18,Private,223905,10th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,13,United-States,0
22,Private,207947,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,17,United-States,0
47,Private,73413,Masters,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,1
22,Private,293209,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,0,0,40,United-States,0
42,Private,182486,Assoc-voc,11,Divorced,Exec-managerial,Wife,White,Male,5205,0,40,United-States,1
22,Private,426328,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
36,Self-emp-inc,216752,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,47,United-States,1
23,Private,240080,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,0
23,Private,208849,7th-8th,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
45,Private,145222,Masters,14,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,52,United-States,0
60,Private,79369,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,0
35,Private,158628,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,57,United-States,0
23,Private,176069,9th,7,Never-married,Handlers-cleaners,Not-in-family,Black,Female,0,0,50,United-States,0
67,Private,173742,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,0
25,Private,64709,7th-8th,6,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,10,United-States,0
68,Private,170788,Some-college,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,43,United-States,0
