age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,178116,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,187221,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
22,Private,199474,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
19,Private,192154,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,1,40,United-States,0
49,Private,221337,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
31,Private,130941,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,0
42,Private,226847,Prof-school,16,Married-civ-spouse,Craft-repair,Husband,Other,Male,7470,0,40,United-States,1
29,Private,123559,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
67,Self-emp-not-inc,150004,HS-grad,9,Separated,Other-service,Unmarried,White,Female,3,0,40,United-States,0
49,Private,81435,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
28,Private,92887,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,0
49,Self-emp-not-inc,93226,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,56,United-States,1
26,Private,63410,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,0
23,Private,185509,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
20,Private,106975,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0
24,Private,172014,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
22,Private,173683,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
53,Private,125629,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
53,Self-emp-not-inc,80908,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,1,40,United-States,0
53,Private,104576,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7556,0,40,United-States,1
57,Private,135439,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,6,0,40,United-States,0
42,Self-emp-not-inc,106362,Assoc-acdm,12,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
48,Private,122463,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
25,Private,138187,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
