age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
58,Private,318374,Assoc-acdm,9,Separated,Sales,Unmarried,Black,Female,0,0,50,United-States,0
21,Private,219931,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,1798,36,United-States,1
52,Local-gov,123793,Assoc-voc,11,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,0
25,Private,138961,1st-4th,10,Never-married,Craft-repair,Husband,White,Female,0,0,50,United-States,1
35,Private,236091,HS-grad,9,Divorced,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
46,Local-gov,134129,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,97709,0,50,United-States,1
42,Private,131813,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
42,Private,162925,5th-6th,12,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,50,United-States,0
23,Private,136538,HS-grad,9,Widowed,Other-service,Not-in-family,White,Male,0,0,45,United-States,0
47,Self-emp-not-inc,45368,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,1
57,Private,122351,Assoc-acdm,11,Widowed,Other-service,Unmarried,White,Female,13,0,36,United-States,0
52,Self-emp-not-inc,319745,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,50,United-States,0
26,Self-emp-not-inc,75307,10th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,30,United-States,0
74,Self-emp-not-inc,36707,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,13,0,40,United-States,0
49,Private,90185,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,50,United-States,1
34,Private,114003,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,1
40,Private,130711,Assoc-acdm,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,1
24,Private,282051,Assoc-voc,11,Widowed,Adm-clerical,Unmarried,Other,Female,3088,0,50,United-States,0
22,Private,225161,Some-college,10,Divorced,Adm-clerical,Own-child,Black,Female,0,1797,40,United-States,1
39,Self-emp-not-inc,270521,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,58,United-States,0
57,Self-emp-not-inc,114202,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
38,Private,115428,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
37,Private,371351,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,2,0,40,United-States,0
75,Self-emp-inc,200532,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,Thailand,0
52,Private,282533,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,50,United-States,1
36,Private,94872,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
43,Private,112396,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7556,0,45,Iran,1
44,Self-emp-inc,104622,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,7867,0,40,United-States,1
33,Self-emp-not-inc,128463,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
64,Private,257066,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,11,0,40,United-States,0
41,Self-emp-not-inc,183084,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
51,Private,179780,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,73,Mexico,0
47,Self-emp-not-inc,45357,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,293318,Assoc-voc,12,Widowed,Sales,Unmarried,White,Female,3,0,40,United-States,1
25,Self-emp-not-inc,227940,Bachelors,4,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,0
34,Self-emp-not-inc,337558,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
32,Private,188032,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
20,Private,105414,5th-6th,7,Never-married,Sales,Own-child,White,Female,0,1,21,United-States,0
58,Private,239207,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
37,Private,209184,HS-grad,9,Never-married,Other-service,Own-child,White,Female,1,0,40,United-States,0
66,Self-emp-not-inc,344763,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
32,Private,109541,Assoc-voc,12,Never-married,Adm-clerical,Not-in-family,White,Female,7,0,23,United-States,1
59,Local-gov,98556,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,7361,0,40,United-States,1
51,Self-emp-not-inc,323204,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
34,Private,217306,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,2762,1785,40,United-States,1
43,Private,275999,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Other,Male,2,1,40,United-States,1
22,Private,39233,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,11,0,50,United-States,1
41,Self-emp-not-inc,314287,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,36,United-States,0
43,Private,294440,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,2,0,40,United-States,0
41,Self-emp-inc,305593,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
45,Private,173003,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,40,United-States,0
34,Self-emp-not-inc,215617,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,11,0,30,United-States,0
61,Private,319875,5th-6th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
24,Private,35418,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,17,United-States,0
51,State-gov,104258,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,21,0,40,United-States,0
24,Private,493372,1st-4th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Cuba,0
32,Private,192092,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
46,Private,90956,Assoc-voc,10,Divorced,Exec-managerial,Unmarried,White,Female,9,0,40,United-States,0
48,State-gov,296811,Assoc-acdm,12,Divorced,Machine-op-inspct,Unmarried,White,Female,3,0,40,China,0
35,Self-emp-not-inc,170777,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,13,0,58,United-States,0
70,Private,124536,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,50,United-States,1
57,Private,113486,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,1887,50,United-States,1
40,Private,59079,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
48,Private,200077,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,0,40,United-States,1
45,Federal-gov,150269,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
51,Private,368343,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,15,0,40,United-States,1
41,Private,280225,5th-6th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,21,Nicaragua,0
19,Federal-gov,156794,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,31,United-States,0
44,Private,299278,Assoc-voc,12,Widowed,Exec-managerial,Unmarried,Black,Female,0,0,40,England,0
32,Private,271301,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Female,1,0,40,United-States,1
44,Private,97595,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,27,0,36,United-States,1
31,Private,169724,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,8,1794,40,United-States,1
47,Private,310657,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Male,7,0,99,United-States,0
40,Self-emp-inc,110333,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Other,Female,13,0,40,United-States,0
34,Self-emp-not-inc,124192,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,0
42,Private,253346,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,22,0,40,United-States,0
21,Private,250697,5th-6th,7,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,2,0,40,United-States,0
40,Private,241989,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,11,0,40,United-States,0
33,Self-emp-not-inc,144580,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
38,Private,239234,5th-6th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,26,United-States,0
48,Federal-gov,104885,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
39,Private,214990,Assoc-acdm,12,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
21,Private,231233,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,9,0,46,Peru,0
28,Self-emp-not-inc,212926,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1924,46,United-States,0
50,State-gov,209992,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,10,0,40,United-States,0
55,Private,99085,Assoc-voc,12,Divorced,Sales,Unmarried,Black,Female,10,0,40,United-States,0
62,Private,223424,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,6,0,40,Peru,1
20,Self-emp-not-inc,297451,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,4,0,40,United-States,0
43,Federal-gov,424189,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,14,0,40,United-States,1
40,Local-gov,211186,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,1,61,India,0
37,Self-emp-not-inc,56381,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,40,United-States,0
25,Private,211639,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,Black,Female,3,0,40,United-States,0
51,Self-emp-not-inc,234940,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,0
45,Private,130659,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,14,0,40,United-States,1
50,Private,202345,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,17,0,40,United-States,0
23,Private,33567,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
50,Private,382365,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
65,Self-emp-not-inc,139852,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,57,United-States,1
58,Self-emp-not-inc,234682,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,1
41,Private,203100,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,6,0,50,United-States,0
40,Self-emp-not-inc,148372,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
40,Local-gov,242008,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,0,50,United-States,1
69,Private,205065,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,Black,Female,6,0,40,United-States,1
42,Private,112763,Bachelors,13,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,12,0,40,United-States,1
69,Local-gov,48847,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
40,Federal-gov,107705,Doctorate,15,Married-civ-spouse,Sales,Unmarried,Asian-Pac-Islander,Male,9,0,50,United-States,0
19,Private,215308,5th-6th,7,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,30,United-States,0
90,Self-emp-not-inc,227973,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,7524,0,40,United-States,0
44,Self-emp-inc,110510,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,8,0,50,United-States,0
23,Private,112907,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,3027,0,40,United-States,0
44,Private,111551,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1722,40,United-States,1
61,Self-emp-not-inc,269038,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,0,61,United-States,1
42,Private,332457,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,0
41,Self-emp-not-inc,185100,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,6,0,40,United-States,0
50,Private,79696,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,Black,Female,1,0,40,India,0
32,Self-emp-not-inc,262070,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
47,Private,218756,HS-grad,9,Divorced,Other-service,Own-child,White,Female,10,0,40,United-States,0
59,Self-emp-not-inc,108944,Prof-school,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,14,0,57,Greece,1
24,Self-emp-not-inc,487086,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,7,0,40,United-States,0
40,Private,295259,Doctorate,15,Married-civ-spouse,Adm-clerical,Wife,Black,Male,7,0,40,United-States,0
57,Private,297403,Assoc-acdm,7,Never-married,Other-service,Unmarried,White,Female,0,0,27,United-States,0
53,Private,126286,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,50,United-States,1
34,Private,104205,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
42,Private,137665,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,0,40,United-States,0
49,Private,119991,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,50,United-States,1
35,Private,120146,HS-grad,4,Never-married,Adm-clerical,Not-in-family,Other,Male,17,0,40,United-States,0
19,Private,253728,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,30,United-States,0
42,Self-emp-not-inc,160770,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Yugoslavia,1
35,Private,125066,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
36,Private,42571,1st-4th,16,Married-civ-spouse,Sales,Husband,White,Male,0,0,59,United-States,0
41,Local-gov,170888,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
43,Private,255445,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,36,United-States,0
20,Private,210084,5th-6th,7,Never-married,Adm-clerical,Own-child,White,Female,5,0,14,United-States,0
42,Private,115675,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,36,United-States,1
28,Private,189228,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
21,Private,420234,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,21,United-States,0
18,Self-emp-not-inc,73244,5th-6th,10,Never-married,Craft-repair,Own-child,White,Male,0,0,19,United-States,0
48,Federal-gov,310836,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0
45,Local-gov,114831,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,7590,0,40,United-States,1
24,Private,182852,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,36,0,30,United-States,0
39,Private,119676,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,36,United-States,0
42,State-gov,141038,Assoc-voc,12,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,36,United-States,0
40,Private,296508,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,1,0,40,India,1
77,Private,280102,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,Black,Female,21,0,40,Iran,0
40,Self-emp-inc,311345,Bachelors,15,Married-civ-spouse,Sales,Husband,White,Male,7,0,40,United-States,0
39,Private,38529,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
52,Private,125507,Assoc-voc,9,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,18,0,31,United-States,1
66,Private,111677,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,8,0,45,United-States,1
47,Federal-gov,206181,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,China,1
41,Self-emp-not-inc,106300,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,6,0,40,United-States,0
32,Private,124161,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Male,13,0,50,United-States,1
23,Private,120796,Assoc-voc,16,Never-married,Adm-clerical,Unmarried,White,Female,15,0,40,Cuba,0
28,Self-emp-not-inc,29264,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,13,0,40,United-States,0
43,Private,300453,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
34,Private,136375,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,5,0,40,United-States,0
29,Private,60778,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,8,0,50,United-States,1
57,Private,141762,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,19,0,40,China,1
53,Self-emp-not-inc,227827,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,United-States,0
17,Private,174720,10th,7,Never-married,Other-service,Own-child,Black,Female,0,0,14,United-States,0
47,Private,275485,10th,9,Divorced,Sales,Not-in-family,Black,Female,0,0,40,United-States,0
42,Private,121014,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,27,0,40,United-States,0
58,Private,89755,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Male,0,0,36,United-States,1
41,Private,392759,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
33,Private,103948,1st-4th,9,Never-married,Craft-repair,Not-in-family,Black,Female,15,0,40,United-States,0
37,Self-emp-inc,125871,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,1,40,United-States,1
19,Private,126804,Some-college,13,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,0
18,Private,358711,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
54,Private,94453,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7366,0,50,United-States,1
20,Private,224163,5th-6th,7,Divorced,Other-service,Own-child,Black,Female,13,1,18,United-States,0
63,Federal-gov,128270,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,0,40,United-States,1
43,Private,248849,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Male,2,0,40,United-States,1
17,Private,138871,5th-6th,4,Never-married,Other-service,Own-child,White,Female,19,0,21,Peru,0
21,Private,160443,11th,5,Never-married,Other-service,Own-child,White,Female,0,1,21,United-States,0
29,Self-emp-not-inc,59434,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
56,Private,114210,HS-grad,11,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,1
28,State-gov,78164,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
20,Private,84444,Bachelors,13,Widowed,Sales,Own-child,White,Female,18,0,37,United-States,0
