age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
53,Private,701707,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
56,Self-emp-not-inc,143514,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,Male,5231,0,40,United-States,0
22,Private,472383,Doctorate,15,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,51,United-States,0
43,Private,178874,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,20,United-States,0
32,Private,484838,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,880,40,Puerto-Rico,0
39,Private,34768,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,33,United-States,1
30,Self-emp-not-inc,167701,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,905,58,United-States,1
49,Private,192131,10th,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,0
23,Private,45769,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0
34,Private,145645,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,0
36,Private,191232,10th,4,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,0,0,57,United-States,0
35,Self-emp-not-inc,267454,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
22,Private,213974,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,0
38,Self-emp-inc,111097,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,31,United-States,0
37,Self-emp-not-inc,253898,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,3810,0,40,United-States,1
35,Federal-gov,46966,Some-college,10,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
52,Local-gov,71821,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,Philippines,1
55,Private,188907,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,0
17,Private,231389,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,0
35,Private,95664,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,0
53,Private,179489,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,50,Philippines,0
21,Private,256579,11th,6,Never-married,Sales,Other-relative,White,Female,0,0,19,United-States,0
28,Federal-gov,39155,Some-college,9,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0,50,United-States,0
50,Private,103362,Doctorate,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,54,United-States,0
32,Private,193284,HS-grad,9,Divorced,Tech-support,Unmarried,White,Male,0,0,40,United-States,0
44,Private,125463,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,50,United-States,1
46,Self-emp-not-inc,138363,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,0
54,Private,250964,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0
55,Private,55670,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
38,Self-emp-not-inc,600429,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,38,United-States,1
27,Private,83742,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,16,United-States,0
20,Local-gov,207224,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,8,United-States,0
48,Self-emp-not-inc,288323,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Male,0,0,50,United-States,0
31,Private,271395,HS-grad,9,Divorced,Tech-support,Unmarried,White,Male,0,0,35,United-States,0
33,Private,115459,Some-college,10,Divorced,Tech-support,Unmarried,White,Male,0,0,35,United-States,0
52,Private,129404,Assoc-voc,11,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,5084,0,40,United-States,0
39,Private,157230,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,0
31,Self-emp-not-inc,117450,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,44,United-States,1
40,Federal-gov,65058,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,6558,0,50,United-States,0
42,Self-emp-not-inc,117195,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
50,Self-emp-inc,240312,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,Peru,0
28,Private,192142,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,912,40,United-States,0
39,Self-emp-not-inc,258548,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,45,United-States,0
42,Private,383272,5th-6th,11,Divorced,Handlers-cleaners,Unmarried,White,Female,5282,0,40,United-States,0
22,Private,305430,HS-grad,6,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,0
43,Private,225699,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,0
41,Private,79969,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,Cuba,0
45,Private,169204,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Male,6792,0,40,United-States,1
37,Private,254167,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,0
38,Local-gov,300799,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Male,5504,0,45,United-States,0
40,Private,207090,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,0
46,Self-emp-not-inc,91728,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Female,99999,0,57,Cuba,0
44,Private,128662,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,0
43,Private,142731,Assoc-voc,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Nicaragua,0
