age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,Private,115008,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
25,Private,182776,Masters,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
19,Private,62878,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0
31,Private,152934,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,1,40,United-States,0
61,Private,184629,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
23,Private,205434,Masters,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1,40,United-States,0
22,Private,157137,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,0
27,Private,96581,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,174859,Some-college,10,Never-married,Other-service,Own-child,White,Male,9,0,26,United-States,0
35,Private,123756,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
26,Private,137200,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White,Male,13,0,40,United-States,0
21,Private,129443,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,18,0,40,United-States,0
26,Private,180121,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,40,United-States,0
24,Private,99125,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
31,Private,53164,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
41,Private,133162,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
48,Private,128835,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,0
20,Private,193546,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
38,Private,152547,Masters,13,Married-civ-spouse,Craft-repair,Husband,White,Male,3,1,40,United-States,0
18,Private,84354,5th-6th,7,Never-married,Handlers-cleaners,Own-child,White,Male,4,0,40,United-States,0
22,Private,106042,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,12,0,15,United-States,0
