age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
43,Private,113141,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
46,Private,123983,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
33,Private,166062,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
58,Private,105777,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,0
68,State-gov,120284,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
36,Private,173230,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,0
42,Private,155926,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,8139,0,40,United-States,1
32,Private,186479,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,68916,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,4,0,40,United-States,0
36,Private,113916,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
56,Self-emp-not-inc,127140,11th,7,Married-civ-spouse,Sales,Husband,White,Male,14,0,40,United-States,0
26,Private,132170,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,10,0,40,United-States,0
51,Self-emp-not-inc,119171,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1,57,United-States,0
37,Private,158699,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0
24,Private,193819,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
21,Private,182009,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
54,Private,86909,10th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
41,Private,127613,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
47,Private,196736,Bachelors,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,3,1,40,United-States,1
32,Private,212385,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,3,0,40,United-States,0
64,Private,114382,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,6,0,16,United-States,0
35,Private,83535,Some-college,10,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,0
69,Private,66534,10th,3,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
40,Private,219869,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,40,United-States,1
49,Private,152845,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
38,Private,191014,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,1,50,United-States,1
40,Private,209641,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
21,Private,149012,7th-8th,3,Never-married,Adm-clerical,Own-child,White,Female,8,0,16,United-States,0
