age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,Private,325083,9th,11,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,Haiti,0
40,Private,99610,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
28,Private,396107,12th,8,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,46,United-States,0
38,Self-emp-not-inc,141361,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Other,Male,20,0,59,United-States,1
40,Private,85590,Bachelors,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,50,Poland,0
37,Self-emp-not-inc,193545,Bachelors,15,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,0,0,40,United-States,0
18,Private,291166,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,37,United-States,0
51,Private,118712,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Poland,0
44,Self-emp-not-inc,148827,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,13,0,50,United-States,0
54,Private,248971,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,1,36,United-States,1
34,Self-emp-inc,119322,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14506,1,40,United-States,1
20,Private,219221,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,3,1,50,United-States,0
39,Local-gov,195071,Masters,14,Never-married,Prof-specialty,Unmarried,White,Male,2841,0,40,United-States,0
39,Private,343579,Masters,11,Divorced,Tech-support,Not-in-family,White,Female,13,0,40,United-States,1
55,Self-emp-not-inc,185737,9th,16,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,91,United-States,0
37,State-gov,202923,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
36,Private,483652,Bachelors,13,Married-AF-spouse,Exec-managerial,Not-in-family,White,Male,10,0,50,Portugal,1
31,Private,229382,Some-college,7,Separated,Machine-op-inspct,Unmarried,Black,Female,0,1,40,United-States,0
34,Private,137104,Some-college,10,Widowed,Sales,Own-child,White,Female,0,0,22,United-States,0
41,Private,146393,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,22,0,40,United-States,1
41,Private,312340,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,1
