age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,125004,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
44,Self-emp-inc,106879,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7758,0,50,United-States,1
21,Private,156468,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,0
37,Private,54630,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,1,50,United-States,0
19,Private,139663,7th-8th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,16,United-States,0
51,Private,76698,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,0
25,Private,148910,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
63,Private,81727,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,0
50,Private,61762,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,1,0,40,United-States,0
36,Private,124963,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
23,Private,189241,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,3,0,40,United-States,0
48,Private,72160,Masters,13,Never-married,Exec-managerial,Not-in-family,White,Male,4,0,50,United-States,1
17,Private,197743,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,1,40,United-States,0
40,Private,77315,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
49,Private,86993,Assoc-acdm,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
48,Private,120205,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
29,Private,99135,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
48,Private,58376,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
23,Private,138337,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2,0,40,United-States,0
24,Private,157777,Masters,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,0
26,Private,80110,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,3,0,40,United-States,0
25,Private,73258,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
34,Private,80744,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,0
25,Private,156169,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2,0,40,United-States,0
18,Private,101889,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,0
39,Private,89038,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
26,Private,151669,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,94266,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,1,40,United-States,0
47,Private,61162,Some-college,10,Widowed,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
45,Private,163483,5th-6th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,1
60,Private,152575,5th-6th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,40,United-States,0
27,Private,80594,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,2,0,40,United-States,0
33,Private,68045,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,165120,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2,0,40,United-States,0
20,Private,117854,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,0
24,Private,222003,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,25,United-States,0
63,Private,105306,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,1,0,40,United-States,0
22,Private,198789,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,2,1,40,United-States,0
44,Private,101338,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,1
41,Private,133520,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
54,Private,178259,10th,3,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,1
41,Private,192639,Some-college,10,Divorced,Adm-clerical,Wife,White,Female,38,0,40,United-States,0
25,Private,156728,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,3,1,40,United-States,0
77,Self-emp-not-inc,110437,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,3398,0,50,United-States,0
26,Private,191860,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,1,1,40,United-States,0
50,Private,82749,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
44,Private,194220,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,1,40,United-States,0
56,Private,95366,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,2607,0,40,United-States,0
62,Private,98120,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,0
47,Private,185970,Masters,13,Divorced,Prof-specialty,Wife,Black,Female,12,0,40,United-States,1
46,Private,160842,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,0
40,Local-gov,111529,Doctorate,16,Divorced,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
45,Private,55473,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Female,2662,0,40,United-States,0
39,Private,129014,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,50,United-States,1
31,Private,158364,Assoc-voc,13,Never-married,Prof-specialty,Not-in-family,White,Female,1,0,40,United-States,0
49,Private,210586,7th-8th,7,Married-civ-spouse,Craft-repair,Husband,Black,Male,3,0,40,United-States,0
66,Private,105324,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
34,Private,187622,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,1,0,40,United-States,0
32,Private,94845,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
53,Private,29852,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
23,Private,199623,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
63,Private,226399,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,Black,Male,1,0,40,United-States,1
40,Private,99659,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,0
48,Self-emp-not-inc,104596,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3660,0,40,United-States,0
26,Private,164595,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
40,Private,118605,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,2,1,40,United-States,0
20,Private,203326,5th-6th,10,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,0
38,Private,56009,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,61,United-States,0
