age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,179352,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
44,Private,157214,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
29,Private,233941,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
47,Private,105713,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,0,1,16,United-States,0
38,Private,74407,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,40,United-States,0
30,Self-emp-not-inc,67920,Masters,13,Never-married,Prof-specialty,Own-child,White,Male,3,1,40,United-States,0
47,Private,74952,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
49,Private,122828,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,50,United-States,1
44,Private,146656,Masters,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,3,0,40,United-States,1
20,Private,118905,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,0
41,Private,129371,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,3,0,40,United-States,0
56,Self-emp-not-inc,101205,Prof-school,16,Divorced,Prof-specialty,Not-in-family,White,Female,2,0,50,United-States,1
29,Private,278114,7th-8th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
19,Private,104444,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,2555,0,40,United-States,0
44,Self-emp-not-inc,99476,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,8,0,40,United-States,0
42,Private,104463,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,1
45,Private,70949,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
40,Private,142801,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
35,Self-emp-not-inc,144161,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,9,1,59,United-States,0
18,Private,137115,11th,7,Never-married,Other-service,Own-child,White,Male,1,0,40,United-States,0
49,Private,110049,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,1,0,40,United-States,0
46,Private,104122,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,1
33,Private,127406,Doctorate,16,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
30,Private,141568,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,1,0,40,United-States,0
34,Private,123919,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
28,Private,58094,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,0
45,Private,103126,Assoc-voc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
25,Private,102356,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
36,Self-emp-not-inc,106682,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
43,Private,112017,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
39,Private,121530,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
36,Private,85036,HS-grad,9,Never-married,Sales,Own-child,White,Female,2,0,40,United-States,0
21,Private,69583,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
38,Private,196600,5th-6th,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,5,0,40,United-States,1
20,Private,75850,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,19,United-States,0
44,Private,57702,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
44,Private,112168,Masters,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
21,Private,200921,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,1,1,40,United-States,0
38,Private,190913,5th-6th,5,Married-civ-spouse,Craft-repair,Husband,Black,Male,2,0,40,United-States,0
46,Private,119970,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
41,Private,99354,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
35,Self-emp-not-inc,112996,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,65,United-States,1
48,Private,129157,Some-college,10,Separated,Prof-specialty,Unmarried,White,Female,2,1,20,United-States,0
47,Private,83664,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
37,Private,102435,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,1,40,United-States,0
19,Private,157045,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,2932,0,20,United-States,0
50,Private,130323,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,2,1,40,United-States,1
60,Self-emp-not-inc,77875,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,0
49,Private,113974,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,1,0,40,United-States,0
47,Private,106825,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,1
31,Private,166671,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
27,Private,93374,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
40,Self-emp-not-inc,141415,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,0
22,Private,201214,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,40,United-States,0
46,Private,144739,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
29,Private,98852,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,3,0,40,United-States,0
59,Private,89182,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,19,United-States,0
18,Private,102198,HS-grad,9,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,0
46,Private,135812,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
36,Private,118310,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
43,Private,186994,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
22,Private,118344,5th-6th,8,Never-married,Sales,Own-child,White,Female,1,0,12,United-States,0
25,Private,229287,10th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
49,Self-emp-not-inc,77795,5th-6th,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,0,40,United-States,0
46,Private,160862,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
40,Private,144946,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,1,40,United-States,0
57,Private,70392,Some-college,10,Never-married,Other-service,Other-relative,White,Female,1,0,40,United-States,0
40,Private,110066,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
43,Private,123152,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3492,0,40,United-States,1
42,Private,111264,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
46,Private,166935,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,1
31,Private,119291,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,2,0,40,United-States,0
26,Private,161401,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,0
57,Private,144530,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,0
33,Private,195689,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,1,1,40,United-States,0
24,Private,219794,10th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
45,Private,92162,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,16,0,20,United-States,0
22,Private,261906,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,40,United-States,0
40,Private,143679,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,0,40,United-States,0
20,Private,197454,HS-grad,9,Never-married,Sales,Own-child,White,Male,4,0,40,United-States,0
27,Private,204399,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,146554,HS-grad,9,Never-married,Other-service,Own-child,White,Female,3,0,16,United-States,0
48,Private,94102,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,6,0,20,United-States,0
37,Private,126306,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,1,40,United-States,1
21,Private,184339,HS-grad,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
56,Private,105663,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
42,Private,91279,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
44,Private,108908,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,50,United-States,1
20,Private,142623,Assoc-voc,11,Never-married,Other-service,Own-child,White,Female,0,0,23,United-States,0
21,Private,110883,Some-college,10,Never-married,Sales,Not-in-family,White,Male,2,0,40,United-States,0
29,Private,129242,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
