age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,income,workclass_target_encoded,education_target_encoded,marital-status_target_encoded,occupation_target_encoded,relationship_target_encoded,race_target_encoded,gender_target_encoded,native-country_target_encoded
27,190445,9,0,0,29,0,0.21882954107270122,0.1660849673575215,0.05064013249005051,0.22575269107292695,0.01907187490570068,0.26271895825114067,0.3123979721187297,0.253259354992473
41,349765,10,24,0,40,1,0.2193953027295726,0.1961551060276566,0.45347240059894184,0.4503650342106526,0.4540849660018434,0.26264585838079485,0.3123658345337971,0.2539977210796826
61,117291,13,0,0,40,1,0.21910913882073438,0.4269952352639142,0.4545130474304626,0.4564309291674025,0.45608687678751686,0.2618731174340215,0.3125119342829969,0.25311795925170416
37,443912,9,19,2,45,0,0.21928413927921195,0.1643706577374648,0.454409670179669,0.22799020492519503,0.45635955521297544,0.12680007565046364,0.3126838149479483,0.25406162067434107
35,204681,10,0,0,10,0,0.21872564870525182,0.19759060601856104,0.05016691457786596,0.13452082355808803,0.06611877717359489,0.2627251317713035,0.11422708618331054,0.2534421636263365
36,172141,11,0,0,44,0,0.21874953372375727,0.2546913891734928,0.10485472963530683,0.29276158616158454,0.1066029267981441,0.26295345850819174,0.11489548544644118,0.2535846598647345
82,147262,9,7,1,61,0,0.2811228011691665,0.16597099358975734,0.4533098759443056,0.11939956623434948,0.45425956425114516,0.26334797084740913,0.3126838149479483,0.25387287495143923
28,193115,10,4,0,40,0,0.21899480509248087,0.1988189146644134,0.04997065970979895,0.47056041617403643,0.10662237145932987,0.26310847769261286,0.11422708618331054,0.25339572734974597
51,118057,14,23,0,57,1,0.2194135280582922,0.5515717888673708,0.10319280250082911,0.45270995133685,0.10682960436648335,0.2637266886153563,0.11422708618331054,0.10234877729474604
71,156004,7,31,2,14,0,0.2797923983781102,0.06326353292254579,0.049177115987460815,0.45050884078403597,0.10636245056690001,0.263576759146506,0.3119657153434034,0.2541695138216769
29,593092,10,0,0,40,0,0.21870370837173503,0.19861369156264874,0.04963200689146499,0.0613672951885767,0.022195408120932267,0.2629076529002023,0.3126838149479483,0.2535456288106739
26,98602,9,0,1,44,0,0.21860396167327686,0.16602955269210481,0.05039319971353138,0.06927944284692952,0.015241766803551188,0.26266382914219644,0.11446277838457182,0.2542775222437115
40,124509,13,1,0,50,0,0.2627597762333744,0.4267386402837037,0.4548953690130629,0.10327680256237708,0.45515741036010166,0.2634920698948462,0.3126247351736768,0.2534616300051567
31,311646,13,0,0,35,0,0.21900472845261496,0.4253303305637363,0.049177115987460815,0.47056041617403643,0.10813402155272929,0.2794345721277144,0.3126838149479483,0.4076525425787683
45,94285,9,0,1,40,0,0.21878414184316003,0.163915604613254,0.4543170771590972,0.29680444558638713,0.45737593645138924,0.26281960571505875,0.3126838149479483,0.25438381507049834
21,51900,13,9,0,58,0,0.29180645759277,0.4243689012898713,0.049177115987460815,0.4671744294543176,0.10350889600077522,0.262827848650536,0.11422708618331054,0.2536339980581695
24,195739,10,11,0,40,0,0.21864320500177112,0.1984339322461139,0.45315297289283296,0.1263054253683038,0.456524084079701,0.26243706256071475,0.3123635993086314,0.25334537577390587
45,194674,12,0,0,50,0,0.218959985375833,0.25762062319264817,0.453554786204232,0.2252719998110453,0.4562673289182487,0.26344945471406067,0.3125488259501551,0.25368714594506886
23,88896,11,0,1842,44,1,0.21905561511125526,0.7203940283031346,0.4541448836496178,0.2688852800270339,0.45406216693374624,0.26317478114427933,0.3126838149479483,0.25298617809087004
50,225318,10,15203,0,30,1,0.21875007047770934,0.5483224093678225,0.454417364567903,0.456153904991923,0.49011588275391954,0.26277749169252973,0.11432482100811826,0.2540478780441603
54,124554,7,2,0,40,0,0.21891587454543074,0.262908421087482,0.4549975386132456,0.22409091256198893,0.45621435935389354,0.26315547430615976,0.3126838149479483,0.2537153928374014
71,98348,6,25,0,21,0,0.21896048684416852,0.05659114943866884,0.4534001147487897,0.21029515626732975,0.45676909811724575,0.26371653563827074,0.3126838149479483,0.2540932673637366
46,81111,13,0,1749,40,1,0.21886106478669168,0.4235326094716485,0.4553758268935304,0.1387832187297212,0.49011588275391954,0.26297417427604663,0.11422708618331054,0.2535448189126576
52,329123,13,47,0,40,1,0.2191752346614678,0.42254924656280896,0.45249132454083807,0.47056041617403643,0.4560051279467356,0.2627778383937312,0.3124103919763882,0.2538777212040066
34,197476,12,3560,0,36,0,0.2921699405187632,0.26033569883499186,0.4543663181262017,0.4691949495698805,0.4560131185992412,0.26346232338322745,0.31216448860883306,0.25290173962219203
33,212404,10,29,1,40,0,0.21882407541221563,0.1972357464799302,0.049177115987460815,0.4697361133581914,0.1035672659997765,0.2631069658456216,0.11422708618331054,0.2544114350248163
19,217416,5,0,0,40,0,0.21908579879531426,0.0628414285454471,0.05027035359105587,0.22482169695560048,0.01952824944165417,0.12798721667474247,0.312320834215653,0.253300527091426
53,409595,9,0,0,40,0,0.21944703613487407,0.16442019367296745,0.4545996003161852,0.13109755923227479,0.4580468943176397,0.2634722886617496,0.3124673272431606,0.25306611163300613
47,109207,9,99986,0,40,0,0.21879314810999007,0.16418794988706803,0.45459192325486525,0.29356923533622786,0.45543848985513385,0.26299349339033257,0.3126838149479483,0.253981957760965
31,137078,3,19,0,40,0,0.21868046338540303,0.259510545817621,0.049880954910251685,0.13186164887613724,0.10608858099355378,0.26320317660020853,0.3125063747253277,0.25398336419914924
29,191995,9,7592,0,59,1,0.2628147693246388,0.16453943589081133,0.45299780556913677,0.4680100309788851,0.48936123598030723,0.26323326836354427,0.11422708618331054,0.1067142139878681
30,99222,9,9,0,40,0,0.21848025169910426,0.16478118101575517,0.0494226405834701,0.12637135422102683,0.10611442858686812,0.2627231915185755,0.3126838149479483,0.2540189350676067
51,215141,13,3849,0,40,1,0.2935274384242809,0.42661844160659257,0.4540973051171009,0.45829890761986936,0.4568361981702355,0.2634262838675499,0.11460662372962,0.25404997349373704
25,126176,13,0,0,62,0,0.21942300887590588,0.4240973942720712,0.049177115987460815,0.47056041617403643,0.10741585264163601,0.2634539409880269,0.3124371714030874,0.2536139651667125
42,210194,11,7,1,20,0,0.21904496622494327,0.25706877066291733,0.08490913544064878,0.26949106998916955,0.06636677462531289,0.26336528655010116,0.11484351083526069,0.25318863362354593
