age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,Private,329465,Prof-school,10,Separated,Adm-clerical,Not-in-family,White,Female,0,2,40,United-States,0
39,Private,61333,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,3,40,Dominican-Republic,1
33,Private,279586,12th,11,Married-civ-spouse,Farming-fishing,Other-relative,White,Female,32,1,67,Mexico,0
21,Private,53692,Doctorate,10,Never-married,Adm-clerical,Unmarried,White,Female,7,2,40,United-States,0
48,Private,138309,Masters,3,Never-married,Sales,Unmarried,White,Male,0,2,40,Poland,0
56,Self-emp-not-inc,162986,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,3,2,37,United-States,1
63,Private,262407,HS-grad,11,Never-married,Other-service,Not-in-family,White,Male,28,2,40,United-States,0
48,Private,219383,Some-college,10,Never-married,Prof-specialty,Unmarried,Black,Male,0,1,35,Poland,0
47,Private,159896,Bachelors,9,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,15,United-States,0
35,Private,241314,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,43,2,40,United-States,1
49,Self-emp-inc,49219,Assoc-acdm,12,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,United-States,0
28,Private,223731,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,29,United-States,1
34,Local-gov,30810,HS-grad,9,Never-married,Other-service,Unmarried,Black,Male,32,0,40,United-States,0
50,Private,138684,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
53,Self-emp-not-inc,234753,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,16,1,50,United-States,0
44,State-gov,102785,Bachelors,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,2,40,United-States,0
49,Local-gov,175868,Masters,14,Married-AF-spouse,Prof-specialty,Wife,White,Female,72,0,59,United-States,0
26,Private,44479,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,1,40,United-States,0
17,Private,50310,Assoc-acdm,9,Never-married,Other-service,Wife,White,Female,36,0,40,United-States,0
40,Private,312849,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7,2,50,United-States,1
29,Private,34955,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,3,45,United-States,0
46,Private,59126,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4597,1833,50,United-States,1
26,Private,174592,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,15,0,61,Ireland,1
37,Private,354204,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,56,5,49,United-States,0
28,Private,179763,11th,4,Never-married,Craft-repair,Own-child,White,Male,0,3,56,United-States,0
62,Private,210286,Bachelors,15,Never-married,Adm-clerical,Not-in-family,White,Female,48,0,67,Cuba,0
50,Private,189388,Masters,14,Never-married,Prof-specialty,Wife,Other,Male,99999,1948,50,South,1
38,Private,116593,HS-grad,3,Never-married,Priv-house-serv,Husband,Other,Male,0,1,43,South,0
90,Private,173716,1st-4th,15,Married-civ-spouse,Transport-moving,Husband,Other,Male,15,0,64,United-States,1
48,Private,477745,Some-college,10,Married-spouse-absent,Priv-house-serv,Own-child,White,Female,0,2,40,United-States,0
46,Private,473304,11th,12,Never-married,Machine-op-inspct,Not-in-family,White,Male,12,3,50,United-States,0
30,Private,148386,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,72,0,33,United-States,0
52,Private,167389,9th,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,11,United-States,0
51,Private,144202,Bachelors,10,Never-married,Other-service,Own-child,White,Female,0,0,55,Portugal,0
38,Self-emp-not-inc,47815,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1853,40,United-States,1
33,Private,289434,12th,2,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,169369,11th,6,Never-married,Adm-clerical,Own-child,White,Female,17,2,21,United-States,0
31,Private,107619,HS-grad,9,Widowed,Other-service,Own-child,White,Male,0,1,40,United-States,0
37,Private,160250,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
42,Self-emp-not-inc,205856,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,2,40,United-States,1
69,Private,193865,HS-grad,12,Widowed,Craft-repair,Unmarried,White,Female,0,1,30,United-States,0
43,Private,168039,5th-6th,9,Divorced,Tech-support,Wife,White,Female,18,1,40,United-States,0
24,Private,272982,Bachelors,9,Never-married,Other-service,Not-in-family,White,Male,0,2,40,Germany,0
66,Self-emp-not-inc,334818,10th,2,Never-married,Tech-support,Own-child,White,Male,0,2,40,United-States,1
46,Private,174334,11th,7,Divorced,Craft-repair,Unmarried,White,Female,20,0,19,United-States,0
30,Private,25846,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2,71,United-States,0
45,Private,134630,Bachelors,9,Never-married,Sales,Not-in-family,Black,Female,0,0,74,United-States,0
34,Private,65377,Masters,9,Widowed,Protective-serv,Wife,Black,Male,24,0,59,United-States,1
26,Private,204856,Bachelors,3,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,53,0,44,United-States,0
