age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,Private,170271,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1,40,United-States,1
33,Private,78917,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,7,United-States,0
57,Private,309174,Masters,14,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,2,45,United-States,0
26,State-gov,347040,10th,7,Never-married,Transport-moving,Own-child,White,Male,9,0,7,United-States,0
38,Private,78091,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
33,Private,234243,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,37,United-States,0
43,Self-emp-not-inc,226556,5th-6th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,Columbia,1
27,Private,30739,Some-college,10,Widowed,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
48,Private,83178,Some-college,10,Married-spouse-absent,Transport-moving,Unmarried,White,Female,0,0,50,Peru,0
49,Self-emp-not-inc,262583,HS-grad,15,Married-civ-spouse,Sales,Husband,White,Male,7250,1,50,United-States,1
35,Private,152176,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,20,0,40,United-States,0
59,Private,299900,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1,40,United-States,1
61,Local-gov,376037,11th,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,0,59,United-States,1
23,Private,270608,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15,2,40,United-States,1
32,Private,226872,Preschool,9,Never-married,Craft-repair,Not-in-family,White,Male,3946,1916,37,United-States,0
50,Private,42523,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,46,1810,40,United-States,0
43,Private,106486,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,1,18,United-States,0
50,Local-gov,172452,Doctorate,16,Married-AF-spouse,Farming-fishing,Husband,White,Male,0,0,76,United-States,0
33,Private,385140,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
30,Private,187715,HS-grad,9,Married-AF-spouse,Other-service,Husband,White,Male,0,1,9,United-States,0
45,Private,37038,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,33,0,50,United-States,0
57,Private,120610,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,0
29,Private,252986,HS-grad,4,Never-married,Craft-repair,Not-in-family,White,Male,21,1,40,United-States,0
17,Private,34607,9th,7,Never-married,Sales,Own-child,White,Female,0,0,13,United-States,0
45,Private,137688,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
29,Private,179793,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,1,35,United-States,0
39,Private,197181,Bachelors,13,Never-married,Exec-managerial,Other-relative,Other,Male,0,1,35,United-States,0
39,Self-emp-not-inc,36250,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,31,0,40,United-States,0
30,Private,242734,Assoc-voc,13,Married-civ-spouse,Sales,Husband,White,Male,14,1,34,United-States,0
32,Private,174368,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,43,0,34,United-States,0
20,Private,66358,HS-grad,9,Never-married,Other-service,Own-child,Other,Male,0,0,36,United-States,0
58,Private,40193,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,3091,0,50,United-States,0
72,Private,180770,Some-college,10,Divorced,Exec-managerial,Husband,White,Male,64,0,40,United-States,0
23,Private,210239,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Female,9,0,3,United-States,0
37,Local-gov,172505,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,22,0,40,United-States,0
34,Self-emp-not-inc,191082,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,2,59,United-States,1
79,Private,409869,11th,7,Separated,Protective-serv,Unmarried,Black,Male,0,0,40,United-States,0
40,Private,63421,7th-8th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,0,60,Puerto-Rico,0
61,Private,100852,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,15216,0,44,United-States,0
30,Private,162830,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,1,1,40,United-States,0
52,Private,135659,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,19,United-States,0
19,Private,21331,5th-6th,6,Never-married,Sales,Not-in-family,White,Male,0,0,17,United-States,0
35,Private,149385,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7,0,40,United-States,0
26,Private,351554,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,32,2,40,United-States,1
27,Private,211993,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Male,42,2,50,United-States,0
28,Private,144168,Assoc-acdm,11,Separated,Adm-clerical,Unmarried,White,Female,0,0,31,United-States,1
32,Private,80647,HS-grad,9,Widowed,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
28,Private,303358,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,1,0,54,United-States,0
50,Private,165122,Assoc-acdm,13,Married-AF-spouse,Prof-specialty,Husband,White,Female,0,0,34,United-States,1
31,Private,155483,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,27,0,54,United-States,1
37,Local-gov,212830,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,57,2,40,United-States,0
53,Private,393636,11th,3,Divorced,Machine-op-inspct,Unmarried,White,Male,0,1,40,United-States,0
37,Private,51491,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
28,Private,221439,Masters,14,Divorced,Sales,Own-child,White,Female,0,1,22,United-States,0
26,Private,196496,HS-grad,9,Married-AF-spouse,Sales,Own-child,White,Male,14,0,42,United-States,0
