age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,Private,78286,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
45,Private,105445,Masters,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
18,Private,120539,10th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
41,Private,120636,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
39,Private,154751,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
25,Private,78733,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,1,1,40,United-States,0
43,Local-gov,131336,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
19,Private,95207,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
20,Private,89087,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,1,0,40,United-States,0
23,Private,120732,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
47,Private,103249,Prof-school,16,Divorced,Prof-specialty,Wife,White,Female,39,0,40,United-States,1
28,Private,96563,Bachelors,13,Never-married,Sales,Own-child,White,Male,3,0,40,United-States,0
17,Private,115696,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,1,40,United-States,0
18,Private,84712,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,18,United-States,0
50,Private,111228,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,0
43,Private,82763,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
40,Private,105622,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,50,United-States,1
46,Private,84584,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,9,0,40,United-States,1
41,Private,99755,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,1,40,United-States,1
22,Private,129097,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,0
44,Private,103477,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,1
28,Self-emp-not-inc,86607,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
22,Private,108183,9th,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
50,Private,94369,5th-6th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
17,Private,84588,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,128477,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,2,0,40,United-States,0
51,Private,106527,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,9,0,40,United-States,1
45,Private,39890,Assoc-acdm,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
41,Private,108195,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,157740,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
26,Private,129823,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,1,0,40,United-States,0
22,Private,40298,Some-college,10,Never-married,Sales,Own-child,White,Male,2,0,15,United-States,0
38,Private,115587,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
21,Private,96146,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,2,0,40,United-States,0
33,Private,104304,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
39,Private,125412,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
30,Private,97697,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,1,0,40,United-States,0
22,Private,74288,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,2,1,40,United-States,0
21,Private,107519,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,1,0,40,United-States,0
41,Private,124301,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
28,Self-emp-not-inc,138731,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
19,Private,59371,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,2,0,40,United-States,0
48,Private,105077,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,2,1,40,United-States,1
47,Private,155299,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
43,Self-emp-not-inc,111058,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
18,Private,203249,10th,4,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,0
39,Private,103459,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,1,1,40,United-States,0
42,Private,115822,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,3423,0,40,United-States,0
20,Private,62936,10th,5,Separated,Machine-op-inspct,Unmarried,White,Female,1,0,17,United-States,0
42,Private,102782,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
23,Private,132938,5th-6th,3,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
41,Private,99135,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
52,Private,77757,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7659,0,40,United-States,1
41,Private,43354,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2,0,40,United-States,1
46,Private,116360,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,1,0,40,United-States,0
44,Self-emp-not-inc,96149,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,1
51,Private,70097,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
52,Private,96045,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,1
27,Private,86269,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
47,Private,128625,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,0
43,Self-emp-not-inc,118307,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
35,Self-emp-not-inc,133148,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
20,Private,111761,7th-8th,5,Never-married,Other-service,Own-child,White,Female,1,0,40,United-States,0
17,Private,89800,5th-6th,7,Never-married,Other-service,Own-child,White,Male,2,0,18,United-States,0
46,Private,67629,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
17,Private,204037,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,2,1,16,United-States,0
20,Private,115003,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,0
41,Private,128443,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
43,Private,91488,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
42,Private,132515,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
20,Private,115142,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,14,United-States,0
22,Private,106218,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,1,0,40,United-States,0
46,Private,131050,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,0
23,Private,74778,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
48,Local-gov,128104,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,40,United-States,1
19,Private,140664,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
19,Private,112762,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,1,0,40,United-States,0
26,Private,157956,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,1,0,40,United-States,0
40,Private,86507,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
20,Private,96562,5th-6th,4,Never-married,Other-service,Not-in-family,White,Male,4,0,40,United-States,0
37,Private,109694,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
44,Private,86681,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,0
33,Private,89291,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,0,40,United-States,0
43,Private,86600,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,3,0,40,United-States,0
21,Private,150452,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
43,Private,62167,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,3,0,40,United-States,0
43,Local-gov,126567,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,1
37,Private,69760,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
35,Private,115475,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
50,Private,81292,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,8454,0,40,United-States,1
43,Private,123631,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,0
25,Private,95929,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
