age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
41,Self-emp-not-inc,140689,12th,7,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
17,State-gov,164141,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,32,United-States,<=50K
22,State-gov,207995,12th,7,Never-married,Other-service,Unmarried,White,Female,0,0,17,United-States,<=50K
40,Private,280587,HS-grad,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,559350,12th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
29,Private,417836,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
45,Self-emp-inc,134208,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,120802,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,29,United-States,<=50K
18,?,180451,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,35,United-States,<=50K
45,Private,92947,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United-States,<=50K
21,Private,115144,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,31,United-States,<=50K
36,Private,184700,Some-college,10,Married-spouse-absent,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,50,Philippines,>50K
44,Private,159396,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
48,Private,69398,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Hong,<=50K
30,State-gov,249571,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,7413,0,40,United-States,>50K
70,Local-gov,125201,Assoc-acdm,12,Separated,Other-service,Not-in-family,White,Female,0,1630,35,United-States,<=50K
28,Self-emp-inc,176574,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,66,United-States,<=50K
32,Self-emp-not-inc,289777,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,<=50K
18,Local-gov,88833,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
38,Private,197758,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Mexico,<=50K
38,Private,116906,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
53,Private,295644,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,35,United-States,<=50K
48,Private,268019,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,193487,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1891,40,United-States,>50K
31,Self-emp-not-inc,374430,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,Japan,<=50K
64,Private,175501,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,<=50K
44,Private,174480,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,>50K
