age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
24,Private,115788,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
23,Private,71200,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,0
44,Private,127625,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,50,United-States,1
26,Private,92320,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,0
21,Private,132236,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
32,Private,113365,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,1,54,United-States,0
43,Private,63728,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
21,Private,91160,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
58,Private,124812,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,0
21,Private,97648,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,17,United-States,0
48,Private,106262,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,15672,0,17,United-States,1
24,Private,133656,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,2,0,40,United-States,0
44,Private,73165,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
41,Private,131579,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
38,Private,92543,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
58,Private,68236,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
40,Private,130951,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
47,Private,67329,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14844,0,40,United-States,1
41,Private,156610,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,1
21,Private,101179,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,14,United-States,0
63,Private,138740,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,0
29,Private,108228,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,18,United-States,0
49,Private,150645,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
42,Private,51723,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,0
23,Private,120668,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,60332,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,0
41,Private,131440,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,56,United-States,1
29,Private,117939,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,2401,0,19,United-States,0
51,Private,126430,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,2,0,40,United-States,1
67,Private,109727,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4553,0,40,United-States,1
55,Private,128931,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7650,0,40,United-States,1
29,Private,138392,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,2,0,40,United-States,0
36,Private,126252,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
29,Self-emp-not-inc,101000,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,40,United-States,0
39,Private,93893,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
57,Private,120679,9th,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
38,Private,76060,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,1
51,Private,74890,11th,7,Never-married,Other-service,Unmarried,White,Female,0,1,11,United-States,0
41,Private,80298,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,1
39,Private,124493,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
29,Private,107491,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
38,Private,104292,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,1
20,Private,123404,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,2,1,23,United-States,0
36,Private,118362,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
47,Private,105015,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,1
46,Private,131822,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
29,Self-emp-not-inc,125459,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,40,United-States,0
53,Private,88752,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
23,Private,106569,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
31,Private,134356,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
46,Private,127360,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
42,Private,68868,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
22,Private,132703,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,2,0,40,United-States,0
63,Private,116336,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,42,0,40,United-States,0
32,Private,114331,Some-college,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
26,Private,112123,Some-college,10,Never-married,Sales,Not-in-family,White,Male,2,0,40,United-States,0
45,Private,131662,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,50,United-States,1
41,Private,117078,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,14919,1,62,United-States,1
49,Private,126136,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,1
47,Private,104421,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,55,United-States,1
67,Private,113037,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,3,0,40,United-States,0
29,Private,141559,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,114718,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,132906,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,1,0,40,United-States,0
40,Private,111212,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
47,Private,107476,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,2,1,55,United-States,1
36,Private,100424,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
32,Private,89583,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
21,Private,114219,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,12,United-States,0
39,Private,133714,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,1
32,Private,156261,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,18,0,14,United-States,0
28,Private,74613,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,0
43,Private,136461,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1,40,United-States,0
53,Private,83928,11th,8,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
38,Private,113192,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,1,40,United-States,0
65,Private,111591,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,15,0,40,United-States,0
20,Private,126771,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,0
20,Private,102019,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,1,0,21,United-States,0
41,Private,114032,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
29,Private,153889,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,40,United-States,0
36,Private,124363,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5184,0,40,United-States,1
45,Private,79009,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,1
37,Private,102638,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,40,United-States,0
24,Private,102668,11th,7,Never-married,Sales,Not-in-family,White,Female,3,1,40,United-States,0
29,Private,91608,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
39,Private,84865,Prof-school,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,50,United-States,1
20,Private,79762,12th,7,Never-married,Sales,Own-child,White,Male,1,0,40,United-States,0
26,Private,89089,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,107032,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
18,Private,94250,10th,6,Never-married,Other-service,Not-in-family,White,Female,3,0,21,United-States,0
21,Private,54309,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,22,United-States,0
25,Private,73374,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
55,Private,83304,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,0,40,United-States,1
38,Private,130204,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,United-States,1
39,Private,141305,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,56,United-States,1
34,Private,125484,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,0
20,Private,171372,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,40,United-States,0
20,Private,131514,Some-college,10,Never-married,Other-service,Own-child,White,Female,1,1,15,United-States,0
27,Private,126731,10th,7,Never-married,Other-service,Not-in-family,White,Female,2,0,24,United-States,0
62,Private,64088,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3,0,40,United-States,1
27,Private,78521,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,26,United-States,0
31,Private,113239,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
57,Private,105912,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,7,0,40,United-States,1
28,Private,110572,11th,7,Divorced,Prof-specialty,Not-in-family,White,Male,1,0,40,United-States,0
34,Private,100511,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1,40,United-States,0
39,Private,80938,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,1,40,United-States,1
54,Private,108738,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1,1,40,United-States,1
22,Private,82673,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,0
26,Private,132278,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
26,Private,146704,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
25,Private,95978,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1,40,United-States,0
47,Private,120225,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
39,Private,111251,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
25,Private,68222,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
43,Private,77778,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,1,1,40,United-States,1
19,Private,113457,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,0
26,Private,104020,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,1,0,20,United-States,0
39,Private,129767,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
48,Private,103309,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3920,0,40,United-States,1
44,Private,61003,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
30,Private,116082,Assoc-voc,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,110885,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,27,United-States,0
53,Private,110403,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,1,40,United-States,0
35,Private,99173,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,83734,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,12,0,40,United-States,0
