age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48,Local-gov,207697,Assoc-acdm,12,Separated,Priv-house-serv,Unmarried,White,Female,0,0,40,United-States,0
51,State-gov,125414,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,24,United-States,1
46,Private,229697,12th,8,Widowed,Other-service,Unmarried,Black,Female,3,0,14,United-States,0
38,Private,125044,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99315,0,60,United-States,1
58,Self-emp-not-inc,228884,Bachelors,7,Married-civ-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,11,0,40,Poland,0
26,Private,103416,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,0,0,19,United-States,0
18,Private,210791,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,19,1,17,United-States,0
60,Federal-gov,190306,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,17,0,40,Poland,1
36,Federal-gov,44694,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,20,0,30,United-States,0
53,Private,286888,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,10,0,56,United-States,0
50,Self-emp-inc,260737,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7887,0,57,United-States,1
17,Federal-gov,307194,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0
38,Local-gov,354466,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7864,0,69,United-States,1
28,Private,216138,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
54,Self-emp-not-inc,363685,Some-college,10,Divorced,Other-service,Unmarried,Black,Male,9,0,40,United-States,0
55,State-gov,334176,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7554,1791,45,United-States,1
31,State-gov,113070,HS-grad,9,Married-AF-spouse,Exec-managerial,Wife,White,Female,0,0,20,United-States,0
36,Private,116251,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Unmarried,Black,Female,24,0,40,United-States,0
28,Private,27387,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,18,0,17,United-States,0
62,Private,123609,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,4365,1,68,United-States,1
60,Private,309731,Prof-school,7,Married-civ-spouse,Transport-moving,Husband,White,Male,3313,0,72,United-States,1
58,Private,83021,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1,58,Taiwan,0
32,Private,124750,10th,6,Never-married,Handlers-cleaners,Own-child,Black,Male,18,0,40,United-States,0
57,Private,96973,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,36,0,40,United-States,0
25,Private,126780,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,25,0,40,United-States,0
39,Private,261691,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Cuba,0
