age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
44,State-gov,292829,HS-grad,8,Married-civ-spouse,Tech-support,Husband,White,Male,91750,4,53,United-States,0
38,Local-gov,326090,HS-grad,12,Divorced,Exec-managerial,Wife,White,Male,51234,1,20,United-States,0
21,Private,341425,Masters,9,Widowed,Prof-specialty,Wife,White,Male,69,0,31,United-States,1
40,Private,123555,Bachelors,9,Widowed,Adm-clerical,Not-in-family,White,Female,52194,0,50,Germany,1
40,Private,109272,11th,7,Widowed,Craft-repair,Husband,White,Male,0,1,43,Philippines,0
40,Private,52544,Bachelors,15,Married-civ-spouse,Adm-clerical,Husband,White,Female,10546,0,63,Germany,0
37,Private,420565,Assoc-acdm,10,Separated,Adm-clerical,Unmarried,White,Male,33890,14,44,Nicaragua,0
34,State-gov,223360,Masters,10,Separated,Protective-serv,Other-relative,White,Male,57,76,36,Germany,0
59,State-gov,239229,Some-college,13,Widowed,Armed-Forces,Not-in-family,White,Female,12035,149,63,Mexico,1
33,Private,94137,12th,9,Divorced,Exec-managerial,Wife,Black,Female,27,0,24,Nicaragua,0
35,Federal-gov,96308,11th,14,Divorced,Handlers-cleaners,Unmarried,White,Male,34240,2,60,Mexico,1
34,Private,100830,Masters,9,Separated,Other-service,Own-child,Black,Female,16451,22,46,Germany,0
75,Private,109499,Some-college,15,Married-civ-spouse,Tech-support,Husband,White,Male,7181,0,48,Mexico,1
42,State-gov,53236,Bachelors,8,Married-civ-spouse,Tech-support,Not-in-family,White,Male,65493,0,30,Mexico,0
19,State-gov,334766,Doctorate,8,Never-married,Prof-specialty,Own-child,Black,Female,2044,28,25,Philippines,0
39,Private,90410,12th,5,Married-civ-spouse,Tech-support,Wife,Black,Male,14395,0,55,Mexico,0
24,Private,221116,11th,9,Divorced,Farming-fishing,Not-in-family,White,Male,46910,3,63,Poland,0
27,Private,69246,7th-8th,11,Widowed,Craft-repair,Wife,White,Male,596,21,22,Germany,0
20,Private,338760,HS-grad,12,Never-married,Tech-support,Other-relative,White,Female,8832,0,38,Germany,1
43,Private,92935,Bachelors,8,Married-civ-spouse,Tech-support,Husband,White,Male,814,0,45,Mexico,0
39,Private,323714,10th,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,37379,13,47,Poland,1
