age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
62,Federal-gov,53407,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,57620,9,46,Ecuador, <=50K
26,Without-pay,22917,Assoc-acdm,12,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,24604,0,61,Philippines, >50K
64,Federal-gov,127450,Some-college,10,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,63629,0,57,Yugoslavia, >50K
37,Private,126940,HS-grad,10,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Male,63687,0,47,Philippines, >50K
32,Private,107540,Some-college,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,52460,0,56,Cuba, >50K
26,Local-gov,75150,Some-college,10,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Male,14812,0,52,Portugal, >50K
34,Private,267262,Assoc-acdm,10,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,4898,0,20,Philippines, >50K
20,Private,551868,12th,7,Never-married,Armed-Forces,Own-child,Black,Female,5890,0,62,Portugal, >50K
48,State-gov,116626,HS-grad,8,Widowed,Protective-serv,Own-child,Asian-Pac-Islander,Male,36427,0,44,Cuba, >50K
44,Without-pay,201499,HS-grad,7,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,40996,0,15,Cuba, >50K
52,Federal-gov,185421,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,1068,148,28,Greece, >50K
30,Private,160307,Bachelors,13,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Female,3184,0,42,Portugal, <=50K
22,State-gov,216432,9th,5,Separated,Armed-Forces,Own-child,Asian-Pac-Islander,Male,4985,0,49,Portugal, >50K
32,Private,229673,Masters,14,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,62,6,50,Philippines, >50K
33,Private,95056,Some-college,10,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,12,1,27,Portugal, >50K
60,Local-gov,184218,Masters,14,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Male,12429,15,32,United-States, <=50K
44,Private,217672,12th,8,Divorced,Tech-support,Wife,Asian-Pac-Islander,Male,11117,0,55,United-States, >50K
62,Federal-gov,71434,Bachelors,13,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,75779,3,36,Poland, >50K
70,State-gov,219890,Doctorate,15,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,64024,0,66,Greece, <=50K
23,Private,203622,Assoc-acdm,11,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Female,173,0,51,Portugal, >50K
32,Local-gov,168416,12th,7,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,135,5,47,Portugal, >50K
22,State-gov,407489,Some-college,11,Divorced,Prof-specialty,Husband,Black,Male,18666,4,60,Portugal, >50K
26,Private,79663,Bachelors,14,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,33207,0,38,Portugal, >50K
28,Private,305114,HS-grad,8,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,40,0,38,Portugal, <=50K
27,Private,187037,HS-grad,9,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Female,32733,21,30,Cuba, >50K
59,Federal-gov,100655,Assoc-acdm,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,16120,0,38,Cuba, <=50K
22,Self-emp-not-inc,131993,Masters,16,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,233,47,38,Portugal, >50K
34,Private,269021,Assoc-voc,10,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,91846,0,49,South, <=50K
21,Private,173175,Bachelors,14,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,3,34,55,Ireland, <=50K
27,Private,131022,HS-grad,9,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,58273,1,40,Greece, <=50K
49,Private,13769,Assoc-acdm,11,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,17,1,39,Cuba, >50K
32,Local-gov,162935,HS-grad,8,Married-spouse-absent,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,68301,0,29,United-States, >50K
40,Private,114634,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,Black,Male,2847,0,35,Portugal, >50K
19,State-gov,391877,Assoc-acdm,12,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,43,Greece, >50K
42,Local-gov,85159,Bachelors,12,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Male,30699,12,29,Philippines, <=50K
32,Private,67182,Bachelors,13,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,1809,0,34,Greece, >50K
20,Private,291055,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,17,0,44,Philippines, >50K
58,Self-emp-not-inc,253249,HS-grad,8,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Male,82234,0,45,United-States, <=50K
40,Private,368129,5th-6th,5,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,3,0,40,Cuba, >50K
22,Private,247082,Assoc-voc,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,8985,39,51,Hungary, >50K
52,Private,159049,Assoc-acdm,11,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,85463,0,25,Cuba, <=50K
