age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,Private,135049,9th,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,35,Thailand,0
36,Self-emp-inc,193980,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,40,United-States,1
35,Federal-gov,345320,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,1
36,Local-gov,154977,Masters,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
26,Private,108059,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,0
50,Private,36516,Assoc-voc,11,Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,China,0
54,Private,192802,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Cuba,0
38,Private,220763,Prof-school,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
44,Private,591746,Prof-school,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7223,0,50,United-States,0
34,Private,33269,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,29,United-States,0
26,State-gov,168909,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
21,Private,218279,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,20,United-States,0
40,Local-gov,212503,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,20,United-States,0
39,Private,226790,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
67,Private,66116,HS-grad,9,Divorced,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States,0
37,Local-gov,154848,Some-college,4,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,18,United-States,0
37,Private,186845,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
