age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38,Self-emp-not-inc,89386,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1
19,Private,161753,11th,4,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
19,Private,125638,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,0
69,Private,109672,5th-6th,9,Widowed,Other-service,Unmarried,White,Female,0,1,16,United-States,0
28,Private,117445,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
51,Private,192403,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,14955,1,40,United-States,1
55,Private,104072,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
70,Self-emp-not-inc,89098,11th,7,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
44,Private,87637,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,0
17,Private,104328,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,23,United-States,0
49,Private,102860,9th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,7783,0,40,United-States,1
37,Private,156576,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,0
27,Private,108271,11th,7,Divorced,Craft-repair,Not-in-family,White,Male,0,1,40,United-States,0
42,Self-emp-not-inc,150397,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3346,0,40,United-States,0
52,Private,100565,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
36,Private,102211,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
43,Private,206890,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
70,Private,120025,10th,3,Separated,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
26,Private,88221,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,1,40,United-States,0
29,Private,144627,5th-6th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,148963,Some-college,10,Never-married,Sales,Own-child,White,Female,2,0,15,United-States,0
25,Private,102668,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
26,Private,126772,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
21,Private,82652,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
29,Private,147672,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,166253,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,1,40,United-States,1
46,Private,134647,Some-college,10,Divorced,Sales,Not-in-family,Black,Male,0,0,40,United-States,0
23,Private,122951,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1,40,United-States,0
53,Private,132716,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
23,Private,209973,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
58,Private,143375,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,1,0,27,United-States,0
42,Private,172916,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,1
50,Private,178326,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
22,Private,126583,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,1,0,21,United-States,0
27,Private,200757,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
22,Local-gov,194144,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
35,Private,108175,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
23,Private,196131,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,1,1,40,United-States,0
45,Private,107826,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,2,0,40,United-States,0
19,Private,100254,7th-8th,8,Never-married,Other-service,Not-in-family,White,Female,0,0,16,United-States,0
49,Self-emp-not-inc,86257,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7505,0,40,United-States,1
63,Private,87589,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,2,0,40,United-States,0
47,Private,97508,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,1,40,United-States,0
36,Private,107062,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,0
19,Private,146932,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,1,15,United-States,0
22,Private,129352,5th-6th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,73671,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,1,40,United-States,0
29,Private,179269,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,12,United-States,0
19,Private,126244,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,16,United-States,0
19,Private,125207,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,21,United-States,0
19,Private,169889,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
41,Private,132370,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7670,0,40,United-States,1
46,Private,127483,11th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,40,United-States,1
39,Private,133567,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
42,Private,94596,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1
51,Private,86283,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,1
36,Private,139990,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
69,Private,114377,11th,5,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,1
19,Private,92403,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,0
52,Self-emp-not-inc,142285,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
52,Private,87152,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
19,Private,185589,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
45,Private,87746,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
41,Local-gov,159526,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1
35,Private,195279,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
24,Private,180638,7th-8th,7,Never-married,Craft-repair,Not-in-family,White,Male,1,1,40,United-States,0
23,Private,184091,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0
62,Private,79554,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Male,1,0,40,United-States,0
41,Self-emp-not-inc,86330,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
23,Private,134560,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,31,United-States,0
20,Private,150144,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,14,United-States,0
52,Private,91914,HS-grad,9,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,40,United-States,0
35,Private,228098,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
34,Private,39614,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
52,Private,81473,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,1,40,United-States,0
53,Private,89417,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
22,Private,163586,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
55,Self-emp-not-inc,115092,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
26,Private,191617,Masters,14,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
24,Private,104698,Some-college,10,Never-married,Sales,Not-in-family,White,Male,3,0,40,United-States,0
45,Private,126853,Doctorate,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
39,Private,149898,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,0
24,Private,104329,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,4,0,40,United-States,0
19,Private,132818,7th-8th,5,Never-married,Other-service,Own-child,White,Female,2,1,20,United-States,0
29,Private,181224,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
33,Private,186832,Assoc-voc,11,Divorced,Other-service,Unmarried,Black,Female,3,0,40,United-States,0
62,Self-emp-not-inc,94141,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,1,0,40,United-States,0
43,Private,124779,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,0,40,United-States,1
29,Private,175554,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
44,Private,187807,5th-6th,7,Married-civ-spouse,Craft-repair,Husband,Other,Male,4,0,40,United-States,0
43,Self-emp-not-inc,88237,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
49,Private,110624,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,12,United-States,0
42,Private,64943,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,0,50,United-States,1
51,Private,152170,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,1,0,40,United-States,0
22,Private,57932,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,0
71,Private,87795,5th-6th,3,Married-civ-spouse,Other-service,Wife,White,Female,1,1,22,United-States,0
25,Private,170815,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1,40,United-States,0
