age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
47,Private,175168,7th-8th,13,Separated,Sales,Unmarried,White,Female,0,0,37,United-States,0
36,Private,215683,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,42,United-States,0
26,Self-emp-not-inc,124519,Assoc-acdm,12,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
39,Private,61419,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,14953,0,50,Philippines,1
38,Private,44225,Bachelors,13,Divorced,Tech-support,Not-in-family,Black,Male,0,0,40,England,0
20,Private,269643,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,18,United-States,0
40,Private,190985,Assoc-voc,11,Married-AF-spouse,Other-service,Wife,White,Female,0,0,34,United-States,0
44,Private,396576,7th-8th,5,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,45,England,0
59,Local-gov,185325,Bachelors,13,Married-AF-spouse,Other-service,Wife,White,Female,0,0,45,United-States,0
50,Private,97485,11th,11,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
26,Local-gov,330399,Masters,14,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States,0
20,Private,32247,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0
37,Local-gov,167768,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,Peru,1
33,Private,177824,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
42,Without-pay,239069,11th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
34,State-gov,189795,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Cuba,1
41,Private,81112,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,21,United-States,0
42,Private,74365,Assoc-acdm,13,Divorced,Transport-moving,Unmarried,Black,Female,0,0,40,United-States,0
25,Private,143112,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,0
20,Private,110929,HS-grad,9,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,31,United-States,0
65,Private,225090,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,111066,Bachelors,5,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,64,Philippines,0
45,Private,198650,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
23,Private,164499,HS-grad,9,Married-civ-spouse,Craft-repair,Other-relative,Black,Male,0,0,61,United-States,0
28,Private,186768,Assoc-voc,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
44,Private,200771,Prof-school,5,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,883,40,Germany,0
20,Private,188059,HS-grad,9,Married-spouse-absent,Tech-support,Not-in-family,Other,Female,0,0,40,China,0
29,Private,41147,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,0
44,Private,186327,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,40,United-States,0
29,Private,263579,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,187944,HS-grad,9,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,0,0,45,United-States,0
46,Federal-gov,71272,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,6591,0,40,United-States,0
42,Self-emp-not-inc,174026,Some-college,10,Married-AF-spouse,Other-service,Wife,White,Female,0,0,42,United-States,1
23,Private,185960,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,59,Vietnam,0
27,Self-emp-inc,18701,Some-college,15,Married-civ-spouse,Sales,Husband,White,Male,5078,0,60,United-States,1
30,Private,98457,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
34,Private,163658,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,1
40,Private,210024,Bachelors,13,Widowed,Adm-clerical,Unmarried,White,Female,0,0,34,United-States,0
24,Private,193223,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
36,Private,149242,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,Asian-Pac-Islander,Male,0,0,40,China,0
31,Private,71869,HS-grad,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,35,United-States,0
28,Private,167443,Some-college,10,Never-married,Protective-serv,Other-relative,White,Female,0,0,46,United-States,0
36,Private,162645,7th-8th,9,Divorced,Machine-op-inspct,Unmarried,Black,Male,0,0,40,Germany,0
17,Private,191931,10th,7,Widowed,Other-service,Not-in-family,White,Male,0,0,12,United-States,0
55,Self-emp-inc,203430,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,71,United-States,0
42,Private,28296,5th-6th,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
46,Private,256104,Some-college,10,Separated,Protective-serv,Other-relative,Black,Female,0,0,20,Jamaica,0
66,Private,338572,5th-6th,5,Widowed,Other-service,Unmarried,White,Female,0,0,35,United-States,0
38,State-gov,216464,Bachelors,14,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,35,South,1
42,Federal-gov,168397,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Portugal,0
29,Private,173777,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,6071,0,45,United-States,0
42,Private,200477,7th-8th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,29,United-States,0
47,Private,36405,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
70,Self-emp-not-inc,284252,Assoc-acdm,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
26,Private,387133,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
46,Private,130831,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
21,Private,40896,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
46,Private,22776,11th,16,Married-civ-spouse,Sales,Husband,White,Male,0,0,47,United-States,0
31,Private,164293,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,57,United-States,0
51,Private,147413,12th,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-States,0
20,Private,174209,10th,4,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,20,Poland,0
41,Private,148009,5th-6th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Columbia,0
43,State-gov,45968,Assoc-acdm,13,Divorced,Sales,Not-in-family,Black,Male,0,0,11,United-States,0
47,Local-gov,189771,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
23,Private,282272,Some-college,10,Separated,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,1
35,Self-emp-not-inc,237413,11th,13,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,53,United-States,0
50,Private,209169,Assoc-voc,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,England,0
36,Private,189338,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Germany,0
23,State-gov,424432,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0
35,Private,193096,HS-grad,9,Married-spouse-absent,Craft-repair,Unmarried,Asian-Pac-Islander,Male,0,0,40,Taiwan,0
19,State-gov,102767,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
32,Self-emp-not-inc,113377,Assoc-acdm,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,Germany,0
25,Private,175422,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,8,United-States,0
29,Private,118991,10th,5,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
42,Private,208106,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States,0
30,Private,81626,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
58,Self-emp-not-inc,312771,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,6934,892,50,United-States,1
39,Private,31981,Some-college,6,Married-civ-spouse,Farming-fishing,Husband,Black,Male,5070,0,40,United-States,1
48,Private,168656,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,6371,914,40,United-States,1
53,Self-emp-inc,238911,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,5677,0,45,United-States,0
47,Private,174709,Some-college,10,Divorced,Tech-support,Wife,White,Female,0,0,40,United-States,0
35,Private,406063,1st-4th,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
42,Private,151746,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
30,Private,171012,Masters,11,Never-married,Prof-specialty,Husband,White,Male,0,0,40,Germany,0
30,Private,75189,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
28,Private,191154,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,0
39,Self-emp-not-inc,200772,Some-college,13,Married-AF-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0
58,Self-emp-not-inc,172506,11th,5,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,0,0,58,United-States,0
35,Private,45533,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,1
58,Private,219867,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,0,50,Germany,0
61,Private,490270,12th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
48,State-gov,310787,11th,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,0
47,Local-gov,320094,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,1
53,Private,32925,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,44,United-States,0
33,Private,100252,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,901,53,United-States,0
37,Private,375986,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,1
29,Private,67262,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0
32,State-gov,317819,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
26,Private,312497,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
27,Private,214140,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
20,Private,122754,12th,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,9,Jamaica,0
36,Local-gov,81588,Masters,9,Married-civ-spouse,Sales,Husband,Black,Male,5698,0,40,Poland,0
17,Private,171829,Bachelors,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
17,Private,182935,Assoc-voc,14,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
22,Private,155502,Assoc-voc,11,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
57,Private,202519,10th,4,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,40,Mexico,0
40,Self-emp-inc,28011,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,57,United-States,0
30,Private,49122,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,49,United-States,0
49,Private,200666,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
29,Self-emp-inc,168457,Some-college,10,Married-AF-spouse,Tech-support,Wife,White,Female,0,0,52,United-States,0
24,Private,142773,12th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,0
29,Federal-gov,305989,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
39,State-gov,77441,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
54,Private,341231,Assoc-voc,10,Married-AF-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
64,Private,168594,Assoc-voc,5,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,11,United-States,0
40,Private,230158,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,6208,0,40,United-States,0
51,Private,144672,Assoc-voc,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,8714,919,40,Nicaragua,0
41,Private,36424,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
49,Self-emp-not-inc,55631,Assoc-acdm,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,49,United-States,1
32,State-gov,152004,Some-college,10,Never-married,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
30,Private,31893,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,909,40,United-States,1
60,Private,83257,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,0
30,Without-pay,155482,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,47,United-States,0
45,Private,116403,Assoc-voc,11,Divorced,Priv-house-serv,Unmarried,Black,Female,0,0,40,United-States,0
39,Private,193776,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,40,Germany,0
22,Private,333080,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
17,Private,155337,11th,7,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,United-States,0
30,Private,29733,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,4907,0,40,United-States,0
31,Local-gov,162891,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,8312,0,30,United-States,1
47,Private,174534,Assoc-voc,5,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,England,0
43,Private,174431,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7484,918,40,United-States,1
31,Private,190020,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
39,Private,366034,Assoc-acdm,13,Married-AF-spouse,Other-service,Unmarried,White,Female,0,0,35,United-States,0
24,Private,327452,Some-college,10,Divorced,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
22,Private,227385,Some-college,10,Never-married,Farming-fishing,Own-child,Other,Male,0,0,50,United-States,0
53,Private,120716,12th,6,Never-married,Prof-specialty,Other-relative,Other,Female,0,0,40,United-States,0
34,Private,199743,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,Taiwan,0
32,Federal-gov,111386,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
48,Private,182639,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
35,Private,176671,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,38,United-States,0
