age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,240531,11th,8,Never-married,Prof-specialty,Own-child,Black,Female,32214,2,36,Mexico, >50K
59,Private,13769,Masters,13,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Male,8935,0,38,United-States, <=50K
44,Private,112028,Bachelors,12,Never-married,Other-service,Wife,White,Male,52367,0,24,United-States, <=50K
26,Private,256885,11th,9,Widowed,Tech-support,Not-in-family,White,Female,16819,0,47,United-States, >50K
42,Self-emp-inc,561261,Bachelors,9,Widowed,Tech-support,Husband,White,Female,1193,24,42,Mexico, >50K
53,Self-emp-not-inc,250756,Masters,9,Married-civ-spouse,Craft-repair,Husband,White,Female,1774,3,30,United-States, <=50K
43,State-gov,235862,HS-grad,7,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Female,1,0,34,England, >50K
33,Self-emp-inc,97275,10th,11,Divorced,Priv-house-serv,Not-in-family,White,Male,84990,39,66,Germany, <=50K
29,Private,15512,1st-4th,9,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,1360,3,63,United-States, >50K
55,Private,65660,10th,7,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2379,0,30,Nicaragua, >50K
30,Private,173362,Assoc-voc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,726,6,11,United-States, >50K
23,State-gov,261010,11th,7,Divorced,Machine-op-inspct,Wife,White,Female,4533,0,40,Mexico, >50K
23,Private,150875,HS-grad,10,Separated,Priv-house-serv,Not-in-family,White,Female,1,0,40,Mexico, >50K
41,Self-emp-not-inc,192589,Masters,12,Never-married,Tech-support,Husband,Black,Female,91863,0,33,Philippines, >50K
42,State-gov,168759,Bachelors,11,Married-civ-spouse,Other-service,Husband,Black,Male,67070,3,21,Mexico, <=50K
36,Private,202982,Masters,14,Never-married,Sales,Own-child,White,Female,54340,3,28,Germany, <=50K
38,Private,54644,Preschool,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,121,16,25,Cuba, >50K
41,Private,286563,10th,8,Never-married,Other-service,Unmarried,White,Female,17,7,24,United-States, >50K
39,Private,90410,12th,5,Married-civ-spouse,Tech-support,Wife,Black,Male,14395,0,55,Mexico, >50K
42,State-gov,178243,11th,8,Divorced,Adm-clerical,Husband,White,Male,8118,169,48,United-States, >50K
44,Private,336110,10th,8,Widowed,Machine-op-inspct,Husband,White,Female,2487,0,39,Mexico, >50K
22,Private,61115,Bachelors,10,Never-married,Adm-clerical,Own-child,Black,Female,10,1,30,Germany, >50K
49,State-gov,169691,11th,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,13257,117,42,United-States, >50K
28,Local-gov,47535,11th,12,Married-civ-spouse,Prof-specialty,Wife,White,Male,2917,3,51,Germany, >50K
42,Private,108447,Doctorate,11,Married-civ-spouse,Other-service,Husband,White,Female,89366,0,47,United-States, >50K
33,Private,196414,Some-college,8,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,5151,42,38,Germany, >50K
32,Self-emp-not-inc,85922,Masters,10,Never-married,Other-service,Wife,White,Female,5586,0,56,Poland, >50K
56,Self-emp-inc,79511,11th,12,Married-civ-spouse,Craft-repair,Unmarried,Black,Female,124,0,34,Nicaragua, >50K
40,State-gov,147236,HS-grad,12,Never-married,Sales,Wife,Black,Female,1051,0,20,Germany, >50K
51,Private,118522,Doctorate,8,Divorced,Tech-support,Not-in-family,White,Female,67175,0,30,Mexico, >50K
26,Private,188389,7th-8th,3,Widowed,Adm-clerical,Not-in-family,White,Male,14,14,39,United-States, >50K
