age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,Private,154503,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,0
51,Private,69850,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,34,United-States,0
43,Private,204938,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,32,United-States,1
38,Private,182158,Masters,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,India,0
25,Self-emp-not-inc,160489,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,0,40,England,0
25,Local-gov,159946,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,41,United-States,0
61,Local-gov,166342,Bachelors,13,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,1
36,Private,132003,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,England,0
43,Self-emp-not-inc,104528,HS-grad,9,Married-AF-spouse,Transport-moving,Wife,White,Female,0,0,52,United-States,0
50,Private,239520,10th,7,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,0
49,Local-gov,200621,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States,0
22,Private,78835,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,55,United-States,0
38,Local-gov,278507,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
34,Private,177098,Assoc-acdm,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,30,United-States,0
47,Without-pay,134186,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
49,State-gov,195265,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
55,Private,113183,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Female,0,0,21,United-States,0
33,Local-gov,142373,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,0
58,Private,170226,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
35,Private,28677,Bachelors,13,Married-AF-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,0
29,Private,269461,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,40,United-States,0
30,Private,129544,Assoc-acdm,13,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,53,Greece,0
33,Private,191339,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,20,United-States,0
50,Local-gov,123294,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,0
45,Private,212779,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
32,Private,489637,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,58,Germany,0
22,Private,521162,Preschool,3,Never-married,Machine-op-inspct,Not-in-family,Other,Female,0,0,40,France,0
38,Private,216072,10th,6,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,39,United-States,0
29,Private,452983,11th,7,Never-married,Handlers-cleaners,Not-in-family,Other,Male,0,0,44,Mexico,0
21,Private,131258,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,47,United-States,0
47,Private,194807,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,0
60,Private,375883,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,23,United-States,0
58,Self-emp-not-inc,167260,Bachelors,13,Married-AF-spouse,Other-service,Wife,Black,Female,0,0,40,United-States,1
25,Private,273957,Some-college,10,Married-civ-spouse,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,Vietnam,1
60,Private,242686,HS-grad,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
47,Local-gov,164428,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
42,Private,165670,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
90,Self-emp-not-inc,41945,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,48,United-States,0
29,Private,171969,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,0
33,Private,378759,Some-college,10,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,South,0
42,Private,229867,Assoc-voc,4,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,40,United-States,0
37,Private,42945,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
31,Private,136081,1st-4th,4,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Female,0,0,50,Germany,0
45,Private,212327,10th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,39,United-States,0
29,Private,206465,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,55,United-States,0
32,Private,166464,7th-8th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States,0
46,Local-gov,224140,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,6220,0,40,United-States,0
36,Federal-gov,168054,HS-grad,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,12,United-States,0
37,State-gov,116205,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
33,Local-gov,219110,5th-6th,4,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,48,Portugal,0
50,Private,42214,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
36,Private,236131,7th-8th,4,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,0
36,Private,153628,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
40,Self-emp-not-inc,413861,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United-States,0
24,Private,197904,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,38,Puerto-Rico,0
47,Local-gov,257569,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,45,United-States,0
27,Private,127819,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,0
48,Private,237723,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
48,Private,113864,9th,10,Never-married,Sales,Not-in-family,Black,Male,0,0,39,United-States,0
59,Private,124191,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
34,Private,188461,12th,3,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,Italy,0
41,Private,284185,Bachelors,15,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,56,Vietnam,0
40,State-gov,326394,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,Taiwan,0
22,Private,213745,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
41,Private,179135,HS-grad,9,Divorced,Adm-clerical,Other-relative,Black,Male,0,0,40,Guatemala,0
22,Private,91553,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,222329,Doctorate,4,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,64,England,0
