age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
44,Private,176311,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
23,Private,107290,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,21,United-States,0
23,Private,104266,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,0
61,Private,109781,HS-grad,9,Widowed,Other-service,Other-relative,Black,Female,0,1,17,United-States,0
22,Private,192632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
66,Private,130568,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,7390,1,40,United-States,1
50,Private,106453,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,3620,0,40,United-States,0
35,Private,197159,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
52,Private,149652,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,4086,0,40,United-States,1
20,Private,87973,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,0
54,Private,162206,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,7592,1,59,United-States,1
61,Private,92942,Assoc-acdm,16,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,2,0,40,United-States,0
36,Private,204377,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,0
57,Private,115427,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,14917,0,19,United-States,1
46,Private,139453,Some-college,10,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,0
64,Self-emp-not-inc,35218,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,74,United-States,0
51,Self-emp-inc,106469,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,United-States,1
54,Private,114934,Assoc-acdm,12,Widowed,Other-service,Unmarried,White,Female,3061,0,40,United-States,0
23,Private,122606,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,1,0,40,United-States,0
62,Private,88695,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,3548,0,40,United-States,1
21,Private,127549,9th,5,Never-married,Other-service,Unmarried,Black,Female,2,0,15,United-States,0
73,Private,102028,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,15,United-States,0
27,Private,82644,10th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
23,Private,187741,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,1,0,40,United-States,0
48,Private,125091,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
62,Self-emp-not-inc,103408,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,1
50,Private,195754,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,3607,0,40,United-States,0
59,Private,89009,HS-grad,9,Widowed,Other-service,Other-relative,Black,Female,25,1,40,United-States,0
51,Private,181029,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2704,0,40,United-States,1
43,Private,114906,Assoc-voc,11,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
60,Private,179207,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,3143,0,40,United-States,0
68,Self-emp-not-inc,114723,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3056,0,40,United-States,0
53,Private,98262,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
33,Private,166332,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,0
33,Private,25411,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
23,Private,91413,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
36,Private,194115,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,1,0,40,United-States,1
70,Private,89844,Some-college,10,Widowed,Other-service,Unmarried,White,Female,2,1,19,United-States,0
35,Private,124382,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,2,0,40,United-States,0
29,Private,198883,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,86444,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
37,Private,91169,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,1
45,Private,92182,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,2,1,40,United-States,1
42,Private,144613,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
25,Private,54677,11th,7,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,0
23,Private,152209,Assoc-voc,11,Never-married,Other-service,Unmarried,White,Female,0,0,19,United-States,0
40,Private,118474,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,1,40,United-States,0
18,Private,177980,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,10,United-States,0
22,Private,121644,Some-college,10,Never-married,Sales,Own-child,White,Male,1,0,15,United-States,0
21,Private,122403,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
23,Private,192487,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,18,United-States,0
46,Private,101268,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1998,40,United-States,1
65,Private,82946,7th-8th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,3340,0,15,United-States,0
49,Private,116624,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0,40,United-States,0
31,Private,189684,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
36,Private,112601,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,United-States,1
48,Private,197005,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
44,Private,122012,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,0
50,Private,119103,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
44,Private,125803,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,5749,0,40,United-States,1
30,Private,104887,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0
19,Private,191487,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,2,0,40,United-States,0
51,Private,52826,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,3,0,40,Philippines,1
37,Private,182556,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,40,United-States,0
41,Private,89119,Assoc-acdm,12,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,0
36,Private,180808,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,2,1,40,United-States,0
22,Private,117970,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States,0
70,Private,71191,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,White,Female,14,0,24,United-States,0
53,Private,87982,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
26,Private,94800,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,1,0,40,United-States,0
25,Private,187397,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,14,United-States,0
56,Private,90054,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,27,United-States,0
41,Private,92138,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15149,1,50,United-States,1
52,Private,99839,7th-8th,12,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
48,Private,68401,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,3743,0,40,United-States,0
45,Private,31428,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
30,Private,86566,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
38,Private,119796,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,40,United-States,1
64,Private,111532,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,25,United-States,0
26,Private,233872,Masters,14,Never-married,Sales,Own-child,White,Male,4,0,14,United-States,0
37,Private,105460,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
41,Private,162956,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3,0,40,United-States,0
32,Private,188020,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,5,0,45,United-States,0
20,Private,201362,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,3,0,40,United-States,0
43,Private,108804,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,0
24,Private,126902,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,3,0,40,United-States,0
30,Private,246690,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
31,Private,93622,12th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
46,Private,79277,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
36,Private,126003,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,50,United-States,1
58,Private,143584,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,3068,0,29,United-States,0
36,Private,214103,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
49,Private,88799,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,0,40,United-States,1
41,Private,46086,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
19,Private,104387,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,17,United-States,0
38,Private,127426,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,50,United-States,0
57,Private,125449,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
29,Private,90615,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2,0,50,United-States,0
50,Private,104141,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,2,0,40,United-States,0
51,Private,105878,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,3909,0,40,United-States,1
25,Private,162253,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,40,United-States,0
32,Self-emp-not-inc,81625,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
47,Private,85036,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,4,0,40,United-States,0
23,Private,213052,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,2,0,40,United-States,0
52,Private,71864,7th-8th,4,Married-civ-spouse,Other-service,Unmarried,White,Male,0,1,40,United-States,0
57,Private,88437,7th-8th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,0
42,State-gov,110178,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,59,United-States,1
36,Private,190442,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,5903,0,40,United-States,1
51,Private,67710,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
56,Private,106296,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
26,Private,64810,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,93794,5th-6th,3,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Mexico,0
