age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
53,Private,149662,10th,7,Married-civ-spouse,Prof-specialty,Husband,White,Female,46756,5,45,Mexico, >50K
24,Private,88173,Masters,10,Divorced,Adm-clerical,Wife,White,Male,48591,4,26,Germany, >50K
33,Private,82709,Some-college,10,Never-married,Handlers-cleaners,Other-relative,Black,Female,486,0,25,Poland, >50K
22,Local-gov,216735,12th,9,Widowed,Other-service,Husband,White,Male,738,0,34,Mexico, >50K
54,Local-gov,196076,Assoc-acdm,9,Widowed,Adm-clerical,Own-child,White,Female,5123,2,45,Germany, >50K
72,State-gov,50213,Assoc-voc,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,52630,26,52,Mexico, <=50K
48,Private,112845,9th,4,Divorced,Prof-specialty,Husband,White,Male,32455,2,42,United-States, >50K
37,Private,227790,HS-grad,9,Divorced,Tech-support,Husband,White,Male,5482,0,36,Nicaragua, >50K
30,Private,115336,10th,7,Married-civ-spouse,Machine-op-inspct,Unmarried,Black,Male,50,1,43,Poland, >50K
33,Private,78252,Masters,8,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,1693,0,36,United-States, >50K
67,Private,141337,Masters,9,Married-civ-spouse,Tech-support,Husband,White,Male,83086,0,77,Mexico, <=50K
47,Private,108556,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,8858,9,33,Mexico, <=50K
22,State-gov,244796,Bachelors,8,Never-married,Tech-support,Not-in-family,White,Female,16937,18,27,Germany, >50K
23,Private,198596,HS-grad,10,Separated,Prof-specialty,Wife,Black,Male,94767,0,43,Germany, >50K
46,Local-gov,148907,HS-grad,13,Married-civ-spouse,Protective-serv,Unmarried,White,Male,145,3,45,Germany, >50K
28,Private,248717,11th,10,Divorced,Craft-repair,Own-child,White,Male,13022,0,32,Mexico, >50K
33,Private,166765,HS-grad,8,Separated,Sales,Not-in-family,White,Female,6525,1,21,Poland, >50K
28,Private,191362,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,944,1,27,Mexico, >50K
46,Local-gov,173805,Some-college,12,Never-married,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,19707,0,53,Mexico, >50K
25,State-gov,62218,Some-college,9,Married-civ-spouse,Sales,Not-in-family,White,Female,60073,0,49,Mexico, >50K
34,State-gov,185653,Bachelors,12,Never-married,Other-service,Not-in-family,White,Male,0,0,5,Mexico, >50K
30,Private,94496,Bachelors,10,Never-married,Exec-managerial,Wife,Black,Female,107,0,28,Poland, >50K
27,Local-gov,173769,Bachelors,11,Divorced,Prof-specialty,Unmarried,White,Female,72638,0,46,United-States, >50K
31,State-gov,170508,HS-grad,11,Married-civ-spouse,Tech-support,Wife,White,Female,735,0,39,Germany, >50K
71,State-gov,58942,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,66754,0,43,United-States, <=50K
26,Private,183128,Masters,11,Married-civ-spouse,Armed-Forces,Wife,White,Male,91142,34,51,Nicaragua, >50K
53,Private,231964,Bachelors,10,Divorced,Transport-moving,Not-in-family,White,Female,37793,0,19,Germany, <=50K
60,Private,111597,7th-8th,10,Married-civ-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,Female,91069,0,38,United-States, <=50K
23,State-gov,62774,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,759,2,50,Mexico, <=50K
24,Private,183237,11th,5,Married-civ-spouse,Other-service,Own-child,White,Male,988,0,29,Cuba, >50K
54,Private,267866,Bachelors,10,Divorced,Tech-support,Unmarried,White,Female,14908,0,45,United-States, >50K
28,Private,341352,Doctorate,11,Widowed,Other-service,Not-in-family,White,Male,58676,0,39,Mexico, <=50K
35,Private,144646,10th,14,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,4183,1,72,United-States, >50K
51,Private,153918,HS-grad,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,27,6,54,England, >50K
49,Self-emp-not-inc,38884,Masters,8,Divorced,Prof-specialty,Not-in-family,Black,Male,1,0,39,Nicaragua, >50K
37,Self-emp-not-inc,141644,10th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,303,86,41,United-States, >50K
30,Private,245361,12th,7,Separated,Adm-clerical,Unmarried,Black,Female,45,0,38,Poland, >50K
55,Self-emp-not-inc,164933,10th,9,Divorced,Handlers-cleaners,Husband,White,Male,10635,0,58,Germany, >50K
34,State-gov,222468,12th,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,317,3,10,Mexico, >50K
20,Private,207282,Masters,10,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,27374,0,45,United-States, >50K
34,Private,313007,7th-8th,5,Separated,Adm-clerical,Wife,White,Female,28394,9,19,United-States, >50K
35,Private,444438,Some-college,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,8316,6,34,Germany, >50K
29,Private,252488,Bachelors,6,Divorced,Exec-managerial,Not-in-family,Black,Female,6621,47,34,United-States, >50K
30,Private,101465,Bachelors,12,Married-civ-spouse,Transport-moving,Husband,White,Male,828,0,44,Mexico, >50K
29,Private,239924,Masters,9,Married-civ-spouse,Tech-support,Husband,White,Female,43671,8,36,Poland, <=50K
30,Private,242385,Bachelors,8,Separated,Adm-clerical,Wife,White,Female,10376,0,27,Germany, >50K
54,Private,207675,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,94302,0,55,Mexico, <=50K
43,Local-gov,58179,Bachelors,7,Married-civ-spouse,Other-service,Husband,White,Male,8880,0,49,Germany, >50K
54,Private,159540,Assoc-voc,9,Married-civ-spouse,Craft-repair,Husband,White,Female,57842,0,29,Mexico, <=50K
70,Private,359516,Masters,8,Married-civ-spouse,Craft-repair,Husband,Black,Male,44127,7,54,United-States, <=50K
