age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
55,Self-emp-not-inc,42178,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,911,40,United-States,0
44,Private,133363,Doctorate,6,Divorced,Prof-specialty,Own-child,White,Male,0,0,48,United-States,0
24,Private,641879,9th,7,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,59,United-States,0
63,Private,30514,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
21,Private,210499,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,52,United-States,0
31,Private,31216,10th,11,Divorced,Other-service,Other-relative,Black,Male,0,0,21,Peru,0
21,Private,97997,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,41,United-States,0
61,Private,197082,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,0,0,40,Iran,0
17,State-gov,46475,10th,4,Separated,Other-service,Own-child,White,Male,0,0,16,Trinadad&Tobago,0
59,Private,183671,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Female,0,0,37,United-States,0
50,Private,209984,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4518,0,59,United-States,1
20,Private,189470,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
56,Private,63872,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
28,Private,151824,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,0
48,Private,265588,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
54,Private,32057,Assoc-voc,13,Married-civ-spouse,Sales,Husband,White,Male,5515,931,50,United-States,0
34,Private,144052,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,40,United-States,0
23,Private,196745,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,0
21,Private,195107,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Female,0,0,40,United-States,0
39,Private,366835,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
48,Self-emp-inc,182059,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,906,57,United-States,1
24,Private,386291,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,22,United-States,0
17,Private,149654,9th,7,Divorced,Other-service,Own-child,Black,Male,0,0,40,United-States,0
52,Private,117058,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,1
50,Local-gov,159195,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,0
47,Private,231379,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
46,Private,122741,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,922,45,United-States,1
53,Private,256400,Doctorate,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,49,United-States,0
