age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
26,Private,423195,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,18,1775,40,United-States,0
29,Private,391675,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,0,46,United-States,1
43,Private,164100,Assoc-voc,12,Never-married,Other-service,Unmarried,White,Female,7,0,40,United-States,0
56,Private,182300,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,0,79,Iran,1
29,Private,133124,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
30,Private,341335,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
34,Private,157457,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,33,0,40,United-States,0
60,Private,353262,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,22,0,47,United-States,0
17,Private,83962,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,33,0,40,United-States,0
49,Federal-gov,379293,Assoc-acdm,13,Widowed,Exec-managerial,Unmarried,White,Female,7882,1743,40,United-States,1
42,Local-gov,181137,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,57,United-States,1
44,Private,273466,HS-grad,9,Never-married,Sales,Own-child,Other,Female,34,0,31,United-States,0
39,State-gov,355618,Assoc-voc,16,Married-civ-spouse,Adm-clerical,Husband,Other,Male,38,0,40,United-States,0
21,Private,287357,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Female,30,0,24,United-States,0
59,Self-emp-not-inc,50516,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,5,0,40,China,0
25,Private,152148,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,24,0,40,United-States,0
40,Private,253532,Assoc-voc,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,27,United-States,0
33,Self-emp-not-inc,190398,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,42,0,40,United-States,1
61,Private,313382,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,15,0,23,United-States,1
48,Private,251971,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,19,0,45,United-States,0
24,Self-emp-not-inc,181364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,1,61,Iran,1
17,Private,259785,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,15,0,40,United-States,0
36,Private,118234,Bachelors,13,Widowed,Other-service,Unmarried,White,Male,0,0,40,United-States,0
48,Private,133874,Assoc-voc,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,21,0,46,United-States,0
31,Private,179282,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,17,1748,36,United-States,0
27,Private,204518,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,3,0,40,United-States,0
34,Local-gov,212245,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,18,0,50,United-States,0
42,Private,222880,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,18,0,40,United-States,1
46,Self-emp-inc,80665,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,23,0,45,United-States,0
30,Private,106475,Bachelors,13,Never-married,Protective-serv,Own-child,White,Female,9,0,40,United-States,0
38,Self-emp-inc,146851,Prof-school,14,Married-civ-spouse,Craft-repair,Husband,White,Male,29,0,70,United-States,0
47,Local-gov,92333,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,21,0,40,United-States,1
25,Self-emp-not-inc,315907,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Male,13,0,36,United-States,0
31,Private,432320,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,40,United-States,0
48,Private,119685,Some-college,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,16,0,50,United-States,1
60,Private,291763,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,1756,44,United-States,0
49,Private,335644,10th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,40,United-States,0
41,Self-emp-not-inc,291156,Some-college,10,Married-civ-spouse,Protective-serv,Wife,White,Male,32,1,50,United-States,1
18,Private,337602,11th,7,Never-married,Transport-moving,Own-child,White,Male,3,0,23,United-States,0
