age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
29,Private,48989,Bachelors,13,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
60,Private,312725,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,56,2124,11,United-States,1
20,Private,34617,12th,8,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
60,State-gov,315846,Doctorate,5,Never-married,Machine-op-inspct,Husband,White,Male,15,0,20,Mexico,0
32,Local-gov,66697,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,30,0,40,Poland,0
52,Private,253739,Assoc-acdm,15,Married-civ-spouse,Craft-repair,Husband,White,Male,18,1,56,United-States,1
22,Private,154375,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,4,0,40,United-States,0
23,Private,354381,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,18,0,27,Poland,0
34,Private,368839,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Female,2809,0,40,United-States,0
21,Private,127743,11th,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
44,Self-emp-inc,59089,HS-grad,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2027,40,Vietnam,1
30,Private,21792,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,9,0,40,United-States,0
29,Local-gov,40757,HS-grad,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
24,Self-emp-not-inc,77411,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,55,United-States,0
57,Self-emp-not-inc,281730,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5,2,40,United-States,1
36,State-gov,49662,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Female,8,2185,35,United-States,0
49,Private,111404,HS-grad,9,Married-AF-spouse,Adm-clerical,Unmarried,White,Female,0,1,40,United-States,0
43,Local-gov,236584,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,27,2112,46,United-States,0
21,Private,206578,Bachelors,13,Divorced,Protective-serv,Unmarried,White,Female,26,3,42,United-States,0
38,Self-emp-not-inc,217726,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,0,50,United-States,1
27,Private,93122,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,15,1954,45,United-States,1
39,Private,207773,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,40,Cuba,0
44,Self-emp-not-inc,135158,Bachelors,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
23,Self-emp-not-inc,35249,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,36,2,42,United-States,0
