age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,Private,253375,Masters,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
43,Private,277530,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,1566,831,40,United-States,1
25,Private,147178,Assoc-acdm,12,Never-married,Prof-specialty,Unmarried,White,Female,0,0,63,United-States,0
63,Local-gov,250776,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
48,Private,161354,9th,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,England,0
35,Private,477433,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,11,United-States,0
32,Private,123403,Assoc-voc,4,Married-AF-spouse,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,0
36,Private,159339,Assoc-acdm,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,England,0
54,Private,108907,HS-grad,9,Married-AF-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
20,Private,83683,Bachelors,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,936,58,United-States,0
17,Local-gov,234475,Some-college,7,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,0
20,Private,104129,HS-grad,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,56,United-States,0
36,Local-gov,160126,Assoc-voc,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0
75,Private,16431,Assoc-voc,9,Never-married,Tech-support,Own-child,White,Male,0,0,31,United-States,0
36,Without-pay,192894,Bachelors,14,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,0
30,State-gov,140226,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,86,United-States,1
39,Federal-gov,188062,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,33,United-States,0
38,Private,205963,HS-grad,9,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,United-States,0
46,Private,32958,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
22,Private,182450,Some-college,10,Married-AF-spouse,Sales,Not-in-family,Black,Male,0,0,40,United-States,0
36,Private,291604,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,99,United-States,0
57,Private,346514,Bachelors,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,65,United-States,1
17,Self-emp-not-inc,285906,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
58,Self-emp-not-inc,166005,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,63,United-States,0
24,Self-emp-inc,221792,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
39,Private,450846,Some-college,12,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,911,40,Germany,0
36,Private,200430,Some-college,13,Divorced,Prof-specialty,Own-child,Other,Female,0,0,37,United-States,0
38,Federal-gov,262050,HS-grad,9,Never-married,Transport-moving,Own-child,White,Female,0,0,23,United-States,0
18,Private,825948,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Other,Female,0,0,40,United-States,0
37,Private,182680,Masters,7,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,1016,40,United-States,0
56,Self-emp-not-inc,13769,Preschool,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,40536,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,19,United-States,0
21,Private,122298,Bachelors,2,Married-AF-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,0,0,40,Mexico,0
34,Self-emp-not-inc,204899,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Male,0,0,40,Vietnam,0
50,Private,275816,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
58,Private,165307,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
25,Private,238982,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,33,United-States,0
32,Private,229716,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,27,United-States,1
53,Private,155477,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0
24,Private,364788,Some-college,11,Divorced,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,12,United-States,0
57,Private,193961,Assoc-voc,3,Widowed,Handlers-cleaners,Unmarried,Black,Female,0,0,40,Vietnam,0
18,Private,191142,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,0
38,Private,286749,11th,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Germany,1
23,Private,279356,10th,15,Divorced,Other-service,Husband,Black,Female,0,0,40,United-States,1
24,Private,139280,HS-grad,10,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
25,Private,109501,10th,13,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,0,0,31,United-States,0
18,Private,104778,Some-college,11,Divorced,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,0
65,Private,111165,9th,9,Widowed,Other-service,Not-in-family,White,Female,0,0,34,United-States,0
34,State-gov,109806,Bachelors,12,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,99,United-States,1
28,Private,478818,Some-college,12,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,57,Portugal,0
40,Private,206912,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
41,Private,265511,7th-8th,4,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,0,0,40,Holand-Netherlands,0
29,Self-emp-not-inc,220712,Some-college,15,Married-civ-spouse,Transport-moving,Husband,White,Male,0,934,40,United-States,1
19,Self-emp-not-inc,137738,Some-college,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
24,Self-emp-not-inc,171868,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,908,40,United-States,0
33,State-gov,174311,Some-college,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
61,Private,25169,9th,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
79,Self-emp-not-inc,279705,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
51,Private,273662,HS-grad,9,Divorced,Machine-op-inspct,Husband,Black,Male,0,825,40,United-States,0
33,Private,129908,12th,10,Separated,Adm-clerical,Own-child,White,Male,0,0,70,United-States,0
17,Private,36154,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,0,40,Mexico,0
