age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,63112,Assoc-voc,11,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
57,Private,153994,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,20,United-States,0
48,Private,91821,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,1
44,Private,102804,Assoc-voc,7,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,0
37,Private,80650,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,1859,20,United-States,0
23,Private,89433,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,1,0,40,United-States,0
38,Private,160461,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,2,0,55,United-States,0
53,Private,114589,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
43,Private,135370,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,8104,0,49,United-States,1
59,Private,98865,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
20,Private,144860,11th,7,Never-married,Other-service,Not-in-family,White,Female,6,0,19,United-States,0
30,Private,93783,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,3,0,50,United-States,0
33,Private,131343,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
56,Private,104748,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,22,United-States,0
24,Private,104043,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,22,United-States,0
67,Private,138416,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,8,0,26,United-States,0
20,Private,114648,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,0
36,Private,129966,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,50,United-States,0
39,Private,93245,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,0
44,Private,96263,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,0
31,Private,87941,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,2,0,40,United-States,0
46,Private,87173,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Male,4190,0,40,United-States,1
38,Private,78386,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
51,Self-emp-not-inc,85896,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,57,United-States,0
26,Private,120894,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,1,14,United-States,0
