age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
62,Private,225621,Some-college,10,Separated,Other-service,Unmarried,White,Female,55,1,35,United-States,0
49,Private,157553,Masters,14,Divorced,Exec-managerial,Wife,White,Female,2071,0,40,United-States,1
34,Private,110630,12th,9,Married-civ-spouse,Sales,Husband,White,Male,38,0,40,Jamaica,0
19,Private,45222,Doctorate,13,Never-married,Sales,Husband,White,Male,4,0,40,Jamaica,1
66,Private,128655,12th,9,Married-civ-spouse,Other-service,Unmarried,White,Male,0,0,40,Poland,0
40,Self-emp-not-inc,135013,Prof-school,16,Married-civ-spouse,Craft-repair,Husband,White,Male,4185,2,40,United-States,0
18,Private,160911,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,1,40,United-States,0
70,Federal-gov,196112,7th-8th,12,Never-married,Craft-repair,Not-in-family,White,Female,66,4,40,Poland,1
47,Private,256444,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
28,Private,111825,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,34,0,40,United-States,0
24,Self-emp-inc,182410,9th,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,South,0
21,Private,70936,HS-grad,8,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,0
37,Local-gov,214391,Bachelors,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,99999,0,40,Germany,1
26,Private,254676,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,2,0,61,United-States,0
40,Self-emp-not-inc,208423,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,53,0,51,United-States,1
48,State-gov,216072,Masters,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,36,United-States,0
17,Private,101994,Preschool,10,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Female,21,2,80,El-Salvador,0
40,Private,260199,Some-college,15,Married-civ-spouse,Prof-specialty,Unmarried,Black,Female,5,0,40,United-States,0
20,Self-emp-not-inc,13769,11th,9,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,0
38,Local-gov,168444,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,59,United-States,1
45,Self-emp-not-inc,98870,5th-6th,15,Married-civ-spouse,Transport-moving,Husband,White,Male,15406,1960,40,Mexico,0
21,Private,144791,Bachelors,7,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,El-Salvador,0
47,State-gov,222644,HS-grad,3,Divorced,Adm-clerical,Not-in-family,Black,Male,31,0,40,United-States,0
17,Private,133244,5th-6th,9,Never-married,Craft-repair,Own-child,White,Female,12,0,40,United-States,0
69,Private,64277,Assoc-acdm,5,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
49,State-gov,105336,Bachelors,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,1,40,Cuba,0
55,Self-emp-not-inc,194981,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,61,United-States,0
41,Private,218891,Bachelors,11,Married-spouse-absent,Sales,Not-in-family,Other,Male,7,1,40,United-States,0
27,Private,242771,HS-grad,9,Never-married,Other-service,Husband,Other,Male,93,0,40,United-States,0
47,Local-gov,137875,Masters,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
44,Self-emp-not-inc,135567,12th,15,Married-civ-spouse,Sales,Husband,White,Male,11,0,40,United-States,0
21,Private,161525,HS-grad,9,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,0,0,34,United-States,0
49,Federal-gov,133500,Masters,10,Divorced,Exec-managerial,Unmarried,White,Female,26,2,45,United-States,0
23,Private,101586,10th,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,14,0,69,Portugal,0
53,Self-emp-not-inc,245143,Doctorate,16,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1946,40,United-States,1
38,Private,398692,12th,6,Never-married,Handlers-cleaners,Wife,White,Male,0,4,38,United-States,0
43,Private,137099,11th,10,Never-married,Other-service,Not-in-family,White,Male,0,1,40,United-States,0
45,Private,205640,HS-grad,12,Widowed,Adm-clerical,Unmarried,White,Female,0,1,40,United-States,0
34,Private,96341,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,56,0,66,United-States,1
54,Private,232951,7th-8th,10,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,6153,0,40,United-States,1
52,Private,30343,12th,9,Widowed,Other-service,Unmarried,White,Female,25,2,40,United-States,0
32,Private,266797,7th-8th,14,Widowed,Sales,Unmarried,White,Female,15,0,36,United-States,0
55,Private,55206,9th,5,Never-married,Sales,Wife,Amer-Indian-Eskimo,Male,0,0,40,Germany,0
49,State-gov,195244,10th,3,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0
44,Private,138101,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,21,2,40,United-States,0
