age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,Private,248558,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,45,United-States,0
40,Federal-gov,132683,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,9115,918,59,United-States,0
34,Self-emp-not-inc,181406,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,0
30,Private,93659,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,50,South,0
34,Private,132959,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,13,England,0
60,Private,171305,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,19,United-States,0
33,Federal-gov,195325,HS-grad,9,Married-AF-spouse,Tech-support,Not-in-family,White,Male,0,0,45,United-States,0
49,Private,287115,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Male,0,0,40,England,0
32,Local-gov,169495,Bachelors,13,Married-AF-spouse,Adm-clerical,Unmarried,Black,Female,4068,0,35,United-States,0
25,Private,50215,Some-college,10,Never-married,Prof-specialty,Husband,White,Male,0,0,31,Poland,0
53,Local-gov,141213,Masters,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
23,Private,76792,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
32,Local-gov,242156,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
39,Private,46911,Assoc-voc,15,Married-civ-spouse,Tech-support,Husband,White,Male,0,920,46,United-States,0
36,Without-pay,411145,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
31,State-gov,362155,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1
35,Private,231561,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,8116,0,50,United-States,0
22,Private,212072,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,Italy,0
22,Private,260389,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,4814,0,40,United-States,1
36,Private,126283,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
53,State-gov,39081,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5687,0,50,United-States,0
30,Private,102350,Some-college,10,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,896,36,Philippines,0
30,Private,335953,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,44,United-States,0
61,Private,178179,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,59,United-States,0
37,Private,170886,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,920,40,United-States,0
25,Private,192991,HS-grad,9,Divorced,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,0,0,57,Germany,0
45,Private,128929,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Other,Female,0,0,40,United-States,0
34,Private,114020,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,7269,0,40,United-States,0
33,Private,125678,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Other,Male,0,0,40,United-States,0
41,Private,224763,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
30,Self-emp-inc,209077,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,0
31,Self-emp-not-inc,329287,9th,13,Never-married,Adm-clerical,Unmarried,White,Female,0,0,24,United-States,0
42,Private,206757,Some-college,10,Married-AF-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
56,Private,46150,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,4571,0,35,Vietnam,0
53,Private,184715,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
32,Local-gov,118136,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
20,Private,134515,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
37,Private,125197,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,58,United-States,0
45,Local-gov,270899,Assoc-voc,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
28,Private,104395,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,0
64,Private,172174,7th-8th,5,Widowed,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
52,Private,113995,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,30,United-States,0
18,Private,468579,Some-college,10,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,0,910,40,Germany,0
39,Private,418975,10th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
19,Private,128044,Some-college,9,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,20,United-States,0
