age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,income,workclass_target_encoded,education_target_encoded,marital-status_target_encoded,occupation_target_encoded,relationship_target_encoded,race_target_encoded,gender_target_encoded,native-country_target_encoded
49,285539,9,0,0,32,0,0.21911757934560055,0.16494929332841118,0.4555134466339909,0.2699028921324456,0.4636435540860428,0.2636216860346839,0.3126838149479483,0.25353032133580333
61,378588,13,0,0,50,0,0.2806009684179086,0.19828652452408252,0.4536550012917994,0.4705604161740362,0.4626349239388575,0.2630911203120757,0.3126838149479483,0.2536941840862257
27,25621,13,0,0,40,0,0.2189521423823132,0.05547187833306055,0.04917711598746082,0.27886759380376197,0.08553972096494145,0.12525458248472504,0.11422708618331054,0.29284288483990073
26,235250,13,0,0,40,0,0.2190251304891565,0.06416166637979867,0.04917711598746082,0.0423710904331851,0.06705686209791284,0.12525458248472504,0.11422708618331054,0.0614869791217858
47,219518,10,0,0,40,1,0.5557506584723442,0.20009314708376316,0.10261456587295079,0.22405828172289444,0.07912670726628396,0.12525458248472504,0.3126838149479483,0.40015251211331737
34,63018,9,0,0,45,0,0.39048039755529634,0.16521466352342729,0.4546080344212837,0.14147876480608584,0.45672842231660815,0.1252545824847251,0.3126838149479483,0.25358464769560385
33,134416,9,0,0,40,0,0.5557506584723442,0.16455821133810708,0.45381818657082595,0.22614832859056688,0.4546517557890805,0.2642037508770726,0.11422708618331054,0.2532796865770104
47,527265,13,0,0,40,0,0.28014607676417247,0.42325900431869207,0.08196702242116623,0.25086235298211307,0.11396977499563082,0.26325855004827753,0.11422708618331054,0.25363019130481534
48,140570,7,0,0,40,0,0.2192401823420664,0.055646077097605294,0.049177115987460815,0.2637060642470747,0.1165284937941134,0.2624656141659819,0.3126838149479483,0.25376959709364666
76,315398,5,0,0,41,0,0.21905997077253114,0.0612984239567212,0.07029547211944634,0.06188362503889149,0.08870392548690798,0.2626131014350334,0.11422708618331054,0.04247901584983804
19,234689,13,0,0,45,0,0.2190877131659015,0.42307915248250494,0.4548735167479932,0.22404632851630618,0.4572502927049348,0.2630090656277948,0.3126838149479483,0.2533859448143372
44,262855,8,0,0,40,0,0.21901585352406894,0.16573956528979966,0.049177115987460815,0.12198061689068367,0.016141335147707554,0.26422802805415796,0.11422708618331054,0.2535152624387442
61,117593,10,0,0,40,0,0.27927325337916065,0.1974951766956571,0.04917711598746082,0.11771966777270908,0.03549833349201832,0.2633872800921832,0.11422708618331054,0.25363445217175373
39,145199,13,0,0,45,0,0.21932224964849167,0.2561145249542696,0.4547870766117121,0.4705604161740364,0.45607911879113777,0.2633496971038399,0.11422708618331054,0.2535255691448941
20,54477,13,0,0,23,0,0.21903393789912556,0.42506216648472334,0.049177115987460815,0.040869727010368125,0.016141335147707554,0.26353051893654905,0.3126838149479483,0.25354278976381694
33,131901,9,0,0,40,0,0.2191001752573946,0.16609366841614215,0.101866399905991,0.21760155035840667,0.13111996118341127,0.26366062706226634,0.3126838149479483,0.2537164881212548
22,331911,11,10151,0,59,0,0.21907573682301035,0.2618213915623966,0.04917711598746082,0.2854657031761321,0.016141335147707554,0.26270782019099304,0.11422708618331054,0.2535480488379749
32,127827,4,0,0,30,0,0.2192613935676735,0.06917201357521208,0.4537103639462762,0.21668154568980103,0.45091299874462104,0.2635810486521657,0.11422708618331054,0.25360097527636327
45,392944,10,0,0,40,1,0.21926411456273365,0.20058585164905213,0.45401852820027433,0.14993733480147775,0.45689153950985373,0.12525458248472504,0.11422708618331054,0.25371136272031647
88,130230,13,0,0,40,0,0.2190673790689136,0.4226186920025563,0.45442372164549794,0.2833063004204027,0.44698952419089794,0.12525458248472504,0.11422708618331054,0.2534603126546222
30,75285,10,0,0,40,0,0.21915150356875585,0.19871197563410978,0.04917711598746082,0.11346840922474233,0.016141335147707554,0.2636303855803193,0.3126838149479483,0.05615651232894603
59,160583,9,0,0,30,0,0.21905324097822484,0.1661896897398941,0.09900854866724448,0.11786239567890064,0.07836807322905431,0.2624349217406442,0.11422708618331054,0.2536198481907608
73,304684,7,0,0,40,1,0.2194113851064622,0.054425761286284485,0.4550077603452196,0.06849429875881868,0.46112955424012125,0.1252545824847251,0.3126838149479483,0.25380646546650576
23,97191,13,0,0,43,0,0.219146127538343,0.4200230893034054,0.04917711598746083,0.47056041617403643,0.016141335147707554,0.28104575163398693,0.11422708618331054,0.05272271148493202
22,287641,7,0,0,50,0,0.2191389963349476,0.06520815917355513,0.4543008418263687,0.05865657131665286,0.016141335147707554,0.2627630138089062,0.11422708618331054,0.28470671210868037
34,241359,14,0,960,57,0,0.26130901890878444,0.5519291790294588,0.4543782026451593,0.45589150165667497,0.45301636957752195,0.26273546660848396,0.11422708618331054,0.2534447559174531
29,201584,13,0,0,40,0,0.21913288761119246,0.2570059221891644,0.45497972070105697,0.2564263295617698,0.4529627447158231,0.12525458248472504,0.3126838149479483,0.25360227869333274
18,262827,10,0,0,21,0,0.21901913891729508,0.1981620696278996,0.049177115987460815,0.12880624177592884,0.03682870699289657,0.12525458248472507,0.11422708618331054,0.2538760505257329
38,120012,10,0,0,40,0,0.219141663190755,0.1973939604275717,0.4546717495425176,0.45498570629647245,0.4901158827539194,0.2647565855328675,0.3126838149479483,0.25375519603223884
35,251245,14,0,0,36,0,0.21922137513121231,0.5440840289168155,0.10928273297609567,0.4705604161740363,0.0677297912271688,0.2636640052724764,0.3126838149479483,0.25375876621075655
22,149220,10,0,0,11,0,0.21925777680773995,0.19776781243831962,0.049177115987460815,0.04103902164445758,0.09647882702957142,0.26216470185572616,0.11422708618331054,0.2537487345810847
