age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
44,State-gov,292982,HS-grad,8,Married-civ-spouse,Tech-support,Husband,White,Male,91740,4,53,United-States,0
38,Local-gov,326018,HS-grad,12,Divorced,Exec-managerial,Wife,White,Male,51178,1,20,United-States,0
21,Private,341241,Masters,9,Widowed,Prof-specialty,Wife,White,Male,69,0,31,United-States,1
40,Private,123570,Bachelors,9,Widowed,Adm-clerical,Not-in-family,White,Female,52193,0,50,Germany,1
40,Private,109248,11th,7,Widowed,Craft-repair,Husband,White,Male,0,1,43,Philippines,0
40,Private,52515,Bachelors,15,Married-civ-spouse,Adm-clerical,Husband,White,Female,10507,0,63,Germany,0
37,Private,420678,Assoc-acdm,10,Separated,Adm-clerical,Unmarried,White,Male,33834,14,44,Nicaragua,0
34,State-gov,223262,Masters,10,Separated,Protective-serv,Other-relative,White,Male,57,76,36,Germany,0
59,State-gov,239228,Some-college,13,Widowed,Armed-Forces,Not-in-family,White,Female,12010,149,63,Mexico,1
33,Private,94039,12th,9,Divorced,Exec-managerial,Wife,Black,Female,27,0,24,Nicaragua,0
35,Federal-gov,96494,11th,14,Divorced,Handlers-cleaners,Unmarried,White,Male,34230,2,60,Mexico,1
34,Private,100862,Masters,9,Separated,Other-service,Own-child,Black,Female,16387,22,46,Germany,0
75,Private,109422,Some-college,15,Married-civ-spouse,Tech-support,Husband,White,Male,7155,0,48,Mexico,1
42,State-gov,53216,Bachelors,8,Married-civ-spouse,Tech-support,Not-in-family,White,Male,65626,0,30,Mexico,0
19,State-gov,334752,Doctorate,8,Never-married,Prof-specialty,Own-child,Black,Female,2062,28,25,Philippines,0
39,Private,90536,12th,5,Married-civ-spouse,Tech-support,Wife,Black,Male,14380,0,55,Mexico,0
24,Private,221208,11th,9,Divorced,Farming-fishing,Not-in-family,White,Male,46939,3,63,Poland,0
28,Private,69231,7th-8th,11,Widowed,Craft-repair,Wife,White,Male,594,21,22,Germany,0
20,Private,338811,HS-grad,12,Never-married,Tech-support,Other-relative,White,Female,8805,0,38,Germany,1
43,Private,92867,Bachelors,8,Married-civ-spouse,Tech-support,Husband,White,Male,815,0,45,Mexico,0
39,Private,323651,10th,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,37373,13,47,Poland,1
46,Private,154808,Some-college,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,1538,0,56,Mexico,1
54,Local-gov,148601,Masters,9,Divorced,Sales,Husband,White,Female,9100,0,49,United-States,0
53,Local-gov,138920,Bachelors,7,Widowed,Tech-support,Own-child,White,Female,73696,31,27,Mexico,0
30,Private,151089,11th,8,Widowed,Craft-repair,Wife,White,Male,20061,0,38,Mexico,0
28,Private,317416,Doctorate,7,Married-civ-spouse,Tech-support,Husband,White,Male,19007,3,35,Mexico,0
56,Private,137614,Bachelors,7,Divorced,Transport-moving,Unmarried,White,Male,55550,45,40,Germany,0
34,State-gov,169004,Masters,10,Divorced,Other-service,Other-relative,White,Female,5439,91,38,United-States,0
18,Local-gov,218130,HS-grad,12,Married-civ-spouse,Tech-support,Own-child,White,Female,96048,0,11,Philippines,1
40,State-gov,346884,Bachelors,16,Married-civ-spouse,Tech-support,Husband,Black,Female,65301,142,53,Mexico,0
51,Private,220112,11th,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,91,15,38,Vietnam,0
40,State-gov,101667,Masters,13,Widowed,Adm-clerical,Husband,White,Male,91118,0,50,Germany,1
19,Private,111910,10th,10,Never-married,Sales,Unmarried,Amer-Indian-Eskimo,Female,52307,8,35,Germany,0
48,Private,97739,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Female,14263,0,68,Germany,1
36,Private,171982,10th,6,Separated,Sales,Unmarried,White,Female,4,0,36,Mexico,0
24,Private,231458,Masters,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,95571,0,37,United-States,1
52,Private,389203,Bachelors,13,Married-civ-spouse,Tech-support,Not-in-family,White,Male,90150,0,57,Germany,1
26,Private,88896,Masters,9,Divorced,Tech-support,Own-child,White,Male,18347,0,52,United-States,0
29,Local-gov,89404,11th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,8769,0,43,Mexico,0
24,Private,113498,Prof-school,9,Separated,Prof-specialty,Husband,White,Male,51613,1,29,Mexico,0
30,Private,219611,10th,5,Never-married,Machine-op-inspct,Wife,White,Male,243,0,36,United-States,0
49,Private,194528,Assoc-acdm,7,Never-married,Transport-moving,Husband,White,Male,82770,125,47,Mexico,0
58,Local-gov,77799,HS-grad,12,Divorced,Priv-house-serv,Husband,White,Male,5984,1,56,Mexico,0
56,Self-emp-not-inc,154532,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,27028,36,31,Poland,0
23,Private,301361,Masters,9,Separated,Sales,Own-child,White,Female,1538,18,31,Germany,0
24,Local-gov,160673,10th,12,Widowed,Farming-fishing,Unmarried,White,Female,27910,0,42,Mexico,0
58,State-gov,146162,Masters,13,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,54,111,54,Mexico,1
60,State-gov,167766,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,23222,119,30,Mexico,0
40,Self-emp-not-inc,164475,10th,10,Divorced,Craft-repair,Husband,Black,Female,4,2,32,Mexico,0
53,Private,290462,10th,13,Married-civ-spouse,Tech-support,Husband,White,Male,1,62,56,Germany,1
