age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18,Private,217459,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
40,Private,174975,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1
28,Private,97888,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
59,Private,164099,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
47,Private,88340,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
26,Private,129545,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
51,Private,45776,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0,0,40,United-States,0
58,Private,219734,7th-8th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
44,Private,149036,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
20,Private,155113,Some-college,4,Never-married,Other-service,Own-child,White,Female,4684,0,25,United-States,0
29,Private,201807,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,2,0,50,United-States,0
46,Private,218739,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2,0,44,United-States,1
45,Private,97923,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,1,40,United-States,0
42,Private,211354,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,234180,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
32,Private,231116,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,166419,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,1
43,Private,137767,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
46,Private,46010,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
34,Private,88884,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
49,Private,202731,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,1,0,40,United-States,0
49,Private,178418,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
30,Private,209791,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
50,Private,156156,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
55,Private,223176,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
24,Private,126731,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,0
52,Private,110269,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
21,Private,92263,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
22,Private,210360,12th,7,Never-married,Adm-clerical,Own-child,White,Female,4551,0,20,United-States,0
29,Private,187765,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
33,Private,114081,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
45,Private,97542,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
51,Private,160740,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
