age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
35,Private,243506,Assoc-voc,10,Widowed,Prof-specialty,Not-in-family,White,Male,218,13,56,Mexico, >50K
58,Local-gov,74239,10th,10,Widowed,Tech-support,Not-in-family,Black,Female,10839,0,32,Germany, >50K
45,Private,93039,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,Black,Male,5055,0,55,Philippines, >50K
26,Private,115173,Masters,11,Separated,Tech-support,Unmarried,White,Female,2430,2,40,United-States, >50K
72,State-gov,71915,Bachelors,8,Divorced,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,36,Germany, >50K
54,State-gov,374072,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,92782,0,26,Germany, <=50K
20,State-gov,140380,Bachelors,12,Married-AF-spouse,Machine-op-inspct,Other-relative,White,Female,1328,0,31,United-States, >50K
33,Private,196414,Some-college,8,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,5151,42,38,Germany, >50K
33,State-gov,157531,10th,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,173,0,33,Mexico, >50K
37,Private,110271,Preschool,7,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,97629,0,48,United-States, >50K
28,Private,120152,11th,9,Divorced,Tech-support,Not-in-family,White,Female,59410,0,31,Nicaragua, >50K
57,Private,181235,Doctorate,10,Widowed,Machine-op-inspct,Husband,Black,Male,46496,0,49,Cuba, >50K
56,State-gov,59565,HS-grad,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,303,0,49,Poland, >50K
24,State-gov,203319,11th,9,Widowed,Prof-specialty,Wife,White,Male,19,0,22,United-States, >50K
36,Private,13769,Some-college,6,Married-civ-spouse,Machine-op-inspct,Wife,Black,Male,96448,1,40,Mexico, <=50K
31,Private,302396,Bachelors,7,Divorced,Handlers-cleaners,Unmarried,Black,Male,20219,0,20,Nicaragua, >50K
