age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,Private,208673,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,6,0,40,United-States,0
54,Private,165085,Assoc-acdm,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,10,United-States,0
53,Private,201985,12th,8,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,0
60,Private,232660,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,1
44,Self-emp-not-inc,207208,Prof-school,5,Widowed,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,17,Poland,0
56,Private,40453,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36,United-States,1
19,Private,173005,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
61,Private,212180,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,40,Poland,0
46,Private,150116,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,17,United-States,0
42,Private,187360,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Female,0,0,37,United-States,0
43,Self-emp-inc,196265,Masters,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
20,Private,54846,Some-college,7,Never-married,Craft-repair,Own-child,White,Male,14,0,19,United-States,0
44,Local-gov,382884,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,45,United-States,0
43,Private,166146,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
51,Self-emp-not-inc,148382,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States,0
46,State-gov,276706,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
38,Private,128642,Some-college,10,Married-AF-spouse,Sales,Wife,White,Female,0,0,50,United-States,1
38,Private,350421,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0
47,Private,130191,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,8,0,34,United-States,0
42,Private,83771,11th,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
46,Private,43741,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
27,Private,359191,9th,4,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,20,Canada,0
50,Local-gov,304184,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
50,Private,450573,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7234,0,40,United-States,1
46,Private,49889,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1
30,Federal-gov,122877,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Cuba,0
20,Private,351895,5th-6th,5,Never-married,Handlers-cleaners,Not-in-family,Other,Male,2,1,40,Mexico,0
42,Private,129362,Some-college,10,Never-married,Handlers-cleaners,Other-relative,Other,Male,0,1,40,United-States,0
23,Private,237458,7th-8th,4,Divorced,Farming-fishing,Not-in-family,Other,Female,1,0,40,Mexico,0
44,Private,170053,Some-college,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,36,United-States,0
46,Private,151547,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,0
23,Private,114254,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,0
38,Private,291379,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,0
21,Private,173219,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,5,0,45,Portugal,0
