age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,Federal-gov,201815,Some-college,10,Separated,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,0
45,Local-gov,173273,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
60,Private,168104,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
26,State-gov,381198,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,71,India,0
24,Private,157382,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,21,England,0
42,Private,73520,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,22,United-States,0
24,Private,281405,Assoc-acdm,13,Married-AF-spouse,Sales,Wife,White,Female,0,0,45,United-States,0
49,Private,283383,5th-6th,5,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,England,1
43,Private,158605,HS-grad,10,Married-AF-spouse,Adm-clerical,Wife,Black,Female,0,0,58,United-States,0
36,Private,209575,Assoc-voc,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,0
52,Local-gov,192648,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19,Private,310082,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
57,Local-gov,167639,Assoc-voc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
21,Federal-gov,173658,HS-grad,9,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,40,United-States,0
20,Without-pay,272936,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,44,United-States,0
27,State-gov,345347,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
38,Self-emp-inc,171520,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,56,United-States,0
32,Local-gov,207700,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0,0,36,United-States,0
27,Private,212657,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Male,6061,933,50,United-States,0
55,Private,385109,Some-college,10,Married-AF-spouse,Sales,Wife,White,Female,0,0,40,Nicaragua,1
36,Private,111000,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
26,Private,150656,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,30,Taiwan,0
62,Private,170789,Prof-school,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
51,Private,213441,Some-college,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
40,Self-emp-inc,158667,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
24,Private,35086,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,40,Germany,0
37,Private,270858,10th,6,Married-spouse-absent,Craft-repair,Wife,Other,Female,0,0,30,United-States,0
57,Private,309783,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,70,United-States,1
28,State-gov,327951,HS-grad,9,Never-married,Other-service,Other-relative,Other,Female,0,0,40,United-States,0
31,Private,225256,HS-grad,9,Divorced,Craft-repair,Own-child,White,Female,0,0,30,United-States,0
64,Local-gov,205558,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
59,Private,381981,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,30,United-States,0
31,Private,35216,HS-grad,9,Married-AF-spouse,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,0
50,Private,120642,HS-grad,9,Separated,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,0
28,Local-gov,42683,Some-college,15,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1
22,Private,212182,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
31,Private,497894,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,46,United-States,0
73,Private,199114,11th,7,Widowed,Farming-fishing,Unmarried,White,Female,0,0,10,United-States,0
26,Private,178485,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,United-States,0
32,Local-gov,107381,9th,4,Never-married,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,25,Iran,0
71,Private,234415,Assoc-voc,11,Widowed,Other-service,Unmarried,White,Female,0,0,12,United-States,0
24,Private,42858,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
27,Private,370170,1st-4th,7,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,50,Germany,0
63,Private,179081,10th,6,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,8,United-States,0
33,Private,46541,Assoc-acdm,13,Divorced,Adm-clerical,Unmarried,White,Female,6684,0,23,United-States,0
26,Private,411603,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,45,United-States,0
35,Federal-gov,177848,HS-grad,13,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
33,Self-emp-not-inc,219893,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,14,United-States,0
38,State-gov,149123,Bachelors,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
22,Private,258635,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Other,Male,0,0,40,Portugal,0
25,Federal-gov,335654,Masters,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,44,United-States,0
67,Private,129494,7th-8th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
35,Private,273454,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
60,Self-emp-not-inc,188299,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,0
32,Self-emp-not-inc,235536,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,23,Hong,0
26,Private,372951,Some-college,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,72,United-States,0
46,Private,30607,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
30,Self-emp-inc,376553,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,0
54,Private,219264,HS-grad,9,Divorced,Tech-support,Unmarried,Black,Male,0,0,40,El-Salvador,0
68,Self-emp-not-inc,431532,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,0,0,18,United-States,0
19,Private,405427,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,0
24,Private,542781,HS-grad,9,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Vietnam,0
50,State-gov,138656,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,36,Haiti,0
42,Local-gov,106804,Assoc-voc,11,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
28,Private,403395,9th,6,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,0
62,Private,899215,Masters,14,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
45,Private,83779,7th-8th,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,England,0
23,Private,203115,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,35,Germany,0
34,State-gov,246125,Masters,14,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,0
42,Private,378012,Assoc-voc,11,Separated,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Taiwan,0
