age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,Private,128310,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
32,Private,110306,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
48,Local-gov,163520,Masters,14,Divorced,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
52,Private,102845,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,1,40,United-States,0
21,Private,201969,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
32,Private,149912,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,1,40,United-States,0
53,Private,101534,9th,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
33,Self-emp-not-inc,148498,11th,7,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,0
54,Private,146084,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
18,Private,189803,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
25,Private,99755,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,2,0,21,United-States,0
50,Private,129311,Some-college,10,Divorced,Other-service,Unmarried,White,Female,3,0,40,United-States,0
26,Private,174646,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,1,40,United-States,0
48,Private,165383,7th-8th,4,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
18,Private,128096,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,0
43,Private,179239,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,1,40,United-States,0
18,Private,174360,7th-8th,4,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,0
42,Private,111126,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,58,United-States,0
53,Self-emp-not-inc,78840,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,1,58,United-States,1
29,Private,183329,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1,0,44,United-States,0
34,Private,177731,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,50,United-States,0
26,Private,109763,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,1,0,50,United-States,1
29,Private,203539,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
36,Private,197019,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,1
33,Private,197178,9th,5,Never-married,Machine-op-inspct,Unmarried,White,Male,0,1,40,United-States,0
21,Private,193697,Some-college,10,Never-married,Other-service,Own-child,White,Male,1,0,29,United-States,0
28,Private,199110,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,44,United-States,0
27,Private,114903,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1,40,United-States,0
35,Private,105973,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0
50,Private,86640,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,15182,0,40,United-States,1
44,Self-emp-not-inc,98288,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
