age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
62,Private,145903,10th,5,Married-civ-spouse,Other-service,Husband,White,Male,26286,0,32,Nicaragua, >50K
27,Local-gov,13769,Masters,11,Divorced,Sales,Not-in-family,Black,Male,69801,0,38,Nicaragua, >50K
26,Private,117703,Masters,5,Separated,Other-service,Other-relative,White,Female,422,0,25,Poland, >50K
26,Private,188383,7th-8th,3,Widowed,Adm-clerical,Not-in-family,White,Male,14,14,39,United-States, >50K
55,Private,65609,10th,7,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2386,0,30,Nicaragua, >50K
23,Self-emp-not-inc,230358,Masters,15,Divorced,Adm-clerical,Other-relative,White,Male,45723,0,39,Mexico, >50K
75,State-gov,85083,12th,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,76232,0,40,Mexico, >50K
44,Private,37724,HS-grad,13,Divorced,Machine-op-inspct,Not-in-family,White,Male,56073,8,48,United-States, >50K
30,Local-gov,199242,Bachelors,14,Widowed,Craft-repair,Husband,White,Female,80816,0,51,Mexico, <=50K
29,State-gov,141322,Bachelors,12,Married-civ-spouse,Tech-support,Not-in-family,White,Male,42559,0,29,Germany, >50K
37,Private,319010,Masters,13,Divorced,Exec-managerial,Husband,White,Female,19123,0,49,Mexico, <=50K
23,Private,169998,Bachelors,10,Married-spouse-absent,Tech-support,Unmarried,Black,Female,1,18,44,Nicaragua, >50K
42,Local-gov,158959,HS-grad,10,Separated,Farming-fishing,Own-child,White,Female,15937,0,37,Mexico, >50K
56,Private,289689,Bachelors,11,Divorced,Other-service,Unmarried,White,Male,86476,0,52,Philippines, <=50K
34,Local-gov,97840,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,0,1,40,United-States, >50K
43,Self-emp-inc,191568,Bachelors,10,Married-civ-spouse,Sales,Husband,White,Male,11,0,50,United-States, <=50K
21,Local-gov,28079,11th,10,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States, >50K
70,Self-emp-not-inc,225308,11th,7,Widowed,Other-service,Own-child,White,Female,0,1,40,United-States, >50K
27,Private,157659,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States, >50K
27,Local-gov,107100,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,23,0,40,United-States, >50K
19,Self-emp-not-inc,215138,12th,13,Divorced,Transport-moving,Unmarried,White,Female,0,0,40,United-States, >50K
43,Private,224569,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3254,1,60,United-States, <=50K
41,Private,222847,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States, >50K
32,Federal-gov,117555,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,1,31,United-States, >50K
20,Local-gov,220473,11th,7,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,13,United-States, >50K
43,Private,62988,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,1892,50,United-States, <=50K
19,Private,315392,Some-college,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,1,40,Cuba, >50K
21,Self-emp-not-inc,224083,Some-college,10,Never-married,Other-service,Own-child,White,Female,2,1,36,United-States, >50K
43,Self-emp-not-inc,190336,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,16,United-States, >50K
35,Private,211696,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2773,0,40,United-States, >50K
48,Private,135141,Assoc-voc,4,Divorced,Exec-managerial,Not-in-family,White,Female,1,0,40,United-States, >50K
30,Private,173272,9th,7,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States, >50K
41,Private,235444,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,3092,1,40,United-States, >50K
