age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,Self-emp-not-inc,213961,Prof-school,16,Married-civ-spouse,Exec-managerial,Husband,Black,Male,21,1,54,United-States,1
34,Self-emp-not-inc,120226,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,11,United-States,0
30,Self-emp-inc,69889,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,54,United-States,1
52,Private,119526,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,1,0,40,United-States,0
35,Private,92490,5th-6th,13,Never-married,Adm-clerical,Own-child,Black,Male,3,0,35,United-States,0
26,Private,172040,HS-grad,9,Never-married,Sales,Own-child,White,Male,3,1821,45,United-States,0
37,Private,326551,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,2,0,40,United-States,0
49,Self-emp-not-inc,189273,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,79,United-States,1
33,Private,169691,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,8,1897,13,United-States,0
30,Local-gov,191888,Assoc-voc,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,2023,56,United-States,0
24,Private,770386,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,7,0,40,United-States,0
47,Private,207558,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,1,17,Mexico,0
23,Private,247543,HS-grad,9,Divorced,Sales,Not-in-family,Black,Male,0,0,16,United-States,0
35,Private,177331,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,55,United-States,1
55,Private,410360,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,2010,35,United-States,0
50,Private,47732,Prof-school,16,Married-civ-spouse,Protective-serv,Husband,White,Male,14652,1875,56,United-States,1
45,Federal-gov,164290,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
46,State-gov,183814,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,8,1,40,United-States,0
55,State-gov,93356,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,35,United-States,0
28,Private,144064,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,1816,40,United-States,0
33,Private,50677,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1,50,United-States,0
64,Self-emp-not-inc,162863,10th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
