age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,Private,226932,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
36,Private,39901,Assoc-acdm,11,Never-married,Tech-support,Not-in-family,White,Male,0,0,22,United-States,0
55,Private,195923,HS-grad,9,Never-married,Adm-clerical,Unmarried,Other,Male,0,0,40,United-States,0
53,State-gov,339418,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,1
61,Private,123626,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,889,50,United-States,1
40,Private,85269,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0
27,Self-emp-not-inc,155097,10th,7,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,0
23,Private,250039,Assoc-acdm,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,22,United-States,0
33,Private,205468,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,377114,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,Trinadad&Tobago,0
64,State-gov,541639,Assoc-voc,13,Never-married,Tech-support,Unmarried,White,Male,0,0,40,United-States,0
34,Self-emp-not-inc,240698,7th-8th,6,Divorced,Other-service,Unmarried,White,Male,0,0,22,United-States,0
20,Private,31195,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0
32,Private,115687,Assoc-voc,13,Never-married,Other-service,Other-relative,White,Male,0,0,40,United-States,0
50,Private,44770,Doctorate,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,902,50,United-States,1
23,Private,189468,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
64,Private,200774,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
63,Private,28076,9th,6,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
45,Private,178159,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
53,Private,356114,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1
23,Private,365281,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,24,United-States,0
38,Private,136952,Prof-school,14,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States,1
50,Private,130742,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
18,Private,141947,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,0
25,Private,36124,10th,4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
41,Private,237940,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
34,Private,171843,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
25,Private,215325,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,49,United-States,0
24,Private,152039,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,0
49,Private,85206,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,7956,0,45,United-States,1
28,Private,68570,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
51,Private,130763,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
21,Private,181515,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,11,United-States,0
45,Private,190253,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,59,United-States,0
46,Private,212909,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
24,Private,321866,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,Black,Male,0,0,40,United-States,0
38,Private,184782,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37,United-States,1
51,Private,203701,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
28,Local-gov,206472,HS-grad,9,Separated,Prof-specialty,Own-child,White,Female,0,0,45,United-States,0
39,Federal-gov,36561,11th,10,Never-married,Other-service,Own-child,White,Male,0,908,21,United-States,0
20,Private,139035,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,0
20,Private,154808,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,30,United-States,0
44,Private,178976,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,1
35,Private,193818,5th-6th,3,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
54,Federal-gov,99140,Assoc-voc,9,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,0,40,Peru,0
33,Private,264184,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,23,United-States,0
21,Private,123960,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,23,United-States,0
51,Private,111584,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
38,Private,222475,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,0
20,Private,214529,Bachelors,13,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,21,United-States,0
38,Private,275201,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,57,United-States,0
57,Self-emp-inc,108004,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
58,Private,207214,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,0
52,Private,122892,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
60,Private,27597,Assoc-voc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,56,Canada,0
40,State-gov,346767,10th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,62,United-States,0
36,Private,79440,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,0
54,Self-emp-inc,179414,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
52,Local-gov,176066,Assoc-voc,11,Divorced,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,0
44,Private,164417,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,54,United-States,0
32,Self-emp-inc,235187,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,45,United-States,0
45,Private,109040,Doctorate,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,1
31,Private,216925,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,43,United-States,0
22,Private,280855,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,Peru,0
28,Private,204528,9th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,18,United-States,0
46,Federal-gov,235648,Assoc-voc,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,0
48,Private,115620,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,0
22,Private,205041,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,58,United-States,0
21,Private,39307,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,66,United-States,0
21,Private,187312,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
34,Private,109819,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
67,Private,43650,Doctorate,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,913,40,Yugoslavia,0
37,Private,114062,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,6870,0,36,United-States,1
49,Private,219255,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
36,Local-gov,97329,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,36,United-States,0
18,Private,145146,10th,5,Never-married,Other-service,Not-in-family,White,Male,0,0,23,United-States,0
46,Private,419054,Assoc-voc,13,Married-civ-spouse,Tech-support,Husband,White,Male,4983,0,50,United-States,1
63,Private,123398,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
30,Private,208488,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,18,United-States,0
58,Private,154324,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0
83,Private,103054,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,25,United-States,1
63,State-gov,168935,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
36,Self-emp-not-inc,125933,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
46,Private,173952,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0
63,Private,31094,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,China,0
29,Private,105945,Assoc-voc,4,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0
46,Private,131306,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,9823,0,45,United-States,1
31,Private,34586,HS-grad,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,0
47,Private,217338,Assoc-voc,13,Never-married,Tech-support,Unmarried,White,Male,0,0,36,United-States,0
29,Private,149669,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
45,Self-emp-inc,154069,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,53,United-States,0
40,Federal-gov,392664,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,7475,0,40,United-States,1
30,Private,405108,HS-grad,6,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,37,Trinadad&Tobago,0
58,Private,116272,Bachelors,13,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
31,Private,294010,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,906,36,Peru,0
42,Private,204585,Assoc-acdm,10,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United-States,0
26,Local-gov,205472,HS-grad,7,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,0
18,Private,122336,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,30,Puerto-Rico,0
37,Private,65246,HS-grad,9,Never-married,Farming-fishing,Husband,White,Male,0,0,52,United-States,0
54,Private,143764,9th,11,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,United-States,0
49,Local-gov,102128,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,36,United-States,1
19,Private,112574,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
49,Private,183713,Bachelors,13,Married-spouse-absent,Protective-serv,Unmarried,White,Male,0,0,40,United-States,0
34,Private,263210,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Female,6828,0,40,United-States,1
52,Private,104171,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,888,45,United-States,1
68,Private,265901,10th,4,Divorced,Sales,Husband,White,Female,0,0,40,United-States,0
22,Private,241798,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,17,United-States,0
44,Self-emp-inc,325907,Doctorate,11,Married-civ-spouse,Sales,Husband,White,Female,0,0,59,United-States,0
24,Self-emp-not-inc,194861,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
24,Private,201778,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,0
54,Private,120362,Some-college,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
31,Private,185892,HS-grad,9,Divorced,Exec-managerial,Other-relative,White,Female,0,899,40,United-States,0
45,Private,169470,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,48,United-States,0
36,Private,200732,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,45,United-States,1
53,Private,211343,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,1
52,Private,75420,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
55,Private,175771,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,0
55,Private,107422,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
43,Private,204170,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
26,Private,159647,7th-8th,7,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,0
53,Self-emp-not-inc,344497,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
44,Private,307669,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,0
60,Private,324461,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
20,Private,146160,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
50,Self-emp-inc,169366,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,60,United-States,1
51,Private,187902,9th,6,Never-married,Adm-clerical,Own-child,White,Male,0,0,12,Trinadad&Tobago,0
46,Private,27237,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,50,United-States,1
28,Private,193972,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,36,United-States,0
20,Private,231667,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,Trinadad&Tobago,0
19,Private,30455,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,20,United-States,0
54,Private,183909,Assoc-voc,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,China,0
42,Private,363430,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,4865,0,36,United-States,1
39,Private,45760,Bachelors,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Canada,1
57,Self-emp-not-inc,109741,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
45,Private,168471,11th,6,Divorced,Tech-support,Own-child,White,Female,0,0,45,United-States,0
68,Private,276299,Assoc-voc,13,Married-spouse-absent,Sales,Unmarried,White,Male,0,0,18,United-States,0
39,Private,167806,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,58,United-States,0
29,Private,318954,5th-6th,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,Other,Male,0,0,23,Cuba,0
19,Private,361677,7th-8th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,21,Trinadad&Tobago,0
50,Self-emp-not-inc,191702,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,51,China,0
27,Private,219088,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
49,Federal-gov,208122,Bachelors,13,Divorced,Tech-support,Own-child,White,Male,0,0,43,United-States,0
43,State-gov,97234,7th-8th,10,Never-married,Craft-repair,Unmarried,Black,Female,0,0,23,United-States,0
24,Private,132190,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,52,United-States,0
48,Private,260870,Assoc-voc,13,Never-married,Sales,Not-in-family,White,Male,0,0,67,United-States,0
47,Local-gov,210283,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
31,Local-gov,105744,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,45,United-States,0
50,Private,241063,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
22,Private,208825,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
47,State-gov,208131,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Cuba,0
