age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
45,Private,182261,Bachelors,14,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,20542,15,39,Yugoslavia,0
51,Private,233920,12th,7,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,3817,1,42,Hungary,0
25,Private,89937,HS-grad,9,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Female,3,1,43,Cuba,0
39,State-gov,135221,HS-grad,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,45677,1,41,South,0
38,State-gov,124424,Bachelors,14,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,16478,0,24,United-States,0
58,Federal-gov,39799,Some-college,9,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,59506,0,53,Poland,0
55,Without-pay,236524,Bachelors,12,Separated,Prof-specialty,Own-child,Asian-Pac-Islander,Male,185,1,22,Cuba,0
45,Without-pay,188018,HS-grad,8,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Female,23541,0,29,Poland,0
54,Without-pay,211924,Assoc-acdm,12,Married-civ-spouse,Priv-house-serv,Wife,Asian-Pac-Islander,Male,92997,0,47,Ecuador,1
25,State-gov,145858,HS-grad,8,Never-married,Transport-moving,Own-child,Black,Female,27688,0,29,Portugal,1
45,State-gov,263901,Assoc-acdm,11,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,24434,0,46,United-States,1
32,State-gov,277217,12th,7,Married-spouse-absent,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,89116,1,26,South,0
62,Local-gov,55164,Masters,14,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,70993,0,67,Ireland,1
20,Federal-gov,63419,Some-college,10,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,8909,3,63,Philippines,0
20,Without-pay,420116,12th,8,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Female,6021,0,18,Portugal,0
23,Federal-gov,221102,Bachelors,13,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,26097,2,41,Philippines,0
30,Private,240313,Bachelors,13,Separated,Adm-clerical,Wife,Asian-Pac-Islander,Female,9584,8,29,Ecuador,0
34,Private,204170,12th,7,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,58337,0,21,Greece,0
32,Private,138866,10th,6,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,3,7,29,Cuba,0
37,Local-gov,33297,Bachelors,12,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,34105,0,48,Philippines,0
50,Private,312821,Assoc-acdm,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,20609,1,45,Cuba,1
23,Private,63131,Bachelors,13,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,32012,0,60,Cuba,1
