age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
22,Private,203045,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
51,Private,104079,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
42,Private,66986,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1,40,United-States,0
41,Private,148444,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3701,1,40,United-States,0
53,Self-emp-not-inc,69810,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,1
46,Private,83892,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,1,40,United-States,1
26,Private,82697,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
38,Private,147527,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,40,United-States,1
38,Private,173358,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2,0,40,United-States,0
48,Self-emp-not-inc,93428,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Male,99395,0,61,United-States,0
48,Private,95543,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,3,0,40,United-States,0
39,Private,108402,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,0
24,Private,186976,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,1,40,United-States,0
22,Private,117572,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,17,United-States,0
27,Private,136417,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
29,Private,111730,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
50,Private,116412,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
52,Private,84276,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,3716,0,40,United-States,0
34,Private,83237,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,1,40,United-States,0
45,Local-gov,72091,Bachelors,13,Divorced,Adm-clerical,Wife,White,Female,1,0,40,United-States,0
31,Private,197099,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2912,0,40,United-States,0
19,Private,84062,5th-6th,3,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
41,Private,134858,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
25,Private,109498,5th-6th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
24,Private,164149,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,24,United-States,0
20,Private,110280,10th,7,Never-married,Craft-repair,Own-child,White,Male,1,1,40,United-States,0
28,Private,194246,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
54,Private,52771,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,1
52,Private,103549,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,14913,0,40,United-States,1
42,Private,138092,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
48,Private,111723,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
35,Private,75007,Masters,13,Never-married,Prof-specialty,Own-child,White,Male,2,0,40,United-States,0
19,Private,102616,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,0
44,Private,127577,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,40,United-States,1
46,Private,106238,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,86252,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,0
20,Private,130205,5th-6th,7,Never-married,Adm-clerical,Own-child,White,Female,1,0,40,United-States,0
26,Private,150791,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,2825,1,40,United-States,0
22,Private,104152,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,40,United-States,0
22,Private,140491,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
24,Private,96884,Assoc-voc,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,125446,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,1
48,Private,91500,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,1,40,United-States,0
20,Private,146610,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,19,United-States,0
42,Private,222027,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,4403,1,40,United-States,1
20,Private,73103,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,17,United-States,0
24,Private,118484,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,1,1,40,United-States,0
35,Private,116526,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0
47,Private,88649,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,1
27,Private,128810,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
46,Private,144014,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
36,Private,134534,Assoc-acdm,12,Married-civ-spouse,Other-service,Unmarried,White,Female,0,0,40,United-States,0
29,Private,180293,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,3,0,40,United-States,0
44,Private,58969,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,1
31,Private,76891,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,1,0,40,United-States,0
24,Private,215788,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,4,0,40,United-States,0
36,Private,79561,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,0
42,Private,184308,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,16,0,40,United-States,0
54,Private,140301,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
20,Private,101104,5th-6th,7,Never-married,Other-service,Not-in-family,White,Female,1,0,26,United-States,0
18,Private,197843,5th-6th,4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
17,Private,145625,HS-grad,9,Never-married,Other-service,Own-child,White,Male,1,0,10,United-States,0
18,Private,216733,Bachelors,13,Never-married,Sales,Own-child,White,Male,2,0,40,United-States,0
47,Local-gov,93777,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,40,United-States,1
52,Private,78106,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
28,Private,135868,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Male,2,1,50,United-States,0
25,Private,92970,Assoc-acdm,13,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
31,Private,209178,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,136802,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
50,Private,65252,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
48,Local-gov,115505,Masters,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,0,40,United-States,1
18,Private,201275,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,2,1,25,United-States,0
53,Private,95918,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
45,Private,125746,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
47,Private,61399,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,0
23,Private,174454,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
28,Private,156929,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,0
21,Private,102905,Some-college,10,Never-married,Other-service,Own-child,White,Male,1,0,20,United-States,0
41,Private,105388,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
42,Private,129556,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,0
48,Private,108047,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
55,Private,114268,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3328,0,40,United-States,0
37,Private,123790,5th-6th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,1
18,Private,83474,HS-grad,9,Never-married,Other-service,Own-child,White,Female,3,0,20,United-States,0
43,Private,93147,Masters,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
