age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,State-gov,425558,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,41745,13,30,Hungary, <=50K
40,Self-emp-not-inc,90770,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,14461,13,35,Cuba, >50K
26,Local-gov,439817,Some-college,9,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,33150,0,45,Jamaica, >50K
63,State-gov,122356,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,87373,1,35,Greece, >50K
55,Without-pay,180169,Some-college,10,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,2216,0,36,Poland, >50K
74,Private,59159,Some-college,10,Never-married,Tech-support,Wife,Black,Male,2,4,42,South, >50K
34,State-gov,75682,Assoc-voc,9,Married-civ-spouse,Tech-support,Other-relative,Asian-Pac-Islander,Male,62164,30,39,Germany, <=50K
30,State-gov,196175,12th,7,Divorced,Transport-moving,Husband,Asian-Pac-Islander,Female,2105,8,36,United-States, >50K
71,Self-emp-not-inc,274877,12th,7,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,45485,0,37,China, >50K
40,Private,172758,1st-4th,3,Widowed,Sales,Own-child,Asian-Pac-Islander,Male,1710,2,28,Poland, >50K
44,Private,267566,HS-grad,9,Separated,Armed-Forces,Husband,Asian-Pac-Islander,Male,30258,0,48,Germany, >50K
47,Federal-gov,236980,Doctorate,15,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,45525,4,56,Portugal, >50K
21,Private,168590,1st-4th,4,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,2,24,37,South, >50K
42,Private,240063,12th,9,Divorced,Adm-clerical,Wife,Asian-Pac-Islander,Male,12183,20,57,Greece, >50K
32,Self-emp-not-inc,56921,12th,7,Married-civ-spouse,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,46009,0,45,Poland, <=50K
20,Private,176187,HS-grad,10,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,1565,1,39,Yugoslavia, >50K
18,Private,120042,Bachelors,12,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,2918,0,20,South, >50K
77,Without-pay,138799,Doctorate,15,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Male,51335,0,52,Italy, <=50K
40,Private,386639,12th,7,Never-married,Protective-serv,Wife,Black,Male,12687,39,24,South, >50K
40,Federal-gov,157310,Assoc-acdm,12,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Male,98573,72,27,England, >50K
24,State-gov,330208,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,37688,0,50,Hungary, >50K
54,Private,288698,Assoc-voc,10,Divorced,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,60743,0,23,Portugal, <=50K
52,Local-gov,129504,12th,8,Divorced,Armed-Forces,Wife,Asian-Pac-Islander,Female,75636,0,27,Cuba, >50K
54,State-gov,307572,Some-college,11,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,694,0,55,Portugal, >50K
25,Local-gov,126809,Assoc-acdm,11,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,85040,0,48,Portugal, >50K
77,Federal-gov,181168,Assoc-acdm,11,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,262,21,48,Portugal, <=50K
37,Without-pay,89832,12th,8,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,68,0,21,Philippines, >50K
22,State-gov,119924,Assoc-acdm,11,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,58803,0,28,Poland, >50K
24,Private,144016,Masters,15,Separated,Tech-support,Not-in-family,Asian-Pac-Islander,Female,65772,86,52,Yugoslavia, >50K
31,Private,244268,12th,7,Separated,Craft-repair,Not-in-family,Black,Female,18582,2,33,Cuba, >50K
17,State-gov,124174,HS-grad,9,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,1204,12,38,Philippines, >50K
27,Private,233893,9th,5,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,1180,0,48,Greece, >50K
51,Private,165574,Some-college,11,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,6394,0,37,Cuba, >50K
35,Without-pay,87480,HS-grad,8,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Male,40639,0,42,Portugal, >50K
26,Federal-gov,363494,Assoc-acdm,11,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,27256,0,42,Greece, >50K
58,Local-gov,36789,Some-college,9,Married-civ-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Male,12151,23,46,South, >50K
33,Self-emp-not-inc,482575,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,12165,2,57,Hungary, <=50K
29,Without-pay,187770,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,239,0,18,Poland, >50K
34,Private,161945,Prof-school,16,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,98176,0,44,United-States, <=50K
40,Local-gov,256254,Assoc-voc,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,4228,1,49,South, >50K
34,Local-gov,122493,HS-grad,9,Divorced,Sales,Not-in-family,Black,Female,37,4,40,Cuba, >50K
30,Private,294794,12th,7,Married-civ-spouse,Adm-clerical,Husband,Black,Male,80144,0,35,Cuba, >50K
64,Local-gov,300194,Assoc-voc,11,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,29626,0,50,Hungary, <=50K
33,Self-emp-not-inc,254806,Assoc-voc,11,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,166,368,23,Portugal, >50K
63,Local-gov,91691,Masters,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,332,10,26,United-States, >50K
53,Private,169836,Assoc-acdm,12,Separated,Exec-managerial,Wife,Asian-Pac-Islander,Male,8697,0,55,Poland, <=50K
39,State-gov,316083,9th,5,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,17,0,31,Philippines, >50K
69,Self-emp-not-inc,160005,Assoc-voc,8,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Male,8070,234,45,South, <=50K
22,Private,587399,Some-college,10,Separated,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,91286,6,53,Cuba, >50K
23,Private,154783,HS-grad,10,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Male,466,4,49,Cuba, >50K
27,Private,183468,Assoc-acdm,12,Divorced,Farming-fishing,Wife,Asian-Pac-Islander,Male,1859,0,53,South, >50K
23,Local-gov,50459,HS-grad,9,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,12775,0,36,Philippines, >50K
29,Without-pay,298679,Masters,15,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,7548,1,68,Philippines, >50K
28,State-gov,105726,Some-college,10,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,40227,0,32,Ecuador, >50K
37,Self-emp-not-inc,143032,Assoc-acdm,12,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,50108,15,63,Poland, >50K
48,State-gov,28806,Assoc-voc,10,Married-spouse-absent,Protective-serv,Wife,Asian-Pac-Islander,Female,4692,1,49,Portugal, >50K
25,State-gov,253824,HS-grad,8,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,3020,0,35,Cuba, >50K
36,Self-emp-not-inc,347206,Assoc-acdm,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,76,0,32,Portugal, >50K
18,Private,480497,5th-6th,5,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,5537,0,35,Jamaica, >50K
38,Private,394478,9th,5,Never-married,Other-service,Husband,Asian-Pac-Islander,Male,4530,41,18,Cuba, >50K
46,Self-emp-not-inc,126106,Some-college,10,Married-civ-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Male,81370,0,62,Cuba, <=50K
24,Private,366503,Masters,15,Never-married,Exec-managerial,Own-child,White,Female,27772,39,34,United-States, <=50K
23,State-gov,188900,HS-grad,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,15347,22,33,Cuba, >50K
61,Without-pay,44348,HS-grad,9,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,27553,0,40,Portugal, >50K
32,Local-gov,125876,HS-grad,8,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,305,0,35,Cuba, >50K
23,State-gov,182357,Masters,13,Divorced,Exec-managerial,Husband,Black,Male,1347,0,48,Ireland, <=50K
40,Federal-gov,120921,Bachelors,13,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,5315,0,36,Portugal, >50K
40,Private,102585,Some-college,9,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,209,27,37,Cuba, <=50K
17,Without-pay,238994,12th,8,Never-married,Exec-managerial,Own-child,Black,Female,62332,31,24,Cambodia, >50K
30,Private,55514,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,41013,0,38,Yugoslavia, >50K
25,State-gov,308571,HS-grad,8,Separated,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,32269,0,33,Cuba, >50K
29,State-gov,72733,Assoc-acdm,12,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,751,0,55,Germany, >50K
