age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
67,Private,42404,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,59,United-States,0
26,Private,181206,Assoc-voc,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,0
21,Private,106821,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,31,United-States,0
44,Private,274236,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Male,5,0,69,United-States,0
36,Private,138301,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,0
33,Private,231504,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,364754,5th-6th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,1,40,United-States,1
48,Federal-gov,158877,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,14516,0,59,United-States,1
23,Private,166553,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Female,0,0,22,Vietnam,0
31,Private,36908,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,18,1,50,United-States,1
26,Self-emp-not-inc,376994,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Male,3,0,40,United-States,0
38,Self-emp-not-inc,228001,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,58,United-States,1
27,Private,462542,Prof-school,13,Never-married,Prof-specialty,Not-in-family,White,Female,3141,0,40,United-States,0
29,Private,100999,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,0
68,Private,231922,Some-college,10,Divorced,Transport-moving,Not-in-family,Black,Female,0,0,50,United-States,0
26,Local-gov,298505,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
45,Local-gov,204469,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,7698,0,40,United-States,1
55,Private,244000,5th-6th,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
38,Private,233326,Some-college,10,Never-married,Other-service,Own-child,Black,Female,6,0,40,United-States,0
37,Local-gov,130088,5th-6th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,67,United-States,1
25,Private,164173,Some-college,10,Never-married,Craft-repair,Own-child,Black,Female,0,1,40,Nicaragua,0
