age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,194354,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,6463,0,40,United-States,0
46,State-gov,102479,10th,5,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
65,Private,146828,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7292,0,58,United-States,0
21,Private,101831,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
18,Private,164716,11th,6,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,0
42,Private,37068,Assoc-voc,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,54,United-States,1
32,Private,171500,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,1
29,Private,259377,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,0
44,Private,147606,HS-grad,9,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0
45,Private,78354,HS-grad,9,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
63,Private,36913,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,10899,0,50,United-States,1
43,Private,237874,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
55,Private,222861,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,7129,0,40,United-States,0
42,Private,23886,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0
25,Local-gov,148762,7th-8th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,9,United-States,0
54,Private,285514,Assoc-acdm,13,Married-civ-spouse,Tech-support,Husband,White,Female,9941,0,45,United-States,0
29,Self-emp-not-inc,175634,HS-grad,9,Divorced,Exec-managerial,Husband,White,Male,12917,0,35,United-States,0
33,Private,139731,Doctorate,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,45,Mexico,0
