age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
26,Private,89036,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,81038,Masters,14,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
38,Private,104289,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
55,Private,128047,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,1,40,United-States,0
35,Private,116023,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,0
43,Private,86220,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,1,40,United-States,0
21,Private,170974,Bachelors,13,Never-married,Tech-support,Own-child,Black,Female,0,0,23,United-States,0
37,Private,180813,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
50,Private,184950,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,2977,0,40,United-States,1
30,Private,195856,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,124042,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,1
67,Private,132233,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,2,0,40,United-States,0
21,Private,187762,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,1,17,United-States,0
26,Private,137714,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
51,Private,126149,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,12,0,40,United-States,0
38,Private,99984,HS-grad,9,Separated,Other-service,Not-in-family,Black,Female,0,1,40,United-States,0
20,Private,266736,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,0
46,Private,77940,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,6,0,40,United-States,0
59,Private,77507,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,1,1,40,United-States,0
35,Private,114026,Some-college,10,Divorced,Sales,Not-in-family,White,Female,1,0,40,United-States,0
30,Private,122284,HS-grad,9,Never-married,Other-service,Own-child,White,Male,2,0,40,United-States,0
60,Self-emp-not-inc,127806,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
32,Private,126213,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,19,United-States,0
30,State-gov,87766,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,1,0,21,United-States,0
20,Private,97491,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
24,Private,104268,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,1,0,40,United-States,0
36,Private,214499,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,0
24,Private,171267,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,0
37,Self-emp-not-inc,108044,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,0
44,Private,156793,Some-college,10,Divorced,Craft-repair,Not-in-family,Black,Male,4003,0,40,United-States,0
31,Local-gov,106622,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,40,United-States,0
42,Private,87846,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,40,United-States,0
56,Private,91537,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,27,United-States,0
34,Private,116803,Some-college,10,Divorced,Sales,Unmarried,White,Female,1,0,40,United-States,0
33,Private,95578,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
29,Private,133359,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,26,United-States,0
42,Private,174487,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,0
26,Private,127243,HS-grad,9,Never-married,Sales,Own-child,White,Female,1,1,40,United-States,0
49,Self-emp-not-inc,104713,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,0
23,Private,233734,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
53,Private,87635,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
41,Private,101215,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,Black,Male,2,0,40,United-States,0
25,Private,91542,Some-college,10,Never-married,Sales,Not-in-family,White,Female,2,1,40,United-States,0
47,Private,159724,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1
38,Private,104705,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2897,1,40,United-States,1
55,Private,56628,HS-grad,9,Widowed,Sales,Unmarried,Other,Male,4381,0,40,United-States,0
51,Private,123336,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,0
19,Private,104961,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,12,United-States,0
30,Private,97434,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,1,0,17,United-States,0
37,Private,112638,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,0
54,Self-emp-not-inc,63005,10th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
55,Private,160988,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,40,United-States,0
26,Private,59439,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,3,0,40,United-States,0
59,Private,160445,5th-6th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,1,0,40,United-States,0
62,Private,105811,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,0
33,Private,190607,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,3,1894,40,United-States,1
25,Private,123993,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,19,United-States,0
35,Private,160066,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
63,Private,68059,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
41,Private,128093,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
19,Private,179571,11th,4,Never-married,Other-service,Own-child,White,Male,0,0,23,United-States,0
42,Private,148749,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,1
50,Private,94356,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,1,0,40,United-States,1
32,Private,183400,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2,0,45,United-States,1
41,Private,138143,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
23,Private,196009,Some-college,10,Never-married,Craft-repair,Husband,White,Male,2,1,40,United-States,0
25,Private,111906,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
40,Self-emp-not-inc,100578,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,23,United-States,0
24,Private,198932,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
56,Self-emp-not-inc,55565,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
39,Private,176393,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
23,Private,195411,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,0
62,Private,81878,10th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1,40,United-States,0
41,Private,114811,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,0
21,Private,83099,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,1,20,United-States,0
33,Private,176820,5th-6th,10,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,0
46,Private,134268,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,1,0,40,United-States,1
36,Private,108287,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,2,0,40,United-States,0
52,Private,107763,Assoc-voc,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
68,Private,126987,10th,4,Widowed,Craft-repair,Not-in-family,White,Male,3,0,40,United-States,0
22,Private,183585,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,0
50,Private,71748,Some-college,10,Divorced,Other-service,Unmarried,White,Female,2,0,40,United-States,0
46,Private,199224,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4,1837,40,United-States,1
43,Self-emp-not-inc,82443,5th-6th,7,Separated,Farming-fishing,Not-in-family,White,Male,3,0,40,United-States,0
33,Private,82023,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
