age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
33,Private,87363,HS-grad,10,Divorced,Machine-op-inspct,Own-child,Black,Male,64720,0,40,Portugal, >50K
30,Private,167910,Bachelors,12,Separated,Transport-moving,Own-child,Asian-Pac-Islander,Male,20817,0,49,South, >50K
33,State-gov,146462,12th,9,Separated,Protective-serv,Own-child,Asian-Pac-Islander,Female,3284,0,20,Philippines, >50K
53,Federal-gov,194261,Assoc-acdm,11,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,23439,0,31,Portugal, <=50K
34,Self-emp-not-inc,296333,Assoc-acdm,11,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,36292,95,52,South, <=50K
47,Private,220073,12th,8,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,21676,0,60,United-States, >50K
19,Without-pay,239011,Assoc-voc,11,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,62430,2,42,Portugal, >50K
19,Private,152820,7th-8th,6,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,1741,5,31,Cuba, >50K
33,Without-pay,244569,12th,7,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,21172,0,31,Cuba, >50K
54,Private,86673,12th,7,Never-married,Transport-moving,Wife,Asian-Pac-Islander,Female,14929,0,34,Greece, >50K
43,Without-pay,195259,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,3131,0,60,Ecuador, <=50K
30,Self-emp-not-inc,339921,Masters,15,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,10492,0,40,South, >50K
53,Private,250047,Assoc-voc,11,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,472,0,52,Philippines, >50K
24,State-gov,190677,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,66,0,47,South, >50K
31,Private,133956,12th,7,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Male,3044,0,52,Cuba, >50K
28,Without-pay,323111,12th,6,Widowed,Prof-specialty,Own-child,Asian-Pac-Islander,Male,54270,25,39,Cuba, >50K
31,State-gov,83636,Some-college,11,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,82547,0,36,Cuba, >50K
45,Self-emp-not-inc,229338,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,29033,0,40,Hungary, >50K
44,State-gov,100345,12th,6,Widowed,Other-service,Husband,Asian-Pac-Islander,Female,14199,0,41,Portugal, >50K
25,Private,197299,HS-grad,9,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,92906,0,28,Cuba, >50K
25,Private,187511,Assoc-acdm,10,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,8809,0,38,United-States, <=50K
25,Private,107545,Assoc-voc,11,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,0,133,30,United-States, >50K
60,Self-emp-not-inc,131756,Masters,14,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Female,83511,31,44,Portugal, >50K
21,State-gov,164415,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Male,15406,0,48,Cuba, >50K
54,Private,75164,HS-grad,10,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,13295,0,42,Hungary, <=50K
23,Private,235571,Bachelors,14,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,8123,0,28,Yugoslavia, >50K
41,State-gov,181862,Some-college,11,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,69831,0,42,United-States, >50K
26,Private,278513,HS-grad,7,Married-spouse-absent,Craft-repair,Wife,Asian-Pac-Islander,Male,11711,2,43,Poland, >50K
43,Private,118837,HS-grad,8,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,30941,0,33,Philippines, >50K
