age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,Self-emp-not-inc,82161,10th,6,Widowed,Transport-moving,Unmarried,White,Male,0,0,35,United-States,<=50K
40,Private,283724,9th,5,Never-married,Craft-repair,Other-relative,Black,Male,0,0,49,United-States,<=50K
26,Private,464552,9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,45,Mexico,<=50K
44,Self-emp-inc,60087,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
44,Local-gov,171589,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
26,Private,159732,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
62,Private,197918,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,216921,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,70,United-States,<=50K
44,State-gov,55076,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<=50K
60,?,88675,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,58683,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,>50K
36,Private,111387,10th,6,Divorced,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
18,Self-emp-inc,174202,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,60,United-States,<=50K
52,Private,191968,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Private,201865,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
29,Private,197932,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,Mexico,>50K
35,Private,230279,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
22,Private,390817,5th-6th,3,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,Mexico,<=50K
50,Private,175804,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
39,Without-pay,334291,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,172498,Some-college,10,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
46,Private,187510,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
27,Self-emp-not-inc,120126,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,196943,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
53,Private,58985,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,24,United-States,<=50K
27,?,61387,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,15,United-States,<=50K
37,Self-emp-not-inc,114719,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,>50K
34,Private,100145,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,<=50K
64,Private,66634,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,27828,0,50,United-States,>50K
47,State-gov,29023,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
78,?,363134,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,1,United-States,<=50K
51,State-gov,193720,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,>50K
30,Private,302473,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
39,Self-emp-not-inc,29874,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,54,United-States,<=50K
49,Federal-gov,157569,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,46,United-States,<=50K
43,Self-emp-inc,104892,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
58,Private,197114,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
55,Private,106740,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
34,State-gov,180871,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,<=50K
37,Private,234807,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,7430,0,45,United-States,>50K
33,Private,389932,HS-grad,9,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,55,United-States,<=50K
46,Private,178829,Masters,14,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,>50K
24,Private,103277,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,<=50K
36,Self-emp-not-inc,179896,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,3137,0,40,United-States,<=50K
37,Private,638116,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,32,United-States,<=50K
24,Private,199005,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,<=50K
39,Private,279490,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Mexico,<=50K
41,Private,230931,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,Puerto-Rico,<=50K
37,Self-emp-not-inc,255503,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
20,Private,170091,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K
56,Self-emp-inc,187355,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,60,Canada,>50K
53,Local-gov,82783,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,213225,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7298,0,45,England,>50K
51,Private,53833,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,>50K
21,Private,263641,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
22,Private,50610,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,150958,5th-6th,3,Never-married,Farming-fishing,Unmarried,White,Male,0,0,48,Guatemala,<=50K
51,Private,123053,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,5013,0,40,India,<=50K
41,Local-gov,249039,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
53,Private,287317,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
32,State-gov,253354,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
23,Private,41763,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
39,Private,85566,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
59,Self-emp-not-inc,128105,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United-States,<=50K
22,Private,119742,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,181659,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Federal-gov,428271,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
28,Private,314649,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,<=50K
27,Private,159623,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,231912,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,<=50K
58,Self-emp-not-inc,141165,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
45,Private,77085,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Japan,>50K
30,Private,186932,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,75,United-States,<=50K
46,State-gov,76075,Assoc-voc,11,Divorced,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
38,Federal-gov,115433,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,33,United-States,>50K
46,Local-gov,297759,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Self-emp-not-inc,176863,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,141584,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,47,United-States,<=50K
24,Private,604537,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,Mexico,<=50K
48,Private,172695,Assoc-voc,11,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,281704,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,<=50K
17,Private,172548,9th,5,Never-married,Sales,Own-child,White,Male,0,0,8,United-States,<=50K
