age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,income,workclass_target_encoded,education_target_encoded,marital-status_target_encoded,occupation_target_encoded,relationship_target_encoded,race_target_encoded,gender_target_encoded,native-country_target_encoded
36,275338,13,0,0,40,1,0.21664721898094128,0.4009433962264151,0.46321365509123014,0.4651639344262295,0.5182926829268293,0.27197187599872163,0.11652173913043479,0.2590895203177513
19,248749,10,0,0,20,0,0.21664721898094128,0.20215633423180593,0.04195804195804196,0.2716627634660422,0.02119460500963391,0.27197187599872163,0.31872183531339615,0.2590895203177513
44,244974,13,0,0,44,1,0.3148148148148148,0.4009433962264151,0.46321365509123014,0.3373493975903614,0.46047430830039526,0.27197187599872163,0.31872183531339615,0.2590895203177513
33,306309,14,0,0,50,0,0.3148148148148148,0.5634517766497462,0.04195804195804196,0.44308943089430897,0.10224719101123596,0.27197187599872163,0.31872183531339615,0.2590895203177513
19,28145,9,0,0,52,0,0.21664721898094128,0.16459884201819686,0.04195804195804196,0.04481792717086835,0.02119460500963391,0.27197187599872163,0.11652173913043479,0.2590895203177513
57,124507,13,0,0,55,1,0.21664721898094128,0.4009433962264151,0.46321365509123014,0.2716627634660422,0.46047430830039526,0.27197187599872163,0.31872183531339615,0.2590895203177513
20,214238,7,0,0,32,0,0.21664721898094128,0.044642857142857144,0.04195804195804196,0.2716627634660422,0.04310344827586207,0.27197187599872163,0.11652173913043479,0.058823529411764705
45,273435,9,0,0,40,0,0.21664721898094128,0.16459884201819686,0.46321365509123014,0.2360248447204969,0.46047430830039526,0.27197187599872163,0.31872183531339615,0.2590895203177513
35,194960,9,0,0,40,0,0.21664721898094128,0.16459884201819686,0.04195804195804196,0.140625,0.10224719101123596,0.07407407407407407,0.31872183531339615,0.0
49,146268,10,0,0,40,0,0.21664721898094128,0.20215633423180593,0.46321365509123014,0.2360248447204969,0.46047430830039526,0.27197187599872163,0.31872183531339615,0.2590895203177513
57,195820,9,0,0,40,1,0.21664721898094128,0.16459884201819686,0.46321365509123014,0.10043668122270742,0.46047430830039526,0.27197187599872163,0.31872183531339615,0.2590895203177513
50,136836,9,0,0,40,0,0.21664721898094128,0.16459884201819686,0.10408163265306122,0.44308943089430897,0.0546875,0.10163934426229508,0.11652173913043479,0.2590895203177513
21,313873,3,0,0,40,0,0.21664721898094128,0.058823529411764705,0.04195804195804196,0.07894736842105263,0.10224719101123596,0.27197187599872163,0.31872183531339615,0.058823529411764705
